chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.69,0.69,0.69,0.69,172500.0
"Aug 04, 2009 00:00:00",0.73,0.74,0.69,0.69,675300.0
"Aug 06, 2009 00:00:00",0.69,0.69,0.69,0.69,186300.0
"Aug 07, 2009 00:00:00",0.69,0.69,0.68,0.68,144200.0
"Aug 10, 2009 00:00:00",0.68,0.72,0.68,0.7,269000.0
"Aug 11, 2009 00:00:00",0.7,0.76,0.7,0.73,1604300.0
"Aug 12, 2009 00:00:00",0.71,0.71,0.69,0.69,474100.0
"Aug 13, 2009 00:00:00",0.72,0.72,0.7,0.72,410300.0
"Aug 14, 2009 00:00:00",0.7,0.71,0.7,0.7,84500.0
"Aug 17, 2009 00:00:00",0.69,0.72,0.69,0.69,124500.0
"Aug 18, 2009 00:00:00",0.68,0.7,0.68,0.7,157000.0
"Aug 19, 2009 00:00:00",0.71,0.74,0.7,0.7,178100.0
"Aug 20, 2009 00:00:00",0.72,0.72,0.7,0.7,211200.0
"Aug 25, 2009 00:00:00",0.68,0.7,0.68,0.7,423500.0
"Aug 26, 2009 00:00:00",0.73,0.78,0.7,0.75,735800.0
"Sep 03, 2009 00:00:00",0.8,0.85,0.8,0.85,2939800.0
"Sep 04, 2009 00:00:00",0.86,0.94,0.84,0.91,2429500.0
"Sep 16, 2009 00:00:00",0.91,0.91,0.89,0.89,367000.0
"Sep 17, 2009 00:00:00",0.91,0.94,0.89,0.9,1764900.0
"Sep 18, 2009 00:00:00",0.9,1.06,0.9,1.02,4669100.0
"Sep 22, 2009 00:00:00",0.95,1.0,0.93,0.98,2015580.0
"Sep 23, 2009 00:00:00",0.96,0.99,0.93,0.93,1334600.0
"Sep 30, 2009 00:00:00",0.92,0.92,0.84,0.85,742500.0
"Oct 01, 2009 00:00:00",0.9,0.9,0.84,0.84,1324900.0
"Oct 02, 2009 00:00:00",0.85,0.85,0.81,0.84,2133500.0
"Oct 05, 2009 00:00:00",0.85,0.85,0.85,0.85,51000.0
"Oct 06, 2009 00:00:00",0.84,0.86,0.84,0.85,127500.0
"Oct 07, 2009 00:00:00",0.86,0.86,0.84,0.86,926600.0
"Oct 08, 2009 00:00:00",0.86,0.86,0.86,0.86,8600.0
"Oct 09, 2009 00:00:00",0.87,0.9,0.86,0.86,113200.0
"Oct 12, 2009 00:00:00",0.86,0.9,0.86,0.9,667700.0
"Oct 13, 2009 00:00:00",0.86,0.86,0.84,0.84,643400.0
"Oct 14, 2009 00:00:00",0.86,0.88,0.85,0.88,102700.0
"Oct 15, 2009 00:00:00",0.85,0.85,0.85,0.85,51000.0
"Oct 16, 2009 00:00:00",0.88,0.88,0.86,0.86,242400.0
"Oct 19, 2009 00:00:00",0.83,0.85,0.83,0.84,243200.0
"Oct 20, 2009 00:00:00",0.84,0.84,0.81,0.83,325000.0
"Oct 21, 2009 00:00:00",0.83,0.83,0.8,0.8,315600.0
"Oct 22, 2009 00:00:00",0.8,0.8,0.8,0.8,8000.0
"Oct 23, 2009 00:00:00",0.82,0.82,0.8,0.82,24400.0
"Oct 26, 2009 00:00:00",0.8,0.82,0.8,0.82,24200.0
"Oct 27, 2009 00:00:00",0.79,0.81,0.79,0.8,391500.0
"Oct 28, 2009 00:00:00",0.83,0.83,0.8,0.82,145300.0
"Oct 29, 2009 00:00:00",0.83,0.84,0.82,0.82,65900.0
"Oct 30, 2009 00:00:00",0.84,0.85,0.8,0.83,646000.0
"Nov 03, 2009 00:00:00",0.85,0.85,0.83,0.83,525900.0
"Nov 04, 2009 00:00:00",0.83,0.83,0.83,0.83,539500.0
"Nov 06, 2009 00:00:00",0.85,0.85,0.83,0.85,210800.0
"Nov 09, 2009 00:00:00",0.86,0.86,0.86,0.86,180600.0
"Nov 10, 2009 00:00:00",0.86,0.86,0.85,0.85,1145700.0
"Nov 11, 2009 00:00:00",0.84,0.89,0.84,0.89,498900.0
"Dec 15, 2009 00:00:00",0.87,0.87,0.87,0.87,382800.0
"Dec 16, 2009 00:00:00",0.86,0.86,0.85,0.85,240000.0
"Dec 17, 2009 00:00:00",0.85,0.85,0.85,0.85,17000.0
"Dec 23, 2009 00:00:00",0.94,0.94,0.88,0.88,121000.0
"Jan 04, 2010 00:00:00",0.81,0.81,0.8,0.8,16100.0
"Jan 05, 2010 00:00:00",0.85,0.85,0.85,0.85,93500.0
"Jan 06, 2010 00:00:00",0.82,0.85,0.82,0.85,49500.0
"Jan 07, 2010 00:00:00",0.85,0.88,0.85,0.88,122000.0
"Jan 08, 2010 00:00:00",0.88,0.9,0.88,0.9,1060000.0
"Jan 12, 2010 00:00:00",0.88,0.9,0.88,0.9,357000.0
"Jan 14, 2010 00:00:00",0.89,0.91,0.89,0.91,649900.0
"Jan 15, 2010 00:00:00",0.91,0.93,0.89,0.92,812800.0
"Jan 18, 2010 00:00:00",0.91,0.92,0.89,0.89,793900.0
"Jan 20, 2010 00:00:00",0.88,0.88,0.88,0.88,8800.0
"Jan 22, 2010 00:00:00",0.87,0.87,0.83,0.83,4228300.0
