chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.014,0.014,0.013,0.014,8129700.0
"Aug 04, 2009 00:00:00",0.014,0.014,0.014,0.014,2210600.0
"Aug 06, 2009 00:00:00",0.014,0.014,0.013,0.014,4068400.0
"Aug 07, 2009 00:00:00",0.014,0.014,0.014,0.014,2639000.0
"Aug 10, 2009 00:00:00",0.014,0.015,0.014,0.015,6271400.0
"Aug 11, 2009 00:00:00",0.015,0.015,0.014,0.015,3177200.0
"Aug 12, 2009 00:00:00",0.014,0.015,0.014,0.014,1099800.0
"Aug 13, 2009 00:00:00",0.015,0.015,0.014,0.015,6500300.0
"Aug 14, 2009 00:00:00",0.014,0.015,0.014,0.015,287400.0
"Aug 17, 2009 00:00:00",0.014,0.015,0.014,0.014,5944400.0
"Aug 18, 2009 00:00:00",0.014,0.014,0.013,0.013,530900.0
"Aug 19, 2009 00:00:00",0.014,0.014,0.014,0.014,2573200.0
"Aug 20, 2009 00:00:00",0.014,0.015,0.014,0.014,3079600.0
"Aug 24, 2009 00:00:00",0.014,0.015,0.014,0.014,863500.0
"Aug 25, 2009 00:00:00",0.014,0.015,0.014,0.014,2841200.0
"Aug 26, 2009 00:00:00",0.014,0.015,0.014,0.014,1007800.0
"Sep 03, 2009 00:00:00",0.016,0.018,0.016,0.018,13904200.0
"Sep 04, 2009 00:00:00",0.018,0.019,0.018,0.018,16411900.0
"Sep 16, 2009 00:00:00",0.017,0.017,0.016,0.017,2457000.0
"Sep 17, 2009 00:00:00",0.017,0.017,0.016,0.016,818200.0
"Sep 18, 2009 00:00:00",0.016,0.017,0.016,0.017,176000.0
"Sep 22, 2009 00:00:00",0.016,0.017,0.016,0.017,2656400.0
"Sep 23, 2009 00:00:00",0.017,0.017,0.016,0.017,3008600.0
"Sep 30, 2009 00:00:00",0.016,0.016,0.016,0.016,7169600.0
"Oct 01, 2009 00:00:00",0.016,0.016,0.016,0.016,2406400.0
"Oct 02, 2009 00:00:00",0.015,0.016,0.015,0.016,2914600.0
"Oct 05, 2009 00:00:00",0.016,0.016,0.015,0.016,452900.0
"Oct 06, 2009 00:00:00",0.016,0.016,0.016,0.016,1000000.0
"Oct 07, 2009 00:00:00",0.016,0.016,0.015,0.016,3198000.0
"Oct 08, 2009 00:00:00",0.016,0.016,0.015,0.016,2868200.0
"Oct 09, 2009 00:00:00",0.016,0.016,0.015,0.016,4365600.0
"Oct 12, 2009 00:00:00",0.015,0.016,0.015,0.015,138200.0
"Oct 13, 2009 00:00:00",0.015,0.016,0.015,0.016,200100.0
"Oct 14, 2009 00:00:00",0.015,0.016,0.015,0.016,972800.0
"Oct 15, 2009 00:00:00",0.016,0.016,0.015,0.016,683700.0
"Oct 16, 2009 00:00:00",0.017,0.017,0.016,0.016,4485000.0
"Oct 19, 2009 00:00:00",0.016,0.016,0.016,0.016,1227200.0
"Oct 20, 2009 00:00:00",0.016,0.017,0.016,0.016,4670500.0
"Oct 21, 2009 00:00:00",0.016,0.016,0.016,0.016,3236800.0
"Oct 22, 2009 00:00:00",0.016,0.016,0.016,0.016,2334400.0
"Oct 23, 2009 00:00:00",0.016,0.016,0.016,0.016,1644800.0
"Oct 26, 2009 00:00:00",0.016,0.016,0.016,0.016,2860800.0
"Oct 27, 2009 00:00:00",0.016,0.016,0.015,0.015,144400.0
"Oct 28, 2009 00:00:00",0.015,0.016,0.015,0.016,662000.0
"Oct 29, 2009 00:00:00",0.015,0.016,0.015,0.016,3040600.0
"Oct 30, 2009 00:00:00",0.016,0.016,0.015,0.016,1373400.0
"Nov 03, 2009 00:00:00",0.015,0.016,0.015,0.016,3961600.0
"Nov 04, 2009 00:00:00",0.015,0.016,0.015,0.015,601600.0
"Nov 05, 2009 00:00:00",0.016,0.016,0.015,0.016,214100.0
"Nov 06, 2009 00:00:00",0.015,0.016,0.015,0.016,3772600.0
"Nov 09, 2009 00:00:00",0.015,0.016,0.015,0.015,1801500.0
"Nov 10, 2009 00:00:00",0.015,0.016,0.015,0.016,1620100.0
"Nov 11, 2009 00:00:00",0.015,0.016,0.015,0.016,2454100.0
"Dec 15, 2009 00:00:00",0.015,0.016,0.014,0.015,1203000.0
"Dec 16, 2009 00:00:00",0.015,0.015,0.015,0.015,337500.0
"Dec 17, 2009 00:00:00",0.015,0.015,0.014,0.015,595000.0
"Dec 18, 2009 00:00:00",0.014,0.015,0.014,0.015,181100.0
"Dec 21, 2009 00:00:00",0.015,0.015,0.015,0.015,96000.0
"Dec 22, 2009 00:00:00",0.014,0.015,0.014,0.014,41200.0
"Dec 23, 2009 00:00:00",0.015,0.015,0.015,0.015,180000.0
"Dec 29, 2009 00:00:00",0.015,0.015,0.015,0.015,1008000.0
"Jan 04, 2010 00:00:00",0.015,0.015,0.014,0.015,166100.0
"Jan 05, 2010 00:00:00",0.014,0.015,0.014,0.015,2876000.0
"Jan 06, 2010 00:00:00",0.015,0.015,0.015,0.015,550500.0
"Jan 07, 2010 00:00:00",0.015,0.015,0.014,0.015,2035000.0
"Jan 08, 2010 00:00:00",0.015,0.015,0.015,0.015,739500.0
"Jan 11, 2010 00:00:00",0.015,0.015,0.014,0.015,1678000.0
"Jan 12, 2010 00:00:00",0.015,0.015,0.014,0.015,1367000.0
"Jan 13, 2010 00:00:00",0.015,0.015,0.015,0.015,1050000.0
"Jan 14, 2010 00:00:00",0.015,0.015,0.014,0.014,850700.0
"Jan 15, 2010 00:00:00",0.015,0.016,0.015,0.015,1534600.0
"Jan 19, 2010 00:00:00",0.014,0.014,0.014,0.014,5600.0
"Jan 20, 2010 00:00:00",0.015,0.015,0.014,0.014,882200.0
"Jan 21, 2010 00:00:00",0.015,0.015,0.015,0.015,1500.0
"Jan 22, 2010 00:00:00",0.014,0.015,0.014,0.015,96500.0
"Jan 25, 2010 00:00:00",0.014,0.015,0.014,0.014,981400.0
"Jan 26, 2010 00:00:00",0.014,0.014,0.014,0.014,819000.0
"Jan 27, 2010 00:00:00",0.014,0.014,0.014,0.014,1722000.0
"Jan 28, 2010 00:00:00",0.014,0.014,0.014,0.014,1531600.0
"Jan 29, 2010 00:00:00",0.014,0.014,0.014,0.014,215600.0
"Feb 01, 2010 00:00:00",0.014,0.014,0.014,0.014,350000.0
"Feb 02, 2010 00:00:00",0.014,0.014,0.014,0.014,182000.0
"Feb 03, 2010 00:00:00",0.014,0.014,0.014,0.014,42000.0
"Feb 05, 2010 00:00:00",0.013,0.014,0.013,0.014,3375500.0
"Feb 08, 2010 00:00:00",0.013,0.013,0.013,0.013,765700.0
"Feb 09, 2010 00:00:00",0.013,0.013,0.012,0.013,516400.0
"Feb 10, 2010 00:00:00",0.013,0.014,0.013,0.013,998500.0
"Feb 11, 2010 00:00:00",0.013,0.014,0.013,0.014,27400.0
"Mar 08, 2010 00:00:00",0.013,0.013,0.013,0.013,564200.0
"Mar 12, 2010 00:00:00",0.013,0.013,0.013,0.013,130000.0
"Mar 15, 2010 00:00:00",0.013,0.014,0.013,0.013,1855300.0
"Mar 16, 2010 00:00:00",0.013,0.013,0.013,0.013,113100.0
"Mar 17, 2010 00:00:00",0.013,0.013,0.013,0.013,631800.0
"Mar 31, 2010 00:00:00",0.013,0.013,0.012,0.013,224600.0
"Apr 20, 2010 00:00:00",0.013,0.014,0.013,0.014,519000.0
"Apr 21, 2010 00:00:00",0.013,0.013,0.013,0.013,208000.0
"Apr 22, 2010 00:00:00",0.013,0.014,0.013,0.014,353100.0
"Apr 23, 2010 00:00:00",0.013,0.014,0.013,0.014,93400.0
"Apr 29, 2010 00:00:00",0.013,0.014,0.013,0.014,5944300.0
"Apr 30, 2010 00:00:00",0.014,0.014,0.014,0.014,238000.0
"May 04, 2010 00:00:00",0.014,0.014,0.014,0.014,145600.0
"May 05, 2010 00:00:00",0.013,0.014,0.013,0.014,1314400.0
"May 13, 2010 00:00:00",0.013,0.014,0.013,0.014,173000.0
"May 14, 2010 00:00:00",0.013,0.014,0.013,0.014,2202300.0
"May 17, 2010 00:00:00",0.014,0.014,0.013,0.013,1059900.0
"May 18, 2010 00:00:00",0.013,0.013,0.013,0.013,1159600.0
"May 19, 2010 00:00:00",0.013,0.013,0.013,0.013,741000.0
"May 20, 2010 00:00:00",0.013,0.013,0.013,0.013,78000.0
"May 21, 2010 00:00:00",0.012,0.013,0.012,0.013,1223200.0
"May 24, 2010 00:00:00",0.013,0.013,0.013,0.013,5200.0
"May 25, 2010 00:00:00",0.012,0.013,0.012,0.013,2425300.0
"May 26, 2010 00:00:00",0.012,0.013,0.012,0.013,113200.0
"May 27, 2010 00:00:00",0.012,0.013,0.012,0.013,20500.0
"May 28, 2010 00:00:00",0.013,0.013,0.012,0.013,116200.0
"May 31, 2010 00:00:00",0.013,0.013,0.013,0.013,6500.0
"Jun 01, 2010 00:00:00",0.013,0.013,0.013,0.013,1086800.0
"Jun 02, 2010 00:00:00",0.012,0.013,0.012,0.013,2556200.0
"Jun 03, 2010 00:00:00",0.013,0.013,0.012,0.013,251800.0
"Jun 04, 2010 00:00:00",0.013,0.013,0.012,0.013,117500.0
"Jun 07, 2010 00:00:00",0.013,0.013,0.013,0.013,48100.0
"Jun 08, 2010 00:00:00",0.012,0.013,0.012,0.013,7300.0
"Jun 09, 2010 00:00:00",0.012,0.012,0.012,0.012,291600.0
"Jun 10, 2010 00:00:00",0.012,0.013,0.012,0.013,241300.0
"Jun 11, 2010 00:00:00",0.013,0.013,0.013,0.013,92300.0
"Jun 16, 2010 00:00:00",0.012,0.012,0.012,0.012,60000.0
"Jun 21, 2010 00:00:00",0.012,0.012,0.012,0.012,50400.0
"Jun 22, 2010 00:00:00",0.013,0.013,0.012,0.013,8553700.0
"Jun 23, 2010 00:00:00",0.013,0.013,0.012,0.013,1544800.0
"Jun 24, 2010 00:00:00",0.013,0.013,0.012,0.013,450800.0
"Jun 25, 2010 00:00:00",0.013,0.013,0.012,0.013,816800.0
"Jun 28, 2010 00:00:00",0.013,0.013,0.013,0.013,2585700.0
"Jun 29, 2010 00:00:00",0.013,0.013,0.013,0.013,620100.0
"Jul 01, 2010 00:00:00",0.013,0.013,0.013,0.013,118300.0
"Jul 02, 2010 00:00:00",0.013,0.013,0.012,0.013,203500.0
"Jul 06, 2010 00:00:00",0.012,0.012,0.012,0.012,10800.0
"Jul 07, 2010 00:00:00",0.013,0.013,0.012,0.013,1614000.0
"Jul 08, 2010 00:00:00",0.012,0.013,0.012,0.013,691800.0
"Jul 09, 2010 00:00:00",0.012,0.013,0.012,0.012,4056000.0
"Jul 13, 2010 00:00:00",0.013,0.013,0.012,0.013,910400.0
"Jul 14, 2010 00:00:00",0.013,0.013,0.013,0.013,2570100.0
"Jul 15, 2010 00:00:00",0.013,0.013,0.013,0.013,274300.0
"Jul 16, 2010 00:00:00",0.013,0.013,0.013,0.013,66300.0
"Jul 20, 2010 00:00:00",0.012,0.013,0.012,0.013,1224800.0
"Jul 21, 2010 00:00:00",0.013,0.013,0.012,0.013,4148200.0
"Jul 22, 2010 00:00:00",0.013,0.013,0.013,0.013,1471600.0
"Jul 23, 2010 00:00:00",0.013,0.013,0.013,0.013,1259700.0
"Sep 20, 2010 00:00:00",0.014,0.015,0.014,0.014,2525900.0
"Sep 21, 2010 00:00:00",0.015,0.015,0.014,0.015,1873500.0
"Sep 22, 2010 00:00:00",0.014,0.015,0.014,0.015,242300.0
"Sep 23, 2010 00:00:00",0.015,0.015,0.014,0.015,821500.0
"Sep 24, 2010 00:00:00",0.014,0.014,0.014,0.014,1895600.0
"Sep 27, 2010 00:00:00",0.014,0.015,0.014,0.014,1303600.0
"Sep 28, 2010 00:00:00",0.014,0.014,0.014,0.014,3308200.0
