chart_date,open,high,low,close,value
"Oct 05, 2011 00:00:00",12.0,12.0,10.88,11.0,645743554.0
"Oct 06, 2011 00:00:00",11.2,11.2,10.68,10.68,305341878.0
"Oct 07, 2011 00:00:00",10.74,10.98,10.74,10.96,70414718.0
"Oct 10, 2011 00:00:00",11.02,11.6,11.02,11.6,202542814.0
"Oct 11, 2011 00:00:00",11.8,11.82,11.34,11.36,141090158.0
"Oct 12, 2011 00:00:00",11.36,11.68,11.3,11.6,15633910.0
"Oct 13, 2011 00:00:00",11.52,12.36,11.52,12.36,58812486.0
"Oct 14, 2011 00:00:00",12.3,12.4,12.0,12.1,88789480.0
"Oct 17, 2011 00:00:00",12.2,12.46,12.1,12.38,86611362.0
"Oct 18, 2011 00:00:00",12.38,12.38,12.12,12.26,88507490.0
"Oct 19, 2011 00:00:00",12.24,12.26,12.2,12.2,101184396.0
"Oct 20, 2011 00:00:00",12.22,12.3,12.2,12.2,48936560.0
"Oct 21, 2011 00:00:00",12.24,12.34,12.2,12.3,52250538.0
"Oct 24, 2011 00:00:00",12.34,12.34,12.2,12.2,175902084.0
"Oct 25, 2011 00:00:00",12.16,12.32,12.16,12.32,45811710.0
"Oct 26, 2011 00:00:00",12.18,12.24,12.16,12.16,17098732.0
"Oct 27, 2011 00:00:00",12.14,12.24,12.14,12.22,5085446.0
"Oct 28, 2011 00:00:00",12.26,12.5,12.26,12.38,140144846.0
"Nov 02, 2011 00:00:00",12.26,12.58,12.26,12.58,81729448.0
"Nov 03, 2011 00:00:00",12.6,12.76,12.5,12.74,165878004.0
"Nov 04, 2011 00:00:00",12.76,14.48,12.76,14.48,238365822.0
"Nov 08, 2011 00:00:00",14.46,15.94,14.1,15.5,163709856.0
"Nov 09, 2011 00:00:00",15.7,15.7,14.3,14.8,83710682.0
"Nov 10, 2011 00:00:00",14.3,15.0,14.1,14.94,97990724.0
"Nov 11, 2011 00:00:00",14.94,15.0,14.34,14.56,22707760.0
"Nov 14, 2011 00:00:00",14.5,15.2,14.5,14.68,10732538.0
"Nov 15, 2011 00:00:00",14.68,15.16,14.4,14.8,128056944.0
"Nov 16, 2011 00:00:00",14.92,16.2,14.8,15.52,263932242.0
"Nov 17, 2011 00:00:00",15.52,17.06,15.52,16.32,109348832.0
"Nov 18, 2011 00:00:00",16.32,17.1,16.3,16.6,157682440.0
"Nov 21, 2011 00:00:00",17.1,17.1,16.6,16.82,97740460.0
"Nov 22, 2011 00:00:00",16.5,16.82,16.02,16.16,78681390.0
"Nov 23, 2011 00:00:00",16.16,16.5,14.98,14.98,162253352.0
"Nov 24, 2011 00:00:00",14.94,15.0,14.68,14.72,103981374.0
"Nov 25, 2011 00:00:00",14.72,15.52,14.72,15.36,47386662.0
"Nov 28, 2011 00:00:00",15.4,15.68,15.36,15.4,24000918.0
"Nov 29, 2011 00:00:00",15.62,15.62,15.02,15.3,5428976.0
"Dec 01, 2011 00:00:00",15.5,15.62,15.3,15.3,9039398.0
"Dec 02, 2011 00:00:00",15.3,15.3,15.18,15.18,68196600.0
"Dec 05, 2011 00:00:00",15.1,15.18,15.04,15.12,43709664.0
"Dec 06, 2011 00:00:00",15.12,15.2,14.98,15.0,37820316.0
"Dec 07, 2011 00:00:00",15.0,15.42,15.0,15.24,233834016.0
"Dec 08, 2011 00:00:00",15.3,15.88,15.3,15.7,84015892.0
"Dec 09, 2011 00:00:00",15.76,16.72,15.76,16.72,88941120.0
"Dec 12, 2011 00:00:00",16.9,17.68,16.86,17.1,135696280.0
"Dec 13, 2011 00:00:00",17.1,17.36,16.9,17.06,40602000.0
"Dec 14, 2011 00:00:00",17.06,17.3,17.0,17.1,170601976.0
"Dec 15, 2011 00:00:00",17.2,17.2,17.0,17.02,48306326.0
"Dec 16, 2011 00:00:00",17.04,17.84,17.04,17.66,249909710.0
"Dec 19, 2011 00:00:00",17.74,18.9,17.66,18.2,102397940.0
"Dec 20, 2011 00:00:00",18.3,18.3,18.0,18.02,186472046.0
"Dec 21, 2011 00:00:00",18.4,18.6,18.02,18.2,78012524.0
"Dec 22, 2011 00:00:00",18.2,18.2,18.04,18.06,53632960.0
"Dec 23, 2011 00:00:00",18.06,18.1,18.0,18.1,100036688.0
"Dec 26, 2011 00:00:00",18.06,18.52,18.0,18.4,31178778.0
"Dec 27, 2011 00:00:00",18.48,18.74,18.12,18.34,27311654.0
"Dec 28, 2011 00:00:00",18.3,18.64,18.3,18.34,18457636.0
"Dec 29, 2011 00:00:00",18.34,18.34,17.76,17.88,46044890.0
"Jan 02, 2012 00:00:00",18.08,18.2,17.78,18.02,23642346.0
"Jan 03, 2012 00:00:00",18.16,18.3,18.1,18.22,26280936.0
