chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.73,0.73,0.67,0.7,5703300.0
"Aug 04, 2009 00:00:00",0.7,0.7,0.66,0.67,3698000.0
"Aug 06, 2009 00:00:00",0.69,0.69,0.64,0.65,8699800.0
"Aug 07, 2009 00:00:00",0.65,0.65,0.62,0.62,7528800.0
"Aug 10, 2009 00:00:00",0.62,0.62,0.58,0.61,17805500.0
"Aug 11, 2009 00:00:00",0.6,0.63,0.6,0.6,4238000.0
"Aug 12, 2009 00:00:00",0.6,0.61,0.6,0.61,637900.0
"Aug 13, 2009 00:00:00",0.61,0.62,0.61,0.62,2143100.0
"Aug 14, 2009 00:00:00",0.62,0.64,0.62,0.63,3690400.0
"Aug 17, 2009 00:00:00",0.63,0.63,0.6,0.62,286400.0
"Aug 18, 2009 00:00:00",0.61,0.62,0.6,0.62,1816300.0
"Aug 19, 2009 00:00:00",0.62,0.62,0.6,0.61,2101100.0
"Aug 20, 2009 00:00:00",0.61,0.61,0.61,0.61,774700.0
"Aug 24, 2009 00:00:00",0.63,0.63,0.6,0.61,2230400.0
"Aug 25, 2009 00:00:00",0.61,0.62,0.6,0.61,3245100.0
"Aug 26, 2009 00:00:00",0.62,0.65,0.61,0.62,8445700.0
"Sep 03, 2009 00:00:00",0.62,0.62,0.61,0.62,4535100.0
"Sep 04, 2009 00:00:00",0.62,0.63,0.62,0.62,1534500.0
"Sep 16, 2009 00:00:00",0.6,0.6,0.56,0.57,6142100.0
"Sep 17, 2009 00:00:00",0.58,0.58,0.54,0.54,5335800.0
"Sep 18, 2009 00:00:00",0.55,0.55,0.53,0.53,5001200.0
"Sep 22, 2009 00:00:00",0.52,0.53,0.52,0.53,1970600.0
"Sep 23, 2009 00:00:00",0.52,0.56,0.52,0.54,2071700.0
"Sep 30, 2009 00:00:00",0.55,0.55,0.54,0.54,464700.0
"Oct 01, 2009 00:00:00",0.53,0.55,0.53,0.53,528700.0
"Oct 02, 2009 00:00:00",0.54,0.54,0.53,0.53,701900.0
"Oct 05, 2009 00:00:00",0.54,0.54,0.54,0.54,901800.0
"Oct 06, 2009 00:00:00",0.55,0.57,0.55,0.57,2935100.0
"Oct 07, 2009 00:00:00",0.58,0.59,0.56,0.57,3325000.0
"Oct 08, 2009 00:00:00",0.56,0.56,0.55,0.55,1409700.0
"Oct 09, 2009 00:00:00",0.55,0.56,0.55,0.55,936100.0
"Oct 12, 2009 00:00:00",0.55,0.57,0.54,0.57,2251200.0
"Oct 13, 2009 00:00:00",0.55,0.56,0.54,0.55,759900.0
"Oct 14, 2009 00:00:00",0.54,0.56,0.54,0.54,459600.0
"Oct 15, 2009 00:00:00",0.54,0.54,0.54,0.54,54000.0
"Oct 16, 2009 00:00:00",0.55,0.56,0.54,0.55,1154400.0
"Oct 19, 2009 00:00:00",0.55,0.56,0.55,0.55,253100.0
"Oct 20, 2009 00:00:00",0.55,0.55,0.54,0.54,512400.0
"Oct 21, 2009 00:00:00",0.56,0.56,0.54,0.54,477800.0
"Oct 22, 2009 00:00:00",0.54,0.56,0.54,0.54,600000.0
"Oct 23, 2009 00:00:00",0.55,0.55,0.54,0.55,186900.0
"Oct 26, 2009 00:00:00",0.55,0.56,0.54,0.55,1100800.0
"Oct 27, 2009 00:00:00",0.54,0.54,0.53,0.53,1582800.0
"Oct 28, 2009 00:00:00",0.54,0.56,0.53,0.55,4074200.0
"Oct 29, 2009 00:00:00",0.55,0.55,0.54,0.54,1054900.0
"Oct 30, 2009 00:00:00",0.54,0.54,0.54,0.54,442800.0
"Nov 03, 2009 00:00:00",0.53,0.53,0.52,0.52,1823700.0
"Nov 04, 2009 00:00:00",0.53,0.53,0.52,0.53,306400.0
