chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.16,0.19,0.16,0.19,444150.0
"Aug 04, 2009 00:00:00",0.18,0.19,0.16,0.19,506650.0
"Aug 06, 2009 00:00:00",0.19,0.19,0.15,0.15,830000.0
"Aug 07, 2009 00:00:00",0.165,0.165,0.15,0.165,221400.0
"Aug 10, 2009 00:00:00",0.165,0.165,0.16,0.16,149150.0
"Aug 12, 2009 00:00:00",0.16,0.16,0.16,0.16,3200.0
"Aug 14, 2009 00:00:00",0.16,0.16,0.14,0.14,4600.0
"Aug 17, 2009 00:00:00",0.14,0.16,0.14,0.14,256900.0
"Aug 18, 2009 00:00:00",0.14,0.14,0.14,0.14,11200.0
"Aug 19, 2009 00:00:00",0.14,0.14,0.14,0.14,22400.0
"Aug 24, 2009 00:00:00",0.14,0.14,0.14,0.14,182000.0
"Aug 26, 2009 00:00:00",0.15,0.15,0.15,0.15,7500.0
"Sep 03, 2009 00:00:00",0.14,0.14,0.14,0.14,42000.0
"Sep 16, 2009 00:00:00",0.115,0.135,0.115,0.135,23200.0
"Sep 17, 2009 00:00:00",0.12,0.13,0.11,0.13,117600.0
"Sep 18, 2009 00:00:00",0.11,0.13,0.11,0.13,2400.0
"Sep 22, 2009 00:00:00",0.135,0.135,0.12,0.12,23400.0
"Sep 30, 2009 00:00:00",0.1,0.11,0.1,0.11,121000.0
"Oct 01, 2009 00:00:00",0.105,0.12,0.105,0.115,127150.0
"Oct 06, 2009 00:00:00",0.115,0.115,0.115,0.115,1150.0
"Oct 08, 2009 00:00:00",0.115,0.115,0.115,0.115,23000.0
"Oct 09, 2009 00:00:00",0.11,0.115,0.11,0.115,104550.0
"Oct 14, 2009 00:00:00",0.115,0.115,0.11,0.11,78000.0
"Oct 15, 2009 00:00:00",0.115,0.125,0.105,0.12,646450.0
"Oct 16, 2009 00:00:00",0.125,0.125,0.12,0.125,391500.0
"Oct 19, 2009 00:00:00",0.12,0.12,0.12,0.12,144000.0
"Oct 20, 2009 00:00:00",0.12,0.125,0.11,0.125,95250.0
"Oct 26, 2009 00:00:00",0.12,0.12,0.12,0.12,297600.0
"Oct 27, 2009 00:00:00",0.125,0.13,0.12,0.12,372350.0
"Oct 28, 2009 00:00:00",0.13,0.14,0.12,0.13,90800.0
"Oct 29, 2009 00:00:00",0.12,0.125,0.115,0.12,144800.0
"Oct 30, 2009 00:00:00",0.11,0.13,0.11,0.12,410000.0
"Nov 03, 2009 00:00:00",0.13,0.13,0.115,0.12,148150.0
"Nov 05, 2009 00:00:00",0.115,0.12,0.115,0.12,121900.0
"Nov 06, 2009 00:00:00",0.12,0.12,0.12,0.12,16800.0
"Nov 09, 2009 00:00:00",0.115,0.12,0.115,0.12,85150.0
"Nov 10, 2009 00:00:00",0.115,0.12,0.115,0.12,36350.0
"Dec 21, 2009 00:00:00",0.105,0.105,0.105,0.105,9450.0
"Dec 22, 2009 00:00:00",0.105,0.105,0.105,0.105,22050.0
