chart_date,open,high,low,close,value
"Nov 24, 2011 00:00:00",2.58,2.8,2.53,2.68,13140780.0
"Nov 25, 2011 00:00:00",2.7,2.75,2.55,2.75,8508000.0
"Nov 28, 2011 00:00:00",2.75,2.85,2.7,2.85,4520180.0
"Nov 29, 2011 00:00:00",2.85,2.88,2.8,2.8,2461220.0
"Dec 01, 2011 00:00:00",2.82,2.82,2.71,2.75,528060.0
"Dec 02, 2011 00:00:00",2.75,2.78,2.64,2.64,1298220.0
"Dec 05, 2011 00:00:00",2.64,2.74,2.6,2.64,2076860.0
"Dec 06, 2011 00:00:00",2.62,2.62,2.6,2.6,271400.0
"Dec 07, 2011 00:00:00",2.59,2.59,2.24,2.27,1622410.0
"Dec 08, 2011 00:00:00",2.3,2.39,2.29,2.39,306040.0
"Dec 09, 2011 00:00:00",2.33,2.36,2.28,2.28,456540.0
"Dec 12, 2011 00:00:00",2.28,2.28,2.25,2.25,381000.0
"Dec 13, 2011 00:00:00",2.25,2.32,2.25,2.32,122700.0
"Dec 14, 2011 00:00:00",2.35,2.36,2.35,2.35,202300.0
"Dec 15, 2011 00:00:00",2.36,2.36,2.24,2.24,908430.0
"Dec 16, 2011 00:00:00",2.24,2.25,2.24,2.25,125990.0
"Dec 19, 2011 00:00:00",2.4,2.4,2.32,2.4,379550.0
"Dec 20, 2011 00:00:00",2.32,2.32,2.32,2.32,58000.0
"Dec 21, 2011 00:00:00",2.3,2.3,2.3,2.3,27600.0
"Dec 22, 2011 00:00:00",2.3,2.3,2.3,2.3,384100.0
"Dec 23, 2011 00:00:00",2.3,2.4,2.3,2.4,58500.0
"Dec 26, 2011 00:00:00",2.28,2.4,2.28,2.39,39920.0
"Dec 27, 2011 00:00:00",2.39,2.39,2.39,2.39,23900.0
"Dec 28, 2011 00:00:00",2.3,2.3,2.29,2.29,93940.0
"Dec 29, 2011 00:00:00",2.3,2.49,2.3,2.47,896910.0
"Jan 02, 2012 00:00:00",2.35,2.35,2.35,2.35,246750.0
"Jan 03, 2012 00:00:00",2.35,2.35,2.35,2.35,70500.0
"Jan 04, 2012 00:00:00",2.35,2.35,2.34,2.34,32860.0
"Jan 05, 2012 00:00:00",2.33,2.4,2.3,2.4,79980.0
"Jan 06, 2012 00:00:00",2.33,2.33,2.32,2.32,307410.0
"Jan 09, 2012 00:00:00",2.32,2.32,2.32,2.32,20880.0
"Jan 10, 2012 00:00:00",2.39,2.39,2.32,2.33,40500.0
"Jan 11, 2012 00:00:00",2.33,2.33,2.32,2.33,62880.0
"Jan 12, 2012 00:00:00",2.33,2.39,2.3,2.32,194080.0
"Jan 13, 2012 00:00:00",2.32,2.32,2.28,2.28,194680.0
"Jan 16, 2012 00:00:00",2.29,2.29,2.29,2.29,91600.0
"Jan 17, 2012 00:00:00",2.35,2.45,2.33,2.35,425620.0
"Jan 18, 2012 00:00:00",2.34,2.35,2.34,2.35,35160.0
"Jan 19, 2012 00:00:00",2.32,2.35,2.32,2.35,93710.0
"Jan 20, 2012 00:00:00",2.33,2.45,2.32,2.45,156230.0
"Jan 25, 2012 00:00:00",2.4,2.4,2.4,2.4,33600.0
"Jan 26, 2012 00:00:00",2.4,2.4,2.4,2.4,24000.0
"Jan 27, 2012 00:00:00",2.25,2.39,2.25,2.35,56180.0
"Feb 01, 2012 00:00:00",2.26,2.27,2.25,2.25,463610.0
"Feb 02, 2012 00:00:00",2.26,2.3,2.26,2.3,130300.0
"Feb 03, 2012 00:00:00",2.3,2.3,2.29,2.29,181580.0
"Feb 06, 2012 00:00:00",2.3,2.3,2.3,2.3,34500.0
"Feb 07, 2012 00:00:00",2.4,2.4,2.25,2.25,203100.0
"Feb 08, 2012 00:00:00",2.4,2.4,2.4,2.4,60000.0
"Feb 09, 2012 00:00:00",2.4,2.4,2.38,2.38,119700.0
"Feb 10, 2012 00:00:00",2.38,2.4,2.35,2.35,404980.0
"Feb 13, 2012 00:00:00",2.25,2.25,2.25,2.25,11250.0
"Feb 15, 2012 00:00:00",2.25,2.3,2.25,2.28,621250.0
"Feb 16, 2012 00:00:00",2.28,2.28,2.28,2.28,114000.0
"Feb 17, 2012 00:00:00",2.27,2.32,2.27,2.28,335189.99999999994
"Feb 20, 2012 00:00:00",2.28,2.32,2.28,2.29,308340.0
"Feb 21, 2012 00:00:00",2.31,2.31,2.29,2.31,798060.0
"Feb 22, 2012 00:00:00",2.3,2.4,2.3,2.4,190860.0
"Feb 23, 2012 00:00:00",2.32,2.4,2.3,2.4,1275800.0
"Feb 24, 2012 00:00:00",2.32,2.4,2.31,2.4,195000.0
"Feb 27, 2012 00:00:00",2.41,2.43,2.4,2.4,343650.0
"Feb 28, 2012 00:00:00",2.45,2.46,2.4,2.4,468450.0
"Feb 29, 2012 00:00:00",2.39,2.39,2.37,2.37,240530.0
"Mar 01, 2012 00:00:00",2.37,2.37,2.37,2.37,2370.0
"Mar 02, 2012 00:00:00",2.4,2.4,2.39,2.39,322940.0
"Mar 05, 2012 00:00:00",2.39,2.39,2.38,2.38,214800.0
"Mar 07, 2012 00:00:00",2.39,2.39,2.39,2.39,47800.0
"Mar 08, 2012 00:00:00",2.38,2.39,2.38,2.39,35800.0
"Mar 09, 2012 00:00:00",2.37,2.37,2.36,2.36,198940.0
"Mar 12, 2012 00:00:00",2.28,2.35,2.28,2.35,151180.0
"Mar 13, 2012 00:00:00",2.35,2.35,2.35,2.35,23500.0
"Mar 14, 2012 00:00:00",2.38,2.38,2.38,2.38,123760.0
"Mar 15, 2012 00:00:00",2.35,2.38,2.35,2.38,54320.0
"Mar 16, 2012 00:00:00",2.36,2.36,2.36,2.36,18880.0
"Mar 19, 2012 00:00:00",2.35,2.35,2.35,2.35,56400.0
"Mar 20, 2012 00:00:00",2.35,2.37,2.35,2.37,172130.0
"Mar 21, 2012 00:00:00",2.4,2.4,2.4,2.4,4800.0
"Mar 23, 2012 00:00:00",2.39,2.39,2.35,2.35,247370.0
"Mar 26, 2012 00:00:00",2.36,2.36,2.36,2.36,49560.0
"Mar 27, 2012 00:00:00",2.36,2.36,2.35,2.35,258800.0
"Mar 28, 2012 00:00:00",2.39,2.39,2.37,2.37,83350.0
"Mar 29, 2012 00:00:00",2.35,2.35,2.34,2.34,253000.0
"Mar 30, 2012 00:00:00",2.34,2.34,2.34,2.34,458640.0
"Apr 02, 2012 00:00:00",2.34,2.34,2.34,2.34,35100.0
"Apr 04, 2012 00:00:00",2.33,2.33,2.33,2.33,4660.0
"Apr 10, 2012 00:00:00",2.33,2.34,2.33,2.34,14030.0
"Apr 11, 2012 00:00:00",2.33,2.33,2.3,2.3,194310.0
"Apr 12, 2012 00:00:00",2.33,2.33,2.33,2.33,18640.0
"Apr 13, 2012 00:00:00",2.3,2.3,2.3,2.3,46000.0
"Apr 16, 2012 00:00:00",2.3,2.3,2.3,2.3,103500.0
"Apr 17, 2012 00:00:00",2.3,2.3,2.3,2.3,2300.0
"Apr 18, 2012 00:00:00",2.32,2.32,2.32,2.32,194880.0
"Apr 20, 2012 00:00:00",2.3,2.3,2.3,2.3,4600.0
"Apr 23, 2012 00:00:00",2.3,2.3,2.3,2.3,18400.0
"Apr 24, 2012 00:00:00",2.25,2.27,2.25,2.27,36300.0
"Apr 25, 2012 00:00:00",2.32,2.32,2.32,2.32,4640.0
"Apr 26, 2012 00:00:00",2.27,2.27,2.27,2.27,9080.0
"Apr 27, 2012 00:00:00",2.29,2.29,2.12,2.12,450010.0
"May 02, 2012 00:00:00",2.15,2.2,2.15,2.2,32750.0
"May 04, 2012 00:00:00",2.21,2.3,2.21,2.3,113160.0
"May 08, 2012 00:00:00",2.3,2.3,2.3,2.3,23000.0
"May 09, 2012 00:00:00",2.3,2.3,2.3,2.3,62099.99999999999
"May 10, 2012 00:00:00",2.25,2.3,2.25,2.3,115250.0
"May 11, 2012 00:00:00",2.26,2.3,2.26,2.3,71260.0
"May 14, 2012 00:00:00",2.3,2.3,2.28,2.28,70720.0
"May 15, 2012 00:00:00",2.28,2.28,2.25,2.28,193500.0
"May 16, 2012 00:00:00",2.28,2.28,2.25,2.25,116249.99999999999
"May 17, 2012 00:00:00",2.3,2.3,2.3,2.3,11500.0
"May 18, 2012 00:00:00",2.28,2.28,2.28,2.28,205199.99999999997
"May 22, 2012 00:00:00",2.3,2.3,2.3,2.3,69000.0
"May 23, 2012 00:00:00",2.28,2.3,2.28,2.3,248360.0
"May 30, 2012 00:00:00",2.34,2.34,2.31,2.31,34950.0
"May 31, 2012 00:00:00",2.3,2.31,2.3,2.31,217080.0
"Jun 01, 2012 00:00:00",2.3,2.35,2.3,2.35,55670.0
"Jun 06, 2012 00:00:00",2.3,2.3,2.3,2.3,75900.0
"Jun 07, 2012 00:00:00",2.4,2.4,2.4,2.4,240000.0
"Jun 08, 2012 00:00:00",2.31,2.31,2.31,2.31,41580.0
"Jun 11, 2012 00:00:00",2.3,2.32,2.3,2.32,9260.0
"Jun 13, 2012 00:00:00",2.4,2.5,2.4,2.49,537630.0
"Jun 14, 2012 00:00:00",2.54,2.96,2.54,2.78,10128610.0
"Jun 15, 2012 00:00:00",2.78,2.86,2.5,2.68,3176530.0
"Jun 18, 2012 00:00:00",2.78,2.78,2.6,2.6,76270.0
"Jun 19, 2012 00:00:00",2.65,2.85,2.65,2.8,6137350.0
"Jun 20, 2012 00:00:00",2.8,2.85,2.66,2.7,3894560.0
"Jun 21, 2012 00:00:00",2.71,2.75,2.66,2.75,972730.0
"Jun 22, 2012 00:00:00",2.75,2.8,2.7,2.8,275150.0
"Jun 25, 2012 00:00:00",2.79,2.82,2.7,2.7,1094120.0
"Jun 26, 2012 00:00:00",2.58,2.58,2.4,2.44,420470.0
"Jun 27, 2012 00:00:00",2.45,2.45,2.43,2.44,256320.0
"Jun 28, 2012 00:00:00",2.4,2.4,2.4,2.4,273600.0
"Jun 29, 2012 00:00:00",2.4,2.4,2.31,2.4,337390.0
"Jul 02, 2012 00:00:00",2.4,2.4,2.35,2.35,47500.0
"Jul 03, 2012 00:00:00",2.3,2.4,2.3,2.39,127170.0
"Jul 04, 2012 00:00:00",2.35,2.35,2.35,2.35,18800.0
"Jul 05, 2012 00:00:00",2.4,2.44,2.4,2.44,12160.0
"Jul 06, 2012 00:00:00",2.35,2.35,2.35,2.35,32900.0
"Jul 10, 2012 00:00:00",2.3,2.3,2.3,2.3,69000.0
"Jul 11, 2012 00:00:00",2.3,2.3,2.3,2.3,36800.0
"Jul 12, 2012 00:00:00",2.45,2.45,2.45,2.45,7350.000000000001
"Jul 16, 2012 00:00:00",2.4,2.4,2.4,2.4,24000.0
"Jul 17, 2012 00:00:00",2.36,2.36,2.36,2.36,7080.0
"Jul 18, 2012 00:00:00",2.4,2.4,2.38,2.38,71560.0
"Jul 20, 2012 00:00:00",2.38,2.38,2.38,2.38,9520.0
"Jul 23, 2012 00:00:00",2.3,2.43,2.3,2.43,99900.0
