chart_date,open,high,low,close,value
"Aug 10, 2009 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Aug 20, 2009 00:00:00",6.2,6.2,6.2,6.2,254200.0
"Sep 16, 2009 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Oct 02, 2009 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Oct 14, 2009 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Oct 15, 2009 00:00:00",6.6,6.6,6.6,6.6,13200.0
"Oct 26, 2009 00:00:00",6.5,6.5,6.5,6.5,19500.0
"Oct 27, 2009 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Oct 28, 2009 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Oct 29, 2009 00:00:00",6.5,6.5,6.5,6.5,52000.0
"Dec 15, 2009 00:00:00",6.5,6.5,6.5,6.5,19500.0
"Dec 16, 2009 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Dec 17, 2009 00:00:00",6.5,6.5,6.5,6.5,162500.0
"Dec 18, 2009 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Dec 22, 2009 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Dec 23, 2009 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Jan 04, 2010 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Jan 08, 2010 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Mar 31, 2010 00:00:00",6.5,6.5,6.5,6.5,13000.0
"May 27, 2010 00:00:00",7.0,7.0,7.0,7.0,140000.0
"Jun 02, 2010 00:00:00",6.3,6.3,6.3,6.3,31500.0
"Jun 04, 2010 00:00:00",6.3,6.3,6.3,6.3,18900.0
"Jun 07, 2010 00:00:00",6.3,6.3,6.3,6.3,18900.0
"Jun 21, 2010 00:00:00",6.3,6.3,6.3,6.3,81900.0
"Jun 23, 2010 00:00:00",6.3,6.3,6.3,6.3,18900.0
"Jul 02, 2010 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Jul 09, 2010 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Sep 22, 2010 00:00:00",7.0,7.0,7.0,7.0,464100.0
"Sep 23, 2010 00:00:00",7.0,7.0,7.0,7.0,193900.0
"Sep 24, 2010 00:00:00",6.5,6.5,6.5,6.5,13650.0
"Oct 04, 2010 00:00:00",6.5,6.5,6.5,6.5,2600.0
"Oct 14, 2010 00:00:00",6.5,6.5,6.5,6.5,33150.0
"Oct 19, 2010 00:00:00",6.5,6.5,6.5,6.5,18850.0
"Oct 26, 2010 00:00:00",6.5,6.5,6.5,6.5,16250.0
"Feb 24, 2011 00:00:00",6.0,6.0,6.0,6.0,12000.0
"Feb 24, 2011 00:00:00",6.0,6.0,6.0,6.0,12000.0
"Feb 25, 2011 00:00:00",6.0,6.0,6.0,6.0,24000.0
"Feb 28, 2011 00:00:00",6.0,6.0,6.0,6.0,12000.0
"Mar 02, 2011 00:00:00",6.0,6.0,6.0,6.0,24000.0
"Mar 03, 2011 00:00:00",6.0,6.0,6.0,6.0,36000.0
"May 02, 2011 00:00:00",6.0,6.0,6.0,6.0,12000.0
"May 09, 2011 00:00:00",4.5,4.5,4.5,4.5,90000.0
"May 30, 2011 00:00:00",4.5,4.5,4.5,4.5,4500.0
"Aug 01, 2011 00:00:00",5.5,5.5,5.5,5.5,11000.0
"Aug 19, 2011 00:00:00",5.5,5.5,5.5,5.5,11000.0
"Aug 25, 2011 00:00:00",5.6,5.6,5.6,5.6,11200.0
"Sep 15, 2011 00:00:00",5.9,5.9,5.9,5.9,11800.0
"Sep 16, 2011 00:00:00",5.75,5.75,5.75,5.75,155250.0
"Oct 18, 2011 00:00:00",6.5,6.5,6.5,6.5,115050.0
"Oct 19, 2011 00:00:00",6.5,6.5,6.5,6.5,650.0
"Oct 20, 2011 00:00:00",6.5,6.5,6.48,6.48,1298.0
"Nov 17, 2011 00:00:00",6.5,6.5,6.5,6.5,11050.0
"Jan 27, 2012 00:00:00",6.0,6.0,6.0,6.0,18000.0
"Feb 22, 2012 00:00:00",5.8,5.8,5.8,5.8,580.0
"Mar 15, 2012 00:00:00",5.6,5.6,5.6,5.6,3360.0
"Mar 16, 2012 00:00:00",5.6,6.75,5.6,5.61,96366.0
"Mar 19, 2012 00:00:00",6.0,6.0,6.0,6.0,42000.0
"Mar 21, 2012 00:00:00",6.0,6.0,5.6,5.6,28800.0
"Mar 23, 2012 00:00:00",6.75,6.75,5.4,5.4,28530.0
"Mar 26, 2012 00:00:00",5.45,5.45,5.45,5.45,1090.0
"Mar 27, 2012 00:00:00",6.0,6.0,6.0,6.0,600.0
"Mar 29, 2012 00:00:00",5.9,6.5,5.9,6.5,9630.0
"Apr 20, 2012 00:00:00",5.9,6.75,5.9,6.5,16935.0
"Apr 23, 2012 00:00:00",6.5,6.75,6.3,6.75,29140.0
"Apr 24, 2012 00:00:00",6.01,6.01,6.0,6.0,6005.0
"Apr 26, 2012 00:00:00",5.4,5.4,5.4,5.4,64260.00000000001
"May 02, 2012 00:00:00",5.75,6.75,5.75,6.4,279720.0
"May 07, 2012 00:00:00",3.2,6.45,3.2,6.45,3265.0
"May 10, 2012 00:00:00",6.7,6.7,6.65,6.65,17355.0
"May 11, 2012 00:00:00",6.4,6.4,5.41,6.4,86460.0
"May 16, 2012 00:00:00",3.51,6.6,3.51,6.6,59860.0
"May 30, 2012 00:00:00",6.45,6.45,6.45,6.45,645.0
"Jun 01, 2012 00:00:00",6.0,6.0,3.9,5.4,53990.0
"Jun 04, 2012 00:00:00",5.2,5.2,5.2,5.2,18720.0
"Jun 05, 2012 00:00:00",4.8,4.8,4.8,4.8,18240.0
"Jun 06, 2012 00:00:00",4.5,4.5,4.5,4.5,4500.0
"Jun 27, 2012 00:00:00",4.55,4.55,4.55,4.55,22750.0
