chart_date,open,high,low,close,value
"Mar 16, 2015 00:00:00",1.0,4.0,1.0,2.6,18885600.0
"Mar 17, 2015 00:00:00",2.88,2.88,2.24,2.41,3609350.0
"Mar 18, 2015 00:00:00",2.41,2.41,1.71,1.73,3086610.0
"Mar 19, 2015 00:00:00",1.74,1.74,1.29,1.4,6374610.0
"Mar 20, 2015 00:00:00",1.56,1.98,1.46,1.9,11522780.0
"Mar 23, 2015 00:00:00",2.06,2.85,2.06,2.85,27442780.0
"Mar 24, 2015 00:00:00",3.3,4.22,3.24,3.95,95594130.0
"Mar 25, 2015 00:00:00",4.23,4.5,3.38,3.6,48361700.0
"Mar 26, 2015 00:00:00",3.55,3.55,3.11,3.28,14756590.0
"Mar 27, 2015 00:00:00",3.09,3.2,2.86,2.94,10697280.0
"Mar 30, 2015 00:00:00",2.89,3.98,2.65,3.81,48233300.0
"Mar 31, 2015 00:00:00",3.97,4.14,3.25,3.67,34899610.0
"Apr 01, 2015 00:00:00",3.7,3.75,3.35,3.75,9617020.0
"Apr 06, 2015 00:00:00",3.6,3.87,3.5,3.6,11597490.0
"Apr 07, 2015 00:00:00",3.59,3.59,3.05,3.25,14952250.0
"Apr 08, 2015 00:00:00",3.3,3.36,3.0,3.1,6065620.0
"Apr 10, 2015 00:00:00",3.12,3.28,3.09,3.15,3307290.0
"Apr 13, 2015 00:00:00",3.24,3.24,2.95,3.04,3392480.0
"Apr 14, 2015 00:00:00",2.98,3.14,2.85,3.0,3400000.0
"Apr 15, 2015 00:00:00",3.0,3.1,2.85,2.87,2674880.0
"Apr 16, 2015 00:00:00",2.94,2.94,2.65,2.7,3801820.0
"Apr 17, 2015 00:00:00",2.7,2.7,2.36,2.6,5582880.0
"Apr 20, 2015 00:00:00",2.72,3.14,2.5,3.01,39086280.0
"Apr 21, 2015 00:00:00",3.15,3.15,2.55,2.7,7191360.0
"Apr 22, 2015 00:00:00",2.77,2.77,2.51,2.57,2077760.0
"Apr 23, 2015 00:00:00",2.57,2.66,2.53,2.58,845070.0
"Apr 24, 2015 00:00:00",2.56,2.75,2.5,2.6,2249300.0
"Apr 27, 2015 00:00:00",2.6,2.88,2.58,2.61,24598790.0
