chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.8,0.8,0.8,0.8,8000.0
"Aug 07, 2009 00:00:00",0.72,0.78,0.72,0.78,51600.0
"Aug 10, 2009 00:00:00",0.7,0.7,0.7,0.7,14000.0
"Aug 11, 2009 00:00:00",0.71,0.71,0.7,0.7,98200.0
"Aug 12, 2009 00:00:00",0.69,0.69,0.69,0.69,103500.0
"Aug 13, 2009 00:00:00",0.62,0.62,0.62,0.62,24800.0
"Aug 17, 2009 00:00:00",0.62,0.71,0.62,0.71,106300.0
"Aug 18, 2009 00:00:00",0.75,0.75,0.75,0.75,7500.0
"Sep 18, 2009 00:00:00",0.68,0.68,0.66,0.66,13400.0
"Sep 22, 2009 00:00:00",0.65,0.65,0.64,0.64,19300.0
"Oct 08, 2009 00:00:00",0.62,0.68,0.62,0.68,39000.0
"Oct 09, 2009 00:00:00",0.65,0.65,0.64,0.64,128300.0
"Oct 12, 2009 00:00:00",0.64,0.64,0.64,0.64,12800.0
"Oct 13, 2009 00:00:00",0.65,0.65,0.65,0.65,6500.0
"Oct 15, 2009 00:00:00",0.75,0.8,0.7,0.72,461100.0
"Oct 16, 2009 00:00:00",0.73,0.84,0.72,0.81,810300.0
"Oct 20, 2009 00:00:00",0.79,0.85,0.79,0.8,201700.0
"Oct 21, 2009 00:00:00",0.79,0.8,0.79,0.79,47500.0
"Oct 22, 2009 00:00:00",0.88,1.18,0.82,1.18,7798900.0
"Oct 23, 2009 00:00:00",1.28,1.76,1.2,1.76,27247760.0
"Oct 26, 2009 00:00:00",2.5,2.6,2.44,2.6,13999880.0
"Oct 27, 2009 00:00:00",3.4,3.9,2.9,3.0,62078800.0
"Oct 28, 2009 00:00:00",2.95,2.95,2.3,2.46,19453370.0
"Oct 29, 2009 00:00:00",2.3,2.44,2.24,2.26,13046620.0
"Oct 30, 2009 00:00:00",2.4,2.4,2.16,2.16,3798820.0
"Nov 03, 2009 00:00:00",2.12,2.12,1.8,1.9,12064320.0
"Nov 04, 2009 00:00:00",1.98,2.65,1.98,2.55,25442740.0
"Nov 05, 2009 00:00:00",2.75,2.8,2.38,2.5,18808220.0
"Nov 06, 2009 00:00:00",2.46,2.5,2.32,2.38,2355200.0
"Nov 09, 2009 00:00:00",2.38,2.4,2.22,2.36,2253180.0
"Nov 10, 2009 00:00:00",2.38,2.38,2.3,2.3,1059100.0
"Nov 11, 2009 00:00:00",2.36,2.38,2.16,2.22,1636920.0
"Dec 15, 2009 00:00:00",1.6,1.62,1.56,1.58,260520.0
"Dec 16, 2009 00:00:00",1.58,1.58,1.54,1.54,34720.0
"Dec 17, 2009 00:00:00",1.54,1.54,1.48,1.48,276440.0
"Dec 18, 2009 00:00:00",1.44,1.44,1.4,1.4,46280.0
"Dec 21, 2009 00:00:00",1.42,1.42,1.4,1.4,14020.0
"Dec 22, 2009 00:00:00",1.4,1.4,1.4,1.4,123200.0
"Dec 23, 2009 00:00:00",1.38,1.48,1.38,1.38,31840.0
"Dec 29, 2009 00:00:00",1.36,1.5,1.34,1.5,19180.0
"Jan 04, 2010 00:00:00",1.48,1.48,1.46,1.48,115920.0
"Jan 05, 2010 00:00:00",1.7,1.7,1.7,1.7,1700.0
"Jan 06, 2010 00:00:00",1.68,1.68,1.68,1.68,168000.0
