chart_date,open,high,low,close,value
"Aug 11, 2009 00:00:00",4.5,4.5,4.5,4.5,36000.0
"Aug 25, 2009 00:00:00",4.45,4.7,4.45,4.6,1750000.0
"Aug 26, 2009 00:00:00",4.65,4.75,4.65,4.75,235000.0
"Sep 04, 2009 00:00:00",4.8,4.8,4.8,4.8,24000.0
"Oct 01, 2009 00:00:00",4.1,4.1,4.1,4.1,12300.0
"Oct 16, 2009 00:00:00",3.9,3.9,3.25,3.5,1430800.0
"Oct 19, 2009 00:00:00",3.5,3.55,3.0,3.15,2089800.0
"Oct 20, 2009 00:00:00",3.15,3.15,3.15,3.15,252000.0
"Oct 21, 2009 00:00:00",3.15,3.15,2.95,3.1,940700.0
"Oct 26, 2009 00:00:00",3.05,3.05,3.05,3.05,329400.0
"Oct 27, 2009 00:00:00",3.1,3.1,3.1,3.1,3100.0
"Oct 28, 2009 00:00:00",3.1,3.15,3.1,3.1,326550.0
"Oct 29, 2009 00:00:00",3.1,3.1,2.95,3.1,115250.0
"Oct 30, 2009 00:00:00",3.15,3.45,3.15,3.3,3036250.0
"Nov 03, 2009 00:00:00",3.35,3.35,3.25,3.25,48850.0
"Nov 04, 2009 00:00:00",3.25,3.3,3.0,3.1,1486300.0
"Nov 05, 2009 00:00:00",3.15,3.2,2.95,3.05,366900.0
"Nov 06, 2009 00:00:00",3.1,3.3,2.95,3.2,1658700.0
"Nov 09, 2009 00:00:00",3.05,3.05,3.05,3.05,3050.0
"Nov 10, 2009 00:00:00",3.1,3.2,3.1,3.1,813200.0
"Nov 11, 2009 00:00:00",3.1,3.1,3.1,3.1,6200.0
"Dec 17, 2009 00:00:00",3.25,3.25,3.25,3.25,3250.0
"Jan 07, 2010 00:00:00",2.12,3.15,2.12,3.15,45550.0
"Jan 13, 2010 00:00:00",2.16,3.0,2.16,3.0,8110.0
"Jan 14, 2010 00:00:00",3.15,3.15,2.8,2.8,25550.0
"Jan 15, 2010 00:00:00",2.95,2.95,2.95,2.95,2950.0
"Jan 19, 2010 00:00:00",2.5,2.9,2.5,2.9,10800.0
"Jan 20, 2010 00:00:00",2.55,2.8,2.5,2.8,10400.0
"Jan 21, 2010 00:00:00",2.4,2.4,2.4,2.4,26400.0
"Jan 22, 2010 00:00:00",2.75,2.75,2.75,2.75,2750.0
"Feb 04, 2010 00:00:00",2.7,3.1,2.7,3.0,47500.0
"Feb 05, 2010 00:00:00",2.95,3.1,2.55,3.05,385700.0
"Feb 08, 2010 00:00:00",2.9,2.9,2.8,2.8,132550.0
"Feb 09, 2010 00:00:00",3.0,3.0,3.0,3.0,3000.0
"Apr 30, 2010 00:00:00",2.95,2.95,2.95,2.95,2950.0
"Jun 22, 2010 00:00:00",3.15,3.15,3.1,3.1,28150.0
"Sep 23, 2010 00:00:00",3.2,3.33,3.2,3.33,81700.0
"Apr 14, 2011 00:00:00",3.32,3.32,3.32,3.32,3320.0
"May 13, 2011 00:00:00",3.31,3.34,2.48,2.48,153790.0
"May 16, 2011 00:00:00",2.15,2.15,2.15,2.15,4300.0
"Jun 03, 2011 00:00:00",2.15,2.8,2.15,2.8,20000.0
"Jun 06, 2011 00:00:00",2.15,2.15,2.15,2.15,8600.0
"Jun 07, 2011 00:00:00",2.1,2.1,2.1,2.1,10500.0
"Jun 09, 2011 00:00:00",2.65,2.85,2.65,2.85,298650.0
"Jun 17, 2011 00:00:00",2.08,2.79,2.08,2.79,13190.0
"Jul 18, 2011 00:00:00",2.09,2.09,2.08,2.08,16660.0
"Jul 26, 2011 00:00:00",2.4,2.4,2.4,2.4,24000.0
"Aug 02, 2011 00:00:00",2.8,2.8,2.8,2.8,75600.0
"Aug 03, 2011 00:00:00",2.8,2.8,2.8,2.8,114800.0
"Aug 09, 2011 00:00:00",2.89,2.89,2.89,2.89,2890.0
"Aug 15, 2011 00:00:00",2.89,2.89,2.89,2.89,34680.0
"Aug 16, 2011 00:00:00",2.9,3.19,2.9,3.04,140830.0
"Sep 09, 2011 00:00:00",2.8,2.8,2.8,2.8,2800.0
"Sep 23, 2011 00:00:00",2.8,2.8,2.8,2.8,106400.0
"Oct 18, 2011 00:00:00",2.1,2.1,2.1,2.1,21000.0
"Oct 21, 2011 00:00:00",2.13,2.85,2.1,2.85,87470.0
"Oct 24, 2011 00:00:00",2.5,2.5,2.5,2.5,20000.0
"Dec 06, 2011 00:00:00",2.5,2.5,2.5,2.5,195000.0
"Dec 27, 2011 00:00:00",2.1,2.1,2.1,2.1,4200.0
"Dec 29, 2011 00:00:00",2.1,2.1,2.1,2.1,2100.0
"Jan 27, 2012 00:00:00",2.67,3.1,2.48,3.0,127620.0
"Feb 03, 2012 00:00:00",3.0,3.0,3.0,3.0,3000.0
"Feb 08, 2012 00:00:00",2.15,2.15,2.15,2.15,6450.0
"Feb 13, 2012 00:00:00",2.15,2.15,2.15,2.15,2150.0
"Mar 08, 2012 00:00:00",2.11,2.11,2.1,2.1,4210.0
"Mar 12, 2012 00:00:00",2.2,3.0,2.2,2.89,58710.0
"Apr 18, 2012 00:00:00",2.89,3.0,2.89,3.0,23230.0
"May 02, 2012 00:00:00",3.01,3.01,3.01,3.01,3010.0
"May 03, 2012 00:00:00",2.4,2.4,2.4,2.4,9600.0
"May 07, 2012 00:00:00",2.41,2.41,2.41,2.41,12050.0
"May 08, 2012 00:00:00",2.4,2.4,2.4,2.4,21600.0
"May 18, 2012 00:00:00",2.4,2.4,2.4,2.4,7200.0
"Jun 28, 2012 00:00:00",2.88,2.88,2.88,2.88,2880.0
"Jun 29, 2012 00:00:00",2.86,3.0,2.86,3.0,462800.0
"Jul 02, 2012 00:00:00",3.05,3.4,3.05,3.4,1676280.0
"Jul 03, 2012 00:00:00",3.4,3.4,3.01,3.36,633230.0
"Jul 04, 2012 00:00:00",2.5,3.43,2.5,3.43,504970.0
"Jul 05, 2012 00:00:00",3.4,3.45,3.4,3.45,572170.0
"Jul 06, 2012 00:00:00",3.45,3.5,3.45,3.5,613850.0
"Jul 09, 2012 00:00:00",3.53,4.2,3.53,4.0,3984420.0
"Jul 10, 2012 00:00:00",4.0,4.19,3.81,4.05,981080.0
"Jul 11, 2012 00:00:00",4.0,4.33,3.8,3.82,2191130.0
"Jul 12, 2012 00:00:00",3.8,3.87,3.6,3.77,261100.0
"Jul 13, 2012 00:00:00",3.78,3.8,3.02,3.3,781320.0
"Jul 16, 2012 00:00:00",3.35,3.66,3.35,3.66,1476490.0
"Jul 17, 2012 00:00:00",3.65,3.65,3.41,3.41,60450.0
"Jul 18, 2012 00:00:00",3.33,3.47,3.29,3.45,106300.0
"Jul 20, 2012 00:00:00",3.04,3.43,3.04,3.43,37290.0
"Jul 23, 2012 00:00:00",3.4,3.4,3.4,3.4,20400.0
"Jul 25, 2012 00:00:00",3.4,3.66,3.2,3.56,365240.0
"Jul 26, 2012 00:00:00",3.16,3.6,3.16,3.6,264520.0
"Jul 27, 2012 00:00:00",3.63,3.8,3.63,3.79,277450.0
"Aug 01, 2012 00:00:00",3.47,3.47,3.3,3.38,13460.0
"Aug 02, 2012 00:00:00",3.37,3.37,3.37,3.37,33700.0
"Aug 03, 2012 00:00:00",3.35,3.79,3.35,3.79,77850.0
"Aug 06, 2012 00:00:00",3.75,4.03,3.75,3.9,169510.0
"Aug 08, 2012 00:00:00",3.48,3.5,3.0,3.5,1018750.0
"Aug 09, 2012 00:00:00",3.12,3.65,3.12,3.5,342870.0
"Aug 10, 2012 00:00:00",3.6,3.63,3.6,3.63,72300.0
"Aug 16, 2012 00:00:00",3.65,3.82,3.48,3.51,543630.0
"Aug 17, 2012 00:00:00",3.22,3.53,3.1,3.53,101960.0
"Aug 24, 2012 00:00:00",3.55,3.6,3.55,3.6,293350.0
"Sep 18, 2012 00:00:00",3.2,3.4,3.18,3.4,12960.0
"Sep 19, 2012 00:00:00",3.42,3.46,3.42,3.45,244460.0
"Sep 21, 2012 00:00:00",3.2,3.41,3.18,3.41,32170.0
"Oct 08, 2012 00:00:00",3.03,3.03,3.03,3.03,9090.0
"Oct 09, 2012 00:00:00",3.48,3.48,3.48,3.48,52200.0
"Oct 10, 2012 00:00:00",3.5,3.6,3.15,3.5,51450.0
"Oct 15, 2012 00:00:00",3.5,3.5,3.5,3.5,3500.0
"Oct 18, 2012 00:00:00",3.0,3.0,3.0,3.0,63000.0
"Oct 19, 2012 00:00:00",3.47,3.47,3.47,3.47,6940.0
"Nov 07, 2012 00:00:00",3.43,3.44,3.43,3.44,30920.0
"Nov 19, 2012 00:00:00",3.47,3.8,3.0,3.1,669500.0
"Nov 20, 2012 00:00:00",3.0,3.07,2.9,3.07,205690.0
"Nov 22, 2012 00:00:00",3.0,3.0,3.0,3.0,3000.0
"Nov 23, 2012 00:00:00",2.4,2.9,2.4,2.9,10350.0
"Nov 27, 2012 00:00:00",2.9,2.9,2.9,2.9,2900.0
"Dec 04, 2012 00:00:00",2.47,2.99,2.47,2.99,49920.00000000001
"Dec 13, 2012 00:00:00",3.1,3.21,3.1,3.21,63080.0
"Dec 18, 2012 00:00:00",3.19,4.15,3.19,4.0,1491350.0
"Dec 19, 2012 00:00:00",3.6,4.18,3.3,3.32,649700.0
"Dec 20, 2012 00:00:00",3.07,3.5,3.0,3.35,235010.0
"Dec 21, 2012 00:00:00",3.15,3.6,3.15,3.6,570700.0
"Jan 02, 2013 00:00:00",3.55,3.6,3.54,3.54,1406200.0
"Jan 07, 2013 00:00:00",2.8,2.8,2.7,2.7,54750.0
"Jan 08, 2013 00:00:00",2.81,2.81,2.81,2.81,39340.0
"Jan 09, 2013 00:00:00",2.81,2.81,2.71,2.71,27700.0
"Jan 11, 2013 00:00:00",2.71,2.71,2.71,2.71,27100.0
"Jan 14, 2013 00:00:00",3.05,3.49,3.05,3.49,37730.0
"Jan 21, 2013 00:00:00",3.5,3.5,3.5,3.5,3500.0
"Jan 22, 2013 00:00:00",2.77,2.77,2.77,2.77,5540.0
"Jan 30, 2013 00:00:00",3.39,3.39,3.39,3.39,3390.0
"Feb 06, 2013 00:00:00",3.49,3.49,3.49,3.49,3490.0
"Feb 14, 2013 00:00:00",2.71,2.71,2.7,2.7,27050.0
"Feb 15, 2013 00:00:00",3.1,3.1,3.1,3.1,18600.0
"Feb 18, 2013 00:00:00",3.1,3.25,3.1,3.25,66300.0
"Feb 26, 2013 00:00:00",2.75,3.45,2.75,3.33,209250.0
"Feb 28, 2013 00:00:00",2.8,3.29,2.8,3.29,104090.0
"Mar 07, 2013 00:00:00",3.25,3.4,3.25,3.4,117270.0
"Mar 15, 2013 00:00:00",2.71,2.71,2.71,2.71,16260.0
"Mar 18, 2013 00:00:00",3.2,3.2,3.2,3.2,41600.0
"Mar 22, 2013 00:00:00",2.6,3.23,2.6,3.23,37640.0
"Apr 01, 2013 00:00:00",2.52,3.2,2.52,3.2,5720.0
"Apr 02, 2013 00:00:00",3.19,3.28,3.19,3.28,305520.0
