chart_date,open,high,low,close,value
"Aug 04, 2009 00:00:00",41.0,41.5,41.0,41.5,1243300.0
"Aug 06, 2009 00:00:00",41.5,41.5,41.5,41.5,4150.0
"Aug 07, 2009 00:00:00",41.5,41.5,41.5,41.5,20750.0
"Aug 10, 2009 00:00:00",42.0,42.0,42.0,42.0,105000.0
"Aug 11, 2009 00:00:00",41.5,41.5,41.5,41.5,510450.0
"Aug 12, 2009 00:00:00",41.5,41.5,41.5,41.5,373500.0
"Aug 13, 2009 00:00:00",41.5,41.5,41.5,41.5,415000.0
"Aug 14, 2009 00:00:00",41.5,41.5,41.5,41.5,207500.0
"Aug 18, 2009 00:00:00",41.5,41.5,41.5,41.5,323700.0
"Aug 19, 2009 00:00:00",41.5,42.0,41.5,42.0,527650.0
"Aug 25, 2009 00:00:00",42.0,42.0,42.0,42.0,16800.0
"Sep 04, 2009 00:00:00",42.5,42.5,42.5,42.5,63750.0
"Sep 17, 2009 00:00:00",42.5,42.5,42.5,42.5,38250.0
"Sep 18, 2009 00:00:00",43.0,43.0,43.0,43.0,43000.0
"Oct 01, 2009 00:00:00",42.5,43.5,42.5,43.5,268750.0
"Oct 02, 2009 00:00:00",43.5,43.5,43.5,43.5,43500.0
"Oct 06, 2009 00:00:00",43.5,43.5,43.5,43.5,43500.0
"Oct 07, 2009 00:00:00",43.5,43.5,43.5,43.5,43500.0
"Oct 08, 2009 00:00:00",43.0,43.5,43.0,43.5,258500.0
"Oct 12, 2009 00:00:00",42.0,42.5,42.0,42.5,21100.0
"Oct 13, 2009 00:00:00",42.5,42.5,42.5,42.5,335750.0
"Oct 14, 2009 00:00:00",43.0,43.0,42.5,42.5,30000.0
"Oct 16, 2009 00:00:00",42.0,42.0,42.0,42.0,289800.0
"Oct 19, 2009 00:00:00",43.5,43.5,43.5,43.5,43500.0
"Oct 20, 2009 00:00:00",43.0,43.0,42.5,42.5,12800.0
"Oct 21, 2009 00:00:00",43.0,43.0,43.0,43.0,43000.0
