chart_date,open,high,low,close,value
"Aug 14, 2009 00:00:00",2.0,2.0,2.0,2.0,14000.0
"Aug 18, 2009 00:00:00",2.2,2.2,2.2,2.2,22000.0
"Aug 24, 2009 00:00:00",2.0,2.0,2.0,2.0,4000.0
"Aug 26, 2009 00:00:00",2.0,2.16,2.0,2.16,24320.0
"Sep 17, 2009 00:00:00",1.9,1.9,1.9,1.9,104500.0
"Oct 01, 2009 00:00:00",2.06,2.06,2.06,2.06,2060.0
"Oct 05, 2009 00:00:00",1.82,1.82,1.82,1.82,41860.0
"Oct 21, 2009 00:00:00",1.9,1.9,1.9,1.9,1900.0
"Jan 28, 2010 00:00:00",1.08,1.08,1.08,1.08,3240.0
"May 14, 2010 00:00:00",1.58,1.58,1.58,1.58,1580.0
"Jun 10, 2010 00:00:00",1.5,1.5,1.5,1.5,15000.0
"Jun 23, 2010 00:00:00",0.95,0.95,0.95,0.95,950.0
"Oct 05, 2010 00:00:00",1.1,1.1,1.1,1.1,3300.0
"Oct 12, 2010 00:00:00",1.64,1.64,1.64,1.64,1640.0
"Oct 13, 2010 00:00:00",1.64,1.64,1.64,1.64,82000.0
"Nov 22, 2010 00:00:00",1.5,1.5,1.5,1.5,9000.0
"Nov 23, 2010 00:00:00",1.5,1.5,1.5,1.5,6000.0
"Dec 08, 2010 00:00:00",1.5,1.5,1.5,1.5,1500.0
"Jan 05, 2011 00:00:00",1.11,1.11,1.11,1.11,1110.0
"Jan 14, 2011 00:00:00",1.12,1.12,1.12,1.12,1120.0
"Jan 17, 2011 00:00:00",1.11,1.11,1.11,1.11,4440.0
"Jan 18, 2011 00:00:00",1.4,1.4,1.4,1.4,1400.0
"Feb 01, 2011 00:00:00",1.2,1.2,1.2,1.2,1200.0
"Feb 01, 2011 00:00:00",1.2,1.2,1.2,1.2,1200.0
"Feb 28, 2011 00:00:00",1.15,1.15,1.15,1.15,5750.0
"May 05, 2011 00:00:00",1.11,1.11,1.11,1.11,5550.0
"May 27, 2011 00:00:00",1.11,1.11,1.11,1.11,5550.0
"May 31, 2011 00:00:00",1.11,1.11,1.11,1.11,4440.0
"Jun 16, 2011 00:00:00",1.11,1.11,1.11,1.11,22200.0
"Jun 22, 2011 00:00:00",1.11,1.11,1.11,1.11,2220.0
"Jun 23, 2011 00:00:00",1.12,1.12,1.11,1.11,54400.0
"Aug 04, 2011 00:00:00",1.11,1.11,1.11,1.11,3330.0
"Sep 13, 2011 00:00:00",1.11,1.11,1.11,1.11,1110.0
"Sep 22, 2011 00:00:00",1.11,1.11,1.11,1.11,11100.0
"Sep 23, 2011 00:00:00",1.11,1.11,1.11,1.11,11100.0
"Sep 26, 2011 00:00:00",1.1,1.1,1.1,1.1,22000.0
"Sep 28, 2011 00:00:00",1.1,1.1,1.1,1.1,22000.0
"Oct 03, 2011 00:00:00",1.1,1.1,1.1,1.1,22000.0
"Oct 04, 2011 00:00:00",1.1,1.1,1.1,1.1,22000.0
"Oct 05, 2011 00:00:00",1.14,1.14,1.14,1.14,22800.0
"Oct 06, 2011 00:00:00",1.14,1.14,1.14,1.14,22800.0
"Oct 11, 2011 00:00:00",1.14,1.14,1.14,1.14,31920.0
"Oct 18, 2011 00:00:00",1.6,1.6,1.6,1.6,284800.0
"Oct 19, 2011 00:00:00",1.6,1.6,1.6,1.6,1600.0
"Nov 10, 2011 00:00:00",1.11,1.11,1.11,1.11,142080.0
"Nov 15, 2011 00:00:00",1.25,1.6,1.25,1.6,20650.0
"Nov 17, 2011 00:00:00",1.6,1.6,1.6,1.6,1600.0
"Nov 21, 2011 00:00:00",1.6,1.6,1.6,1.6,6400.0
"Nov 24, 2011 00:00:00",1.6,1.6,1.6,1.6,17600.0
"Nov 28, 2011 00:00:00",1.88,2.0,1.88,2.0,104200.0
"Dec 06, 2011 00:00:00",2.0,2.1,2.0,2.1,18100.0
