chart_date,open,high,low,close,value
"Aug 17, 2009 00:00:00",1.5,1.5,1.5,1.5,18000.0
"Aug 18, 2009 00:00:00",1.5,1.5,1.5,1.5,3000.0
"Aug 25, 2009 00:00:00",1.5,1.5,1.5,1.5,37500.0
"Sep 03, 2009 00:00:00",1.5,1.5,1.5,1.5,1500.0
"Sep 22, 2009 00:00:00",1.8,1.8,1.8,1.8,7200.0
"Sep 30, 2009 00:00:00",1.5,1.5,1.5,1.5,31500.0
"Oct 02, 2009 00:00:00",1.5,1.5,1.5,1.5,30000.0
"Oct 05, 2009 00:00:00",1.5,1.5,1.5,1.5,30000.0
"Oct 22, 2009 00:00:00",1.8,1.8,1.8,1.8,5400.0
"Oct 23, 2009 00:00:00",1.8,1.8,1.8,1.8,1800.0
"Oct 26, 2009 00:00:00",1.8,1.8,1.8,1.8,54000.0
"Oct 27, 2009 00:00:00",1.8,1.8,1.8,1.8,3600.0
"Oct 29, 2009 00:00:00",1.7,1.7,1.7,1.7,85000.0
"Oct 30, 2009 00:00:00",1.7,1.7,1.7,1.7,22100.0
"Nov 03, 2009 00:00:00",1.68,1.68,1.68,1.68,20160.0
"Nov 05, 2009 00:00:00",1.3,1.3,1.3,1.3,2600.0
"Nov 06, 2009 00:00:00",1.78,1.78,1.78,1.78,40940.0
"Dec 16, 2009 00:00:00",1.42,1.42,1.36,1.36,48060.0
"Dec 22, 2009 00:00:00",1.4,1.4,1.4,1.4,28000.0
"Dec 23, 2009 00:00:00",1.6,1.6,1.6,1.6,17600.0
"Dec 29, 2009 00:00:00",1.6,1.6,1.6,1.6,81600.0
"Jan 06, 2010 00:00:00",1.6,1.6,1.6,1.6,6400.0
"Jan 07, 2010 00:00:00",1.6,1.6,1.6,1.6,1600.0
"Jan 12, 2010 00:00:00",1.6,1.6,1.6,1.6,5166400.0
"Jan 14, 2010 00:00:00",1.6,1.6,1.6,1.6,200000.0
"Jan 15, 2010 00:00:00",1.6,1.6,1.6,1.6,505600.0
"Jan 22, 2010 00:00:00",1.62,1.62,1.62,1.62,1620.0
"Jan 25, 2010 00:00:00",1.6,1.6,1.6,1.6,9600.0
"Jan 27, 2010 00:00:00",1.6,1.6,1.6,1.6,80000.0
"Feb 04, 2010 00:00:00",1.3,1.3,1.3,1.3,26000.0
"Feb 11, 2010 00:00:00",1.52,1.52,1.52,1.52,3040.0
"Mar 12, 2010 00:00:00",1.6,1.6,1.6,1.6,9600.0
"Mar 15, 2010 00:00:00",1.6,1.6,1.6,1.6,40000.0
"May 21, 2010 00:00:00",1.56,1.56,1.56,1.56,23400.0
"May 26, 2010 00:00:00",1.6,1.6,1.6,1.6,3208000.0
"Jun 08, 2010 00:00:00",1.5,1.5,1.5,1.5,16500.0
"Jun 11, 2010 00:00:00",1.5,1.5,1.5,1.5,3000.0
"Jun 21, 2010 00:00:00",1.52,1.52,1.52,1.52,51680.0
"Jul 23, 2010 00:00:00",1.6,1.6,1.6,1.6,32000.0
"Sep 20, 2010 00:00:00",1.7,1.7,1.7,1.7,3400.0
"Sep 21, 2010 00:00:00",2.0,2.0,2.0,2.0,20000.0
