chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",9.1,9.3,9.0,9.2,44980300.0
"Aug 04, 2009 00:00:00",9.2,9.3,9.2,9.2,45734600.0
"Aug 06, 2009 00:00:00",9.1,9.1,9.0,9.1,49948800.0
"Aug 07, 2009 00:00:00",9.0,9.1,9.0,9.0,32918300.0
"Aug 10, 2009 00:00:00",9.2,9.3,9.1,9.1,14441500.0
"Aug 11, 2009 00:00:00",9.1,9.1,9.0,9.1,4758600.0
"Aug 12, 2009 00:00:00",9.1,9.1,9.0,9.1,3518200.0
"Aug 13, 2009 00:00:00",9.1,9.2,9.1,9.1,5536000.0
"Aug 14, 2009 00:00:00",9.1,9.2,9.0,9.2,7431900.0
"Aug 17, 2009 00:00:00",9.1,9.1,8.5,8.6,19332200.0
"Aug 18, 2009 00:00:00",8.5,8.7,8.2,8.5,19606200.0
"Aug 19, 2009 00:00:00",8.6,8.9,8.6,8.8,16011400.0
"Aug 20, 2009 00:00:00",8.9,8.9,8.8,8.8,7505300.0
"Aug 24, 2009 00:00:00",9.0,9.7,9.0,9.7,42145000.0
"Aug 25, 2009 00:00:00",9.9,10.5,9.9,10.0,82904950.0
"Aug 26, 2009 00:00:00",10.0,10.5,10.0,10.5,37051750.0
"Sep 03, 2009 00:00:00",10.0,10.0,9.9,9.9,91371100.0
"Sep 04, 2009 00:00:00",10.0,10.0,9.9,10.0,25455500.0
"Sep 16, 2009 00:00:00",10.0,10.25,9.9,9.9,134969725.0
"Sep 17, 2009 00:00:00",10.0,10.25,10.0,10.0,112622500.0
"Sep 18, 2009 00:00:00",10.0,10.0,10.0,10.0,33690000.0
"Sep 22, 2009 00:00:00",10.0,10.0,9.7,9.8,91198300.0
"Sep 23, 2009 00:00:00",10.0,10.25,10.0,10.25,178303250.0
"Sep 30, 2009 00:00:00",10.25,10.75,10.25,10.5,120438750.0
"Oct 01, 2009 00:00:00",10.5,11.25,10.5,11.25,89284150.0
"Oct 02, 2009 00:00:00",10.75,11.0,10.5,11.0,60733375.0
"Oct 05, 2009 00:00:00",11.0,11.75,11.0,11.75,72879700.0
"Oct 06, 2009 00:00:00",12.5,13.0,12.0,12.25,107374400.0
"Oct 07, 2009 00:00:00",12.5,13.0,12.0,13.0,108377525.0
"Oct 08, 2009 00:00:00",12.75,13.0,12.25,12.75,54101900.0
"Oct 09, 2009 00:00:00",12.75,12.75,11.75,12.25,68739850.0
"Oct 12, 2009 00:00:00",12.0,12.25,11.5,12.0,19903425.0
"Oct 13, 2009 00:00:00",12.0,12.5,12.0,12.0,89221600.0
"Oct 14, 2009 00:00:00",12.25,12.5,12.0,12.5,54779050.0
"Oct 15, 2009 00:00:00",12.5,12.5,12.0,12.25,73545700.0
"Oct 16, 2009 00:00:00",12.0,12.25,11.75,11.75,10728225.0
"Oct 19, 2009 00:00:00",11.75,12.0,11.75,12.0,14267800.0
"Oct 20, 2009 00:00:00",11.75,12.0,11.5,11.75,124393775.0
"Oct 21, 2009 00:00:00",11.75,11.75,11.5,11.75,74521650.0
"Oct 22, 2009 00:00:00",11.5,11.75,11.5,11.75,55969350.0
"Oct 23, 2009 00:00:00",12.25,12.75,12.0,12.75,85719875.0
"Oct 26, 2009 00:00:00",12.75,13.0,12.5,12.75,34269000.0
"Oct 27, 2009 00:00:00",12.5,12.5,12.0,12.25,48506400.0
"Oct 28, 2009 00:00:00",12.5,12.5,11.75,12.0,261084400.0
"Oct 29, 2009 00:00:00",11.75,12.0,11.5,11.75,145182450.0
"Oct 30, 2009 00:00:00",12.0,12.25,11.75,12.25,328270250.0
"Nov 03, 2009 00:00:00",12.0,12.25,11.75,12.0,83249125.0
"Nov 04, 2009 00:00:00",11.75,12.0,11.75,12.0,94815025.0
"Nov 05, 2009 00:00:00",11.75,12.0,11.75,12.0,66058875.0
"Nov 06, 2009 00:00:00",12.0,12.0,11.75,11.75,68205325.0
"Nov 09, 2009 00:00:00",12.0,12.0,11.75,12.0,126333000.0
"Nov 10, 2009 00:00:00",12.0,12.75,11.75,12.25,67579850.0
"Nov 11, 2009 00:00:00",12.25,12.75,12.25,12.5,16437400.0
"Dec 15, 2009 00:00:00",13.25,13.25,13.0,13.0,48838825.0
"Dec 16, 2009 00:00:00",13.25,13.25,12.75,13.25,19540625.0
"Dec 17, 2009 00:00:00",13.25,13.25,13.0,13.0,40586050.0
"Dec 18, 2009 00:00:00",13.0,13.0,12.75,12.75,87605725.0
"Dec 21, 2009 00:00:00",12.75,13.0,12.75,13.0,9995650.0
"Dec 22, 2009 00:00:00",13.25,13.25,12.75,13.0,16761925.0
"Dec 23, 2009 00:00:00",13.0,13.0,13.0,13.0,140400.0
"Dec 29, 2009 00:00:00",13.0,13.0,12.75,13.0,7425525.0
"Jan 04, 2010 00:00:00",13.0,13.25,12.75,12.75,26195200.0
"Jan 05, 2010 00:00:00",12.75,13.25,12.75,13.0,9426850.0
"Jan 06, 2010 00:00:00",13.0,13.0,13.0,13.0,69028700.0
"Jan 07, 2010 00:00:00",13.0,13.0,13.0,13.0,14329900.0
"Jan 08, 2010 00:00:00",13.0,13.25,13.0,13.0,17479825.0
"Jan 11, 2010 00:00:00",13.0,13.0,13.0,13.0,12983100.0
"Jan 12, 2010 00:00:00",13.0,13.25,13.0,13.25,37805625.0
"Jan 13, 2010 00:00:00",13.25,13.25,13.0,13.25,34050575.0
"Jan 14, 2010 00:00:00",13.25,13.75,13.25,13.25,303499625.0
"Jan 15, 2010 00:00:00",13.5,13.5,13.25,13.5,4205425.0
"Jan 18, 2010 00:00:00",13.5,13.5,13.25,13.25,1485625.0
"Jan 19, 2010 00:00:00",13.25,13.25,13.0,13.25,65843475.0
"Jan 20, 2010 00:00:00",13.25,13.25,13.0,13.25,68665200.0
"Jan 21, 2010 00:00:00",13.25,13.25,13.0,13.25,12068250.0
"Jan 22, 2010 00:00:00",12.75,13.0,12.75,12.75,50203875.0
"Jan 25, 2010 00:00:00",12.5,12.75,12.0,12.0,110801500.0
"Jan 26, 2010 00:00:00",12.0,12.5,12.0,12.0,28805700.0
"Jan 27, 2010 00:00:00",12.0,12.25,11.25,11.5,196033475.0
"Jan 28, 2010 00:00:00",11.5,12.5,11.5,12.0,13666625.0
"Jan 29, 2010 00:00:00",11.75,12.0,11.75,12.0,34339525.0
"Feb 01, 2010 00:00:00",12.0,12.0,11.25,11.75,55858425.0
"Feb 02, 2010 00:00:00",12.0,12.0,11.25,11.5,52492775.0
"Feb 03, 2010 00:00:00",11.5,11.75,11.25,11.75,26784750.0
"Feb 04, 2010 00:00:00",11.75,11.75,11.5,11.75,6905700.0
"Feb 05, 2010 00:00:00",11.25,11.25,11.0,11.25,17347900.0
"Feb 08, 2010 00:00:00",11.5,11.5,11.0,11.25,19303800.0
"Feb 09, 2010 00:00:00",11.25,11.25,10.25,10.75,29326550.0
"Feb 10, 2010 00:00:00",11.0,11.0,10.75,10.75,35898475.0
"Feb 11, 2010 00:00:00",11.0,11.5,11.0,11.5,43185350.0
"Mar 08, 2010 00:00:00",14.0,14.5,14.0,14.25,22627700.0
"Mar 12, 2010 00:00:00",14.25,14.25,14.0,14.0,56347300.0
"Mar 15, 2010 00:00:00",13.75,14.0,13.75,13.75,12321750.0
"Mar 16, 2010 00:00:00",14.0,14.0,13.75,14.0,10046700.0
"Mar 17, 2010 00:00:00",14.0,14.0,13.75,14.0,23677850.0
"Mar 31, 2010 00:00:00",14.5,14.5,14.25,14.5,92804275.0
