chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",2.9,2.9,2.9,2.9,2900.0
"Aug 12, 2009 00:00:00",3.0,3.0,3.0,3.0,18000.0
"Aug 13, 2009 00:00:00",3.0,3.0,3.0,3.0,6000.0
"Aug 20, 2009 00:00:00",3.0,3.0,3.0,3.0,30000.0
"Aug 24, 2009 00:00:00",2.9,2.9,2.9,2.9,20300.0
"Sep 16, 2009 00:00:00",3.3,3.5,3.3,3.5,13400.0
"Sep 17, 2009 00:00:00",3.5,3.5,3.5,3.5,7000.0
"Sep 23, 2009 00:00:00",3.1,3.5,3.1,3.5,19000.0
"Sep 30, 2009 00:00:00",3.1,3.5,3.1,3.5,34500.0
"Oct 01, 2009 00:00:00",3.4,3.5,3.4,3.5,6900.0
"Oct 05, 2009 00:00:00",3.3,3.5,3.3,3.3,894500.0
"Oct 06, 2009 00:00:00",3.3,3.5,3.3,3.5,46400.0
"Oct 07, 2009 00:00:00",3.5,3.5,3.5,3.5,24500.0
"Oct 09, 2009 00:00:00",3.4,3.4,3.4,3.4,10200.0
"Oct 12, 2009 00:00:00",3.5,3.5,3.3,3.4,20400.0
"Oct 14, 2009 00:00:00",3.2,3.5,3.2,3.5,9900.0
"Oct 15, 2009 00:00:00",3.4,3.4,3.4,3.4,44200.0
"Oct 16, 2009 00:00:00",3.2,3.4,3.2,3.3,55700.0
"Oct 19, 2009 00:00:00",3.2,3.35,3.2,3.35,160350.0
"Oct 20, 2009 00:00:00",3.4,3.5,3.4,3.5,291400.0
"Oct 23, 2009 00:00:00",3.15,3.45,3.15,3.45,93150.0
"Oct 26, 2009 00:00:00",3.45,3.45,3.45,3.45,69000.0
"Oct 28, 2009 00:00:00",3.4,3.4,3.4,3.4,27200.0
"Oct 30, 2009 00:00:00",3.3,3.35,3.3,3.35,103100.0
"Nov 05, 2009 00:00:00",2.55,3.1,2.55,3.1,141700.0
"Nov 06, 2009 00:00:00",3.1,3.2,2.85,3.1,261500.0
"Nov 09, 2009 00:00:00",3.0,3.0,2.9,2.9,38000.0
"Nov 10, 2009 00:00:00",2.8,2.8,2.8,2.8,14000.0
"Dec 16, 2009 00:00:00",2.85,2.85,2.85,2.85,42750.0
"Dec 17, 2009 00:00:00",2.85,2.85,2.8,2.8,22550.0
"Dec 18, 2009 00:00:00",2.9,2.9,2.9,2.9,58000.0
"Jan 08, 2010 00:00:00",3.1,3.15,3.1,3.15,56150.0
"Jan 12, 2010 00:00:00",3.25,3.25,3.25,3.25,9750.0
"Jan 13, 2010 00:00:00",3.25,3.25,3.25,3.25,26000.0
"Jan 14, 2010 00:00:00",3.3,3.3,3.1,3.1,38400.0
"Jan 20, 2010 00:00:00",3.1,3.1,3.1,3.1,3100.0
"Jan 21, 2010 00:00:00",3.1,3.1,3.1,3.1,3100.0
"Jan 25, 2010 00:00:00",3.15,3.15,3.15,3.15,3150.0
"Jan 26, 2010 00:00:00",3.15,3.15,3.15,3.15,6300.0
"Jan 27, 2010 00:00:00",3.15,3.15,3.1,3.1,142700.0
"Mar 08, 2010 00:00:00",2.8,2.8,2.8,2.8,5600.0
"May 04, 2010 00:00:00",2.6,2.6,2.6,2.6,62400.0
"May 26, 2010 00:00:00",2.55,2.55,2.55,2.55,2550.0
"May 27, 2010 00:00:00",2.55,2.55,2.55,2.55,5100.0
"May 28, 2010 00:00:00",2.6,2.6,2.6,2.6,7800.0
"Jun 01, 2010 00:00:00",2.6,2.6,2.6,2.6,10400.0
"Jun 02, 2010 00:00:00",2.6,2.6,2.55,2.55,10300.0
"Jun 15, 2010 00:00:00",2.55,2.55,2.55,2.55,12750.0
"Jun 21, 2010 00:00:00",2.6,2.65,2.6,2.65,10500.0
"Jun 22, 2010 00:00:00",2.55,2.55,2.55,2.55,2550.0
"Jun 24, 2010 00:00:00",2.55,2.55,2.55,2.55,5100.0
"Jun 29, 2010 00:00:00",2.55,2.55,2.55,2.55,84150.0
"Jul 21, 2010 00:00:00",2.6,2.6,2.6,2.6,15600.0
"Sep 21, 2010 00:00:00",2.95,2.95,2.95,2.95,8850.0
"Sep 22, 2010 00:00:00",2.93,2.96,2.93,2.96,11810.0
"Sep 24, 2010 00:00:00",2.96,2.96,2.95,2.95,88510.0
"Sep 29, 2010 00:00:00",2.95,2.95,2.95,2.95,70800.0
"Oct 04, 2010 00:00:00",2.95,2.95,2.95,2.95,2950.0
"Oct 07, 2010 00:00:00",2.91,2.91,2.9,2.9,127810.0
