chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.21,0.21,0.2,0.2,531500.0
"Aug 04, 2009 00:00:00",0.2,0.205,0.2,0.205,545500.0
"Aug 06, 2009 00:00:00",0.205,0.205,0.2,0.2,586050.0
"Aug 07, 2009 00:00:00",0.195,0.195,0.18,0.195,770850.0
"Aug 10, 2009 00:00:00",0.2,0.2,0.17,0.175,9127850.0
"Aug 11, 2009 00:00:00",0.18,0.18,0.17,0.17,4328400.0
"Aug 12, 2009 00:00:00",0.175,0.175,0.15,0.155,4655750.0
"Aug 13, 2009 00:00:00",0.155,0.16,0.15,0.15,2600250.0
"Aug 14, 2009 00:00:00",0.155,0.165,0.155,0.165,4790850.0
"Aug 17, 2009 00:00:00",0.16,0.165,0.155,0.155,2092350.0
"Aug 18, 2009 00:00:00",0.155,0.155,0.15,0.155,623600.0
"Aug 19, 2009 00:00:00",0.16,0.16,0.155,0.155,176800.0
"Aug 20, 2009 00:00:00",0.155,0.155,0.15,0.155,1489050.0
"Aug 24, 2009 00:00:00",0.16,0.16,0.155,0.155,192300.0
"Aug 25, 2009 00:00:00",0.155,0.16,0.155,0.155,205250.0
"Aug 26, 2009 00:00:00",0.16,0.165,0.16,0.165,706250.0
"Sep 03, 2009 00:00:00",0.155,0.155,0.155,0.155,165850.0
"Sep 04, 2009 00:00:00",0.16,0.16,0.155,0.16,544100.0
"Sep 16, 2009 00:00:00",0.17,0.17,0.16,0.16,630600.0
"Sep 17, 2009 00:00:00",0.17,0.17,0.16,0.16,187850.0
"Sep 18, 2009 00:00:00",0.165,0.165,0.16,0.165,29650.0
"Sep 22, 2009 00:00:00",0.16,0.17,0.16,0.17,78500.0
"Sep 23, 2009 00:00:00",0.16,0.165,0.16,0.16,566750.0
"Sep 30, 2009 00:00:00",0.155,0.16,0.15,0.155,329150.0
"Oct 01, 2009 00:00:00",0.155,0.16,0.155,0.16,143400.0
"Oct 02, 2009 00:00:00",0.16,0.16,0.155,0.155,240600.0
"Oct 05, 2009 00:00:00",0.155,0.155,0.155,0.155,34100.0
"Oct 06, 2009 00:00:00",0.16,0.16,0.155,0.16,6300.0
"Oct 07, 2009 00:00:00",0.155,0.16,0.155,0.16,1241600.0
"Oct 08, 2009 00:00:00",0.16,0.16,0.155,0.155,65350.0
"Oct 09, 2009 00:00:00",0.155,0.155,0.155,0.155,390600.0
