chart_date,open,high,low,close,value
"Jul 04, 2011 00:00:00",6.0,6.0,6.0,6.0,17400.0
"Jul 05, 2011 00:00:00",5.5,5.5,5.5,5.5,34100.0
"Jul 07, 2011 00:00:00",4.4,4.4,4.4,4.4,103840.0
"Jul 11, 2011 00:00:00",3.65,3.65,3.0,3.0,13150.0
"Jul 12, 2011 00:00:00",3.0,3.0,3.0,3.0,6000.0
"Jul 13, 2011 00:00:00",2.2,2.2,2.2,2.2,46200.0
"Jul 14, 2011 00:00:00",1.5,1.5,1.5,1.5,30000.0
"Jul 15, 2011 00:00:00",1.5,1.8,1.5,1.8,21300.0
"Jul 18, 2011 00:00:00",1.99,2.0,1.99,2.0,25950.0
"Jul 19, 2011 00:00:00",1.9,2.05,1.9,2.05,54400.0
"Jul 21, 2011 00:00:00",2.05,3.0,2.05,3.0,50350.0
"Jul 22, 2011 00:00:00",3.0,3.0,2.1,2.25,118510.0
"Jul 25, 2011 00:00:00",2.96,2.98,2.96,2.98,20820.0
"Jul 28, 2011 00:00:00",1.98,1.98,1.51,1.9,99480.0
"Jul 29, 2011 00:00:00",1.85,1.86,1.85,1.86,18580.0
"Aug 01, 2011 00:00:00",2.4,2.4,2.4,2.4,2400.0
"Aug 02, 2011 00:00:00",2.65,2.65,1.92,1.98,28210.0
"Aug 03, 2011 00:00:00",1.98,1.98,1.7,1.98,64560.0
"Aug 09, 2011 00:00:00",1.7,1.98,1.68,1.98,20580.0
"Aug 11, 2011 00:00:00",1.68,1.68,1.68,1.68,10080.0
"Aug 16, 2011 00:00:00",1.96,1.96,1.96,1.96,11760.0
"Aug 18, 2011 00:00:00",1.5,1.8,1.5,1.8,15300.0
"Aug 19, 2011 00:00:00",1.5,2.29,1.5,2.29,225640.0
"Aug 22, 2011 00:00:00",2.0,2.0,2.0,2.0,20000.0
"Aug 23, 2011 00:00:00",2.0,2.0,1.56,1.56,19600.0
"Aug 24, 2011 00:00:00",1.87,1.87,1.87,1.87,5610.0
"Aug 25, 2011 00:00:00",1.5,1.5,1.5,1.5,1500.0
"Aug 31, 2011 00:00:00",1.55,1.55,1.5,1.5,13600.0
"Sep 02, 2011 00:00:00",1.85,1.85,1.85,1.85,18500.0
"Sep 05, 2011 00:00:00",1.86,1.86,1.85,1.85,18550.0
"Sep 08, 2011 00:00:00",1.52,1.52,1.52,1.52,25840.0
"Sep 09, 2011 00:00:00",1.6,1.6,1.6,1.6,83200.0
"Sep 12, 2011 00:00:00",1.6,1.61,1.6,1.61,86900.0
"Sep 13, 2011 00:00:00",1.6,1.6,1.6,1.6,64000.0
"Sep 16, 2011 00:00:00",1.52,1.61,1.52,1.61,29780.0
"Sep 19, 2011 00:00:00",1.62,1.62,1.62,1.62,16200.0
"Sep 22, 2011 00:00:00",1.52,1.52,1.52,1.52,31920.0
"Sep 23, 2011 00:00:00",1.52,1.52,1.52,1.52,15200.0
"Sep 26, 2011 00:00:00",1.5,1.5,1.5,1.5,15000.0
"Oct 04, 2011 00:00:00",1.5,1.5,1.5,1.5,21000.0
"Oct 07, 2011 00:00:00",1.3,1.3,1.3,1.3,1300.0
"Oct 17, 2011 00:00:00",1.3,1.3,1.15,1.16,70420.0
"Oct 18, 2011 00:00:00",1.1,1.25,1.1,1.25,49800.0
