chart_date,open,high,low,close,value
"Aug 12, 2009 00:00:00",0.8,0.8,0.8,0.8,8000.0
"Aug 13, 2009 00:00:00",0.78,0.78,0.78,0.78,15600.0
"Aug 14, 2009 00:00:00",0.78,0.78,0.78,0.78,62400.0
"Aug 18, 2009 00:00:00",0.76,0.76,0.76,0.76,76000.0
"Aug 20, 2009 00:00:00",0.75,0.75,0.75,0.75,75000.0
"Aug 24, 2009 00:00:00",0.75,0.8,0.75,0.8,108700.0
"Aug 25, 2009 00:00:00",0.8,0.8,0.8,0.8,56000.0
"Aug 26, 2009 00:00:00",0.87,0.88,0.87,0.88,26200.0
"Sep 04, 2009 00:00:00",0.8,0.8,0.8,0.8,8000.0
"Sep 16, 2009 00:00:00",0.8,0.8,0.8,0.8,256000.0
"Sep 18, 2009 00:00:00",0.88,0.89,0.88,0.89,141800.0
"Sep 22, 2009 00:00:00",0.9,0.9,0.85,0.85,179000.0
"Sep 23, 2009 00:00:00",0.84,0.84,0.84,0.84,84000.0
"Sep 30, 2009 00:00:00",0.81,0.82,0.81,0.82,89200.0
"Oct 01, 2009 00:00:00",0.83,0.83,0.81,0.81,65000.0
"Oct 02, 2009 00:00:00",0.8,0.8,0.8,0.8,56000.0
"Oct 07, 2009 00:00:00",0.84,0.84,0.84,0.84,84000.0
"Oct 08, 2009 00:00:00",0.8,0.8,0.8,0.8,24000.0
"Oct 15, 2009 00:00:00",0.8,0.8,0.8,0.8,8000.0
"Oct 16, 2009 00:00:00",0.79,0.79,0.78,0.78,15700.0
"Oct 21, 2009 00:00:00",0.78,0.78,0.78,0.78,78000.0
"Oct 26, 2009 00:00:00",0.79,0.79,0.79,0.79,7900.0
"Oct 28, 2009 00:00:00",0.82,0.82,0.82,0.82,8200.0
"Oct 29, 2009 00:00:00",0.79,0.79,0.79,0.79,39500.0
"Nov 03, 2009 00:00:00",0.79,0.79,0.79,0.79,15800.0
"Nov 06, 2009 00:00:00",0.79,0.79,0.79,0.79,7900.0
"Nov 10, 2009 00:00:00",0.73,0.74,0.73,0.74,95700.0
"Nov 11, 2009 00:00:00",0.74,0.74,0.74,0.74,74000.0
"Dec 15, 2009 00:00:00",0.75,0.75,0.74,0.74,171300.0
"Dec 22, 2009 00:00:00",0.74,0.74,0.74,0.74,51800.0
"Dec 23, 2009 00:00:00",0.8,0.82,0.8,0.82,48600.0
"Dec 29, 2009 00:00:00",0.82,0.82,0.82,0.82,164000.0
"Jan 05, 2010 00:00:00",0.84,0.84,0.84,0.84,184800.0
"Jan 06, 2010 00:00:00",0.8,0.8,0.8,0.8,80000.0
"Jan 07, 2010 00:00:00",0.79,0.79,0.79,0.79,158000.0
"Jan 08, 2010 00:00:00",0.78,0.78,0.78,0.78,156000.0
"Jan 11, 2010 00:00:00",0.76,0.76,0.76,0.76,76000.0
"Jan 12, 2010 00:00:00",0.76,0.76,0.76,0.76,76000.0
"Jan 15, 2010 00:00:00",0.79,0.79,0.79,0.79,7900.0
"Jan 18, 2010 00:00:00",0.79,0.79,0.79,0.79,7900.0
"Jan 19, 2010 00:00:00",0.8,0.8,0.8,0.8,16000.0
"Jan 20, 2010 00:00:00",0.79,0.79,0.79,0.79,7900.0
"Jan 27, 2010 00:00:00",0.79,0.79,0.79,0.79,118500.0
