chart_date,open,high,low,close,value
"Sep 21, 2015 00:00:00",78.0,78.8,77.5,78.0,13774090.0
"Sep 22, 2015 00:00:00",78.5,78.5,76.5,78.0,25334040.0
"Sep 23, 2015 00:00:00",78.0,78.5,77.0,77.0,68281470.0
"Sep 24, 2015 00:00:00",77.25,77.55,77.25,77.5,27833075.0
"Sep 28, 2015 00:00:00",77.7,78.5,77.5,78.5,19398957.0
"Sep 29, 2015 00:00:00",78.5,78.5,78.45,78.45,11683126.5
"Sep 30, 2015 00:00:00",78.45,78.45,78.4,78.45,8692010.0
"Oct 01, 2015 00:00:00",78.35,78.35,78.35,78.35,13355541.0
"Oct 02, 2015 00:00:00",77.5,78.4,77.5,78.4,24371500.0
"Oct 05, 2015 00:00:00",78.4,78.5,78.4,78.5,16848150.0
"Oct 06, 2015 00:00:00",78.5,78.5,78.5,78.5,9593485.0
"Oct 07, 2015 00:00:00",78.9,78.9,78.9,78.9,2985576.0
"Oct 08, 2015 00:00:00",78.5,78.9,78.5,78.8,4468450.0
"Oct 09, 2015 00:00:00",78.9,79.0,78.5,78.6,12374507.0
"Oct 12, 2015 00:00:00",78.9,79.0,78.9,79.0,20142900.0
"Oct 13, 2015 00:00:00",79.15,79.15,79.15,79.15,2374500.0
"Oct 14, 2015 00:00:00",79.0,79.2,79.0,79.2,4822450.0
"Oct 15, 2015 00:00:00",79.2,79.2,78.9,79.0,4460350.0
"Oct 16, 2015 00:00:00",79.0,79.1,79.0,79.0,4673056.0
"Oct 20, 2015 00:00:00",79.05,79.05,78.9,78.9,5124665.0
"Oct 21, 2015 00:00:00",79.05,79.1,78.5,78.5,4307315.0
"Oct 22, 2015 00:00:00",79.0,79.0,78.9,78.9,7105500.0
"Oct 23, 2015 00:00:00",79.0,79.0,78.9,79.0,8725750.0
"Oct 26, 2015 00:00:00",78.9,78.9,78.5,78.5,8056685.0
"Oct 27, 2015 00:00:00",78.5,78.5,78.5,78.5,3312700.0
"Oct 28, 2015 00:00:00",78.5,78.8,78.0,78.0,9456479.0
"Oct 29, 2015 00:00:00",78.5,78.8,78.5,78.5,97756695.0
"Oct 30, 2015 00:00:00",78.55,78.55,78.5,78.5,3141735.0
"Nov 02, 2015 00:00:00",79.0,79.0,79.0,79.0,79000.0
"Nov 04, 2015 00:00:00",79.5,79.8,79.5,79.8,813000.0
