chart_date,open,high,low,close,value
"Sep 21, 2015 00:00:00",80.0,80.0,77.1,78.0,99469937.5
"Sep 22, 2015 00:00:00",78.0,78.5,78.0,78.4,119190445.5
"Sep 23, 2015 00:00:00",78.5,78.5,78.0,78.45,111399203.0
"Sep 24, 2015 00:00:00",78.8,78.8,78.5,78.65,31754451.0
"Sep 28, 2015 00:00:00",78.5,78.65,78.3,78.5,70199108.5
"Sep 29, 2015 00:00:00",78.55,78.7,78.55,78.7,83219737.5
"Sep 30, 2015 00:00:00",78.7,78.9,78.7,78.9,40003880.0
"Oct 01, 2015 00:00:00",78.95,79.0,78.9,79.0,102094938.0
"Oct 02, 2015 00:00:00",79.0,79.5,79.0,79.4,1797962.0
"Oct 05, 2015 00:00:00",79.4,79.6,79.4,79.4,7067744.0
"Oct 06, 2015 00:00:00",79.65,79.95,79.65,79.8,21606277.0
"Oct 07, 2015 00:00:00",79.8,80.0,79.0,80.0,67196637.0
"Oct 08, 2015 00:00:00",80.0,80.2,80.0,80.0,20060238.0
"Oct 09, 2015 00:00:00",80.0,80.1,79.95,79.95,20143923.0
"Oct 12, 2015 00:00:00",79.95,80.05,79.5,79.5,10861014.0
"Oct 13, 2015 00:00:00",79.9,80.0,79.9,80.0,33513750.0
"Oct 14, 2015 00:00:00",80.0,80.0,79.0,79.0,75657195.0
"Oct 15, 2015 00:00:00",79.95,79.95,79.55,79.95,25792420.0
"Oct 16, 2015 00:00:00",79.95,79.95,79.9,79.95,11145609.5
"Oct 19, 2015 00:00:00",79.75,80.0,79.75,80.0,41678692.5
"Oct 20, 2015 00:00:00",80.0,80.0,79.95,80.0,16883130.0
"Oct 21, 2015 00:00:00",79.95,80.0,79.95,80.0,25340625.5
"Oct 22, 2015 00:00:00",80.0,80.05,79.9,80.0,22752120.0
"Oct 23, 2015 00:00:00",80.0,80.0,79.95,79.95,16912020.0
"Oct 26, 2015 00:00:00",80.0,80.0,80.0,80.0,13180000.0
"Oct 27, 2015 00:00:00",80.0,80.1,80.0,80.0,11663635.0
