chart_date,open,high,low,close,value
"Mar 30, 2016 00:00:00",75.0,75.5,75.0,75.0,16693635.0
"Mar 31, 2016 00:00:00",75.0,75.0,75.0,75.0,21159750.0
"Apr 01, 2016 00:00:00",75.0,75.05,74.95,75.0,8512500.0
"Apr 04, 2016 00:00:00",75.0,75.0,75.0,75.0,6993750.0
"Apr 05, 2016 00:00:00",75.1,75.1,75.0,75.1,13501750.0
"Apr 06, 2016 00:00:00",75.1,75.1,75.05,75.05,10709685.5
"Apr 07, 2016 00:00:00",75.0,75.05,75.0,75.0,12585025.0
"Apr 08, 2016 00:00:00",75.0,75.0,75.0,75.0,8153250.0
"Apr 11, 2016 00:00:00",75.0,75.05,75.0,75.0,7305970.0
"Apr 12, 2016 00:00:00",75.1,75.1,75.0,75.0,25883751.0
"Apr 13, 2016 00:00:00",75.0,75.0,74.95,75.0,19110600.0
"Apr 14, 2016 00:00:00",75.0,75.0,75.0,75.0,21421500.0
"Apr 15, 2016 00:00:00",75.0,75.05,75.0,75.0,18809580.0
"Apr 18, 2016 00:00:00",75.0,75.0,75.0,75.0,17689500.0
"Apr 19, 2016 00:00:00",75.0,75.0,75.0,75.0,15109500.0
"Apr 20, 2016 00:00:00",75.0,75.05,75.0,75.05,8759869.0
"Apr 21, 2016 00:00:00",75.1,75.2,75.1,75.1,10367600.0
"Apr 22, 2016 00:00:00",75.1,75.1,75.05,75.1,9932030.0
"Apr 25, 2016 00:00:00",75.1,75.5,75.1,75.1,17249960.0
"Apr 26, 2016 00:00:00",75.1,75.2,75.05,75.05,20246440.0
"Apr 27, 2016 00:00:00",75.6,75.6,75.05,75.05,4095115.0
"Apr 28, 2016 00:00:00",75.05,75.5,75.05,75.5,3835175.0
"Apr 29, 2016 00:00:00",75.5,75.5,75.25,75.5,14367147.5
"May 02, 2016 00:00:00",75.1,75.15,75.1,75.1,50849825.0
"May 03, 2016 00:00:00",75.1,75.1,75.05,75.05,1516110.0
"May 04, 2016 00:00:00",75.1,75.5,75.1,75.5,8895805.0
"May 05, 2016 00:00:00",75.5,75.6,75.1,75.6,4329023.0
"May 06, 2016 00:00:00",75.4,75.4,75.0,75.05,14596431.0
"May 06, 2016 00:00:00",75.4,75.4,75.0,75.05,14596431.0
"May 10, 2016 00:00:00",75.0,75.05,75.0,75.0,3171860.0
"May 11, 2016 00:00:00",75.0,75.0,75.0,75.0,5505000.0
"May 12, 2016 00:00:00",75.1,75.1,75.05,75.05,6925322.5
"May 13, 2016 00:00:00",75.05,75.5,75.05,75.5,84470.0
"May 16, 2016 00:00:00",75.2,75.5,75.1,75.5,9397755.0
"May 17, 2016 00:00:00",75.2,75.5,75.1,75.5,5867854.0
"May 18, 2016 00:00:00",75.85,75.85,75.1,75.1,1375588.5
"May 19, 2016 00:00:00",75.8,75.8,75.3,75.45,16440593.0
"May 20, 2016 00:00:00",75.4,75.5,75.4,75.5,15596745.5
"May 23, 2016 00:00:00",75.5,75.5,75.5,75.5,4091345.0
"May 24, 2016 00:00:00",75.5,75.7,75.5,75.7,6149077.0
"May 25, 2016 00:00:00",75.9,76.5,75.9,76.0,7581980.0
"May 26, 2016 00:00:00",76.0,76.0,76.0,76.0,38000.0
"May 30, 2016 00:00:00",76.05,76.1,76.05,76.1,3118100.0
"May 31, 2016 00:00:00",77.0,77.0,76.1,76.9,3317610.0
"Jun 01, 2016 00:00:00",76.5,77.0,76.5,76.9,2703300.0
"Jun 02, 2016 00:00:00",76.9,77.0,76.9,77.0,15322300.0
"Jun 03, 2016 00:00:00",76.9,76.9,76.9,76.9,2441575.0
"Jun 06, 2016 00:00:00",77.0,77.0,76.9,76.9,5817705.0
"Jun 07, 2016 00:00:00",76.9,77.05,76.9,77.05,7109772.5
"Jun 08, 2016 00:00:00",77.05,77.05,77.05,77.05,2384697.5
"Jun 09, 2016 00:00:00",77.05,77.05,77.05,77.05,2244466.5
"Jun 10, 2016 00:00:00",77.05,77.05,77.0,77.0,2419143.5
"Jun 13, 2016 00:00:00",77.05,77.5,77.05,77.5,2448300.0
"Jun 14, 2016 00:00:00",77.2,77.2,77.2,77.2,154400.0
"Jun 15, 2016 00:00:00",77.0,77.0,77.0,77.0,9096780.0
"Jun 16, 2016 00:00:00",77.0,77.0,77.0,77.0,2048200.0
"Jun 17, 2016 00:00:00",76.0,76.0,75.5,75.5,14216350.0
"Jun 20, 2016 00:00:00",76.95,76.95,76.5,76.5,2030175.0
"Jun 21, 2016 00:00:00",76.25,76.6,76.25,76.6,11435478.0
"Jun 22, 2016 00:00:00",76.5,76.6,76.5,76.6,2349337.0
"Jun 23, 2016 00:00:00",76.6,76.6,76.6,76.6,160860.0
"Jun 24, 2016 00:00:00",76.3,76.9,76.3,76.9,664579.0
"Jun 27, 2016 00:00:00",76.0,76.9,76.0,76.9,1009050.0
