chart_date,open,high,low,close,value
"Aug 04, 2009 00:00:00",3.1,3.1,3.1,3.1,24800.0
"Aug 06, 2009 00:00:00",3.15,3.15,3.15,3.15,31500.0
"Aug 12, 2009 00:00:00",3.2,3.2,3.2,3.2,25600.0
"Aug 18, 2009 00:00:00",3.0,3.1,3.0,3.1,122500.0
"Aug 19, 2009 00:00:00",3.0,3.1,3.0,3.1,198000.0
"Sep 22, 2009 00:00:00",3.0,3.0,3.0,3.0,9000.0
"Oct 09, 2009 00:00:00",3.0,3.0,3.0,3.0,36000.0
"Oct 12, 2009 00:00:00",3.1,3.1,3.0,3.0,70000.0
"Oct 19, 2009 00:00:00",3.05,3.1,3.05,3.1,511200.0
"Oct 21, 2009 00:00:00",3.0,3.0,3.0,3.0,27000.0
"Oct 29, 2009 00:00:00",3.2,3.2,3.2,3.2,16000.0
"Jan 05, 2010 00:00:00",3.4,3.4,3.4,3.4,34000.0
"Jan 06, 2010 00:00:00",3.0,3.0,3.0,3.0,30000.0
"Jan 07, 2010 00:00:00",3.4,3.4,3.4,3.4,6800.0
"Jan 13, 2010 00:00:00",3.35,3.4,3.35,3.4,10100.0
"Jan 15, 2010 00:00:00",3.2,3.2,3.2,3.2,16000.0
"Jan 19, 2010 00:00:00",3.0,3.0,3.0,3.0,246000.0
"Jan 20, 2010 00:00:00",3.2,3.2,3.2,3.2,6400.0
"Jan 22, 2010 00:00:00",3.1,3.1,3.1,3.1,18600.0
"Feb 08, 2010 00:00:00",3.1,3.1,3.1,3.1,15500.0
"Feb 10, 2010 00:00:00",3.05,3.15,3.05,3.1,334500.0
"Mar 16, 2010 00:00:00",3.1,3.1,3.1,3.1,9300.0
"Mar 31, 2010 00:00:00",3.45,3.45,3.45,3.45,10350.0
"Apr 30, 2010 00:00:00",3.4,3.4,3.4,3.4,10200.0
"May 17, 2010 00:00:00",3.65,3.7,3.65,3.7,18400.0
"May 19, 2010 00:00:00",3.25,3.25,3.25,3.25,13000.0
"May 21, 2010 00:00:00",3.25,3.25,3.25,3.25,32500.0
"May 25, 2010 00:00:00",3.65,3.7,3.65,3.7,11000.0
"May 26, 2010 00:00:00",3.2,3.2,3.2,3.2,25600.0
"May 27, 2010 00:00:00",3.2,3.2,3.2,3.2,6400.0
"Jun 01, 2010 00:00:00",3.25,3.25,3.2,3.2,45300.0
"Jun 02, 2010 00:00:00",3.25,3.5,3.25,3.5,100750.0
"Jun 03, 2010 00:00:00",3.5,3.55,3.5,3.55,88250.0
"Jun 04, 2010 00:00:00",3.55,3.6,3.5,3.5,35400.0
"Jun 09, 2010 00:00:00",3.45,3.6,3.35,3.35,60450.0
"Jun 10, 2010 00:00:00",3.4,3.4,3.4,3.4,68000.0
"Jun 11, 2010 00:00:00",3.35,3.35,3.35,3.35,16750.0
"Jun 21, 2010 00:00:00",3.5,3.5,3.5,3.5,10500.0
