chart_date,open,high,low,close,value
"Nov 07, 2014 00:00:00",8.49,8.49,7.99,8.01,1351164739.0
"Nov 10, 2014 00:00:00",8.03,8.12,7.75,7.85,266418255.0
"Nov 11, 2014 00:00:00",7.89,7.89,7.59,7.73,162336892.0
"Nov 12, 2014 00:00:00",7.75,7.98,7.64,7.89,137789870.0
"Nov 13, 2014 00:00:00",7.98,8.1,7.94,8.0,165839163.0
"Nov 14, 2014 00:00:00",7.99,8.15,7.95,8.12,109573869.0
"Nov 17, 2014 00:00:00",8.12,8.56,8.12,8.51,417833279.0
"Nov 18, 2014 00:00:00",8.53,8.89,8.53,8.71,203064721.0
"Nov 19, 2014 00:00:00",8.79,8.88,8.45,8.5,98860397.0
"Nov 20, 2014 00:00:00",8.5,8.85,8.45,8.72,146296558.0
"Nov 21, 2014 00:00:00",8.75,8.85,8.66,8.72,52242051.0
"Nov 24, 2014 00:00:00",8.73,8.98,8.73,8.83,105803401.0
"Nov 25, 2014 00:00:00",8.83,8.98,8.6,8.68,82170265.0
"Nov 26, 2014 00:00:00",8.74,8.78,8.5,8.54,76650568.0
"Nov 27, 2014 00:00:00",8.54,8.55,8.21,8.36,114952400.0
"Nov 28, 2014 00:00:00",8.35,8.8,8.3,8.7,170622757.0
"Dec 01, 2014 00:00:00",8.74,8.74,8.54,8.6,70857020.0
"Dec 02, 2014 00:00:00",8.59,8.86,8.5,8.8,312290701.0
"Dec 03, 2014 00:00:00",8.79,8.93,8.69,8.75,184490569.0
"Dec 04, 2014 00:00:00",8.75,9.09,8.7,8.9,261150864.0
"Dec 05, 2014 00:00:00",8.9,9.0,8.6,8.68,122438720.0
"Dec 09, 2014 00:00:00",8.7,9.0,8.7,8.94,72501001.0
"Dec 10, 2014 00:00:00",8.97,9.2,8.78,9.09,215614847.0
"Dec 11, 2014 00:00:00",9.05,9.07,8.8,8.98,185788393.0
"Dec 12, 2014 00:00:00",8.94,9.15,8.94,9.15,119511846.0
"Dec 15, 2014 00:00:00",9.09,9.15,8.9,9.13,47656417.0
"Dec 16, 2014 00:00:00",9.14,9.4,9.05,9.32,83920443.0
"Dec 17, 2014 00:00:00",9.34,9.41,9.0,9.13,39894575.0
"Dec 18, 2014 00:00:00",9.25,9.63,9.13,9.56,188169752.0
"Dec 19, 2014 00:00:00",9.75,10.12,9.7,9.7,102418507.0
"Dec 22, 2014 00:00:00",9.7,9.98,9.64,9.94,52598301.0
"Dec 23, 2014 00:00:00",9.95,10.0,9.8,9.9,74975480.0
"Dec 29, 2014 00:00:00",9.99,9.99,9.82,9.91,49556401.0
"Jan 05, 2015 00:00:00",9.9,10.14,9.83,10.08,84292933.0
"Jan 06, 2015 00:00:00",9.88,10.0,9.85,9.9,16387633.0
"Jan 07, 2015 00:00:00",9.93,10.3,9.7,10.2,196232516.0
"Jan 08, 2015 00:00:00",10.22,10.74,10.2,10.64,126260710.0
"Jan 09, 2015 00:00:00",10.8,10.94,10.7,10.8,132967568.0
"Jan 12, 2015 00:00:00",10.86,11.6,10.8,11.3,151463840.0
"Jan 13, 2015 00:00:00",11.36,11.5,11.26,11.26,116697304.0
"Jan 14, 2015 00:00:00",11.3,11.42,11.0,11.0,129792938.0
"Jan 19, 2015 00:00:00",11.04,11.4,10.82,11.1,187034256.0
"Jan 20, 2015 00:00:00",11.1,11.1,10.76,10.78,90387858.0
"Jan 21, 2015 00:00:00",10.78,11.08,10.34,10.34,236901130.0
"Jan 22, 2015 00:00:00",10.34,10.7,10.18,10.42,160436386.0
"Jan 23, 2015 00:00:00",10.56,11.0,10.52,10.96,111085652.0
"Jan 26, 2015 00:00:00",11.0,11.3,10.84,11.16,260287786.0
"Jan 27, 2015 00:00:00",11.16,11.3,10.7,11.0,98675316.0
"Jan 28, 2015 00:00:00",11.0,11.08,10.8,10.86,36114280.0
"Jan 29, 2015 00:00:00",10.94,11.08,10.72,10.74,148546570.0
"Jan 30, 2015 00:00:00",10.76,10.88,10.62,10.7,26930054.0
"Feb 02, 2015 00:00:00",10.68,10.68,10.3,10.38,53417552.0
"Feb 03, 2015 00:00:00",10.4,10.58,10.1,10.1,67949298.0
"Feb 04, 2015 00:00:00",10.3,10.76,10.28,10.5,68034584.0
"Feb 05, 2015 00:00:00",10.6,10.64,10.42,10.44,112131350.0
"Feb 06, 2015 00:00:00",10.44,10.44,10.34,10.36,39206754.0
"Feb 09, 2015 00:00:00",10.38,10.38,9.75,9.8,83221506.0
"Feb 10, 2015 00:00:00",9.8,10.1,9.75,9.75,100714604.0
"Feb 11, 2015 00:00:00",9.76,10.1,9.76,9.83,99404963.0
"Feb 12, 2015 00:00:00",9.84,10.04,9.84,9.87,146716683.0
"Feb 13, 2015 00:00:00",9.88,10.1,9.8,9.8,85112406.0
"Feb 16, 2015 00:00:00",9.8,9.99,9.75,9.75,92948031.0
"Feb 17, 2015 00:00:00",9.76,9.85,9.76,9.77,81889234.0
"Feb 18, 2015 00:00:00",9.8,9.9,9.5,9.78,59244571.0
"Feb 20, 2015 00:00:00",9.7,9.8,9.65,9.74,38802690.0
"Feb 23, 2015 00:00:00",9.75,10.4,9.75,10.34,93085594.0
"Feb 24, 2015 00:00:00",10.38,10.42,10.3,10.36,29835124.0
"Feb 25, 2015 00:00:00",10.38,10.48,10.16,10.16,45189304.0
"Feb 26, 2015 00:00:00",10.16,10.22,9.9,10.1,7179093.0
"Feb 27, 2015 00:00:00",10.12,10.12,9.9,9.95,17618160.0
"Mar 02, 2015 00:00:00",9.91,10.0,9.8,10.0,50244399.0
"Mar 03, 2015 00:00:00",10.0,10.18,9.95,9.95,8292681.0
"Mar 04, 2015 00:00:00",9.95,10.34,9.93,10.32,24921124.0
"Mar 05, 2015 00:00:00",10.3,10.3,10.14,10.22,12768632.0
"Mar 06, 2015 00:00:00",10.24,10.86,10.24,10.86,139352022.0
"Mar 09, 2015 00:00:00",10.84,10.84,10.5,10.8,81668506.0
"Mar 10, 2015 00:00:00",10.8,10.98,10.6,10.84,90363888.0
"Mar 11, 2015 00:00:00",10.8,10.8,10.6,10.62,62528572.0
"Mar 12, 2015 00:00:00",10.76,10.86,10.6,10.68,33563224.0
"Mar 13, 2015 00:00:00",10.7,10.94,10.7,10.8,155069480.0
"Mar 16, 2015 00:00:00",10.82,10.82,10.6,10.64,51459660.0
"Mar 17, 2015 00:00:00",10.66,10.74,10.48,10.72,56732034.0
"Mar 18, 2015 00:00:00",10.68,10.68,10.4,10.4,74750898.0
"Mar 19, 2015 00:00:00",10.4,10.6,10.0,10.14,119552484.0
"Mar 20, 2015 00:00:00",10.14,10.48,10.14,10.4,55428440.0
"Mar 23, 2015 00:00:00",10.48,10.8,10.4,10.68,83350990.0
"Mar 24, 2015 00:00:00",10.72,10.8,10.36,10.5,46830930.0
"Mar 25, 2015 00:00:00",10.44,10.68,10.26,10.32,32260124.0
"Mar 26, 2015 00:00:00",10.46,10.46,10.18,10.24,30848900.0
"Mar 27, 2015 00:00:00",10.5,10.5,10.24,10.26,30639602.0
"Mar 30, 2015 00:00:00",10.3,10.46,10.3,10.4,20972310.0
"Mar 31, 2015 00:00:00",10.4,10.4,10.14,10.18,17496442.0
"Apr 01, 2015 00:00:00",10.18,10.3,10.1,10.2,9019580.0
"Apr 06, 2015 00:00:00",10.2,10.22,10.14,10.14,23712940.0
"Apr 07, 2015 00:00:00",10.1,10.1,9.8,9.85,98113891.0
"Apr 08, 2015 00:00:00",9.95,10.3,9.85,10.14,42976388.0
"Apr 10, 2015 00:00:00",10.18,10.32,10.14,10.28,90709006.0
"Apr 13, 2015 00:00:00",10.28,10.3,10.0,10.0,85352008.0
"Apr 14, 2015 00:00:00",10.0,10.08,9.9,9.9,96834690.0
"Apr 15, 2015 00:00:00",9.95,9.98,9.6,9.66,51429625.0
"Apr 16, 2015 00:00:00",9.67,9.75,9.42,9.74,30819246.0
"Apr 17, 2015 00:00:00",9.74,9.88,9.74,9.8,32657029.0
"Apr 20, 2015 00:00:00",9.8,9.8,9.5,9.5,22285031.0
"Apr 21, 2015 00:00:00",9.5,9.65,9.5,9.52,11997484.0
"Apr 22, 2015 00:00:00",9.52,9.95,9.5,9.9,36420775.0
"Apr 23, 2015 00:00:00",9.94,10.72,9.9,10.58,294602577.0
"Apr 24, 2015 00:00:00",10.66,10.78,10.5,10.7,83793482.0
"Apr 27, 2015 00:00:00",10.72,10.72,10.5,10.6,14395580.0
"Apr 28, 2015 00:00:00",10.6,10.64,10.52,10.6,27918262.0
"Apr 29, 2015 00:00:00",10.62,10.7,10.5,10.54,53585354.0
"Apr 30, 2015 00:00:00",10.54,10.54,10.22,10.4,44345734.0
"May 04, 2015 00:00:00",10.38,10.5,10.2,10.4,25477832.0
"May 05, 2015 00:00:00",10.4,10.76,10.34,10.72,71874054.0
"May 06, 2015 00:00:00",10.7,10.72,10.42,10.72,29031756.0
