chart_date,open,high,low,close,value
"Dec 01, 2014 00:00:00",3.4,3.4,3.15,3.15,237432170.0
"Dec 02, 2014 00:00:00",3.17,3.27,3.02,3.07,68533050.0
"Dec 03, 2014 00:00:00",3.07,3.09,2.77,2.8,62156160.0
"Dec 04, 2014 00:00:00",2.85,3.06,2.82,2.91,43334240.0
"Dec 05, 2014 00:00:00",2.93,2.99,2.81,2.84,7625540.0
"Dec 09, 2014 00:00:00",2.84,2.84,2.69,2.72,24728110.0
"Dec 10, 2014 00:00:00",2.74,2.74,2.59,2.6,18563610.0
"Dec 11, 2014 00:00:00",2.56,2.56,2.22,2.35,27229400.0
"Dec 12, 2014 00:00:00",2.37,2.66,2.37,2.63,20187600.0
"Dec 15, 2014 00:00:00",2.6,2.7,2.51,2.66,7001090.0
"Dec 16, 2014 00:00:00",2.62,2.68,2.54,2.54,7700140.0
"Dec 17, 2014 00:00:00",2.55,2.59,2.38,2.42,9499290.0
"Dec 18, 2014 00:00:00",2.48,2.56,2.43,2.46,2933310.0
"Dec 19, 2014 00:00:00",2.5,2.94,2.42,2.89,37415110.0
"Dec 22, 2014 00:00:00",3.0,3.1,2.95,2.97,79788250.0
"Dec 23, 2014 00:00:00",2.99,3.0,2.81,2.9,15171990.0
"Dec 29, 2014 00:00:00",2.92,2.98,2.8,2.8,5997040.0
"Jan 05, 2015 00:00:00",2.82,2.95,2.8,2.8,8348890.0
"Jan 06, 2015 00:00:00",2.7,2.84,2.7,2.73,13064920.0
"Jan 07, 2015 00:00:00",2.68,2.69,2.63,2.65,9616370.0
"Jan 08, 2015 00:00:00",2.67,2.85,2.67,2.74,12952220.0
"Jan 09, 2015 00:00:00",2.75,2.76,2.64,2.67,9015010.0
"Jan 12, 2015 00:00:00",2.7,2.73,2.6,2.6,8082350.0
"Jan 13, 2015 00:00:00",2.61,2.78,2.61,2.69,9901990.0
"Jan 14, 2015 00:00:00",2.69,2.69,2.6,2.6,11958380.0
"Jan 19, 2015 00:00:00",2.6,2.61,2.52,2.55,4989650.0
"Jan 20, 2015 00:00:00",2.55,2.6,2.52,2.53,4257220.0
"Jan 21, 2015 00:00:00",2.52,2.55,2.48,2.49,5558410.0
"Jan 22, 2015 00:00:00",2.49,2.6,2.46,2.53,6941600.0
"Jan 23, 2015 00:00:00",2.53,2.62,2.53,2.61,4763980.0
"Jan 26, 2015 00:00:00",2.65,2.69,2.61,2.63,4906260.0
"Jan 27, 2015 00:00:00",2.63,2.63,2.46,2.46,11519290.0
"Jan 28, 2015 00:00:00",2.5,2.55,2.5,2.52,3791600.0
"Jan 29, 2015 00:00:00",2.55,2.55,2.45,2.45,4957390.0
"Jan 30, 2015 00:00:00",2.44,2.52,2.43,2.46,14805960.0
"Feb 02, 2015 00:00:00",2.5,2.56,2.44,2.56,13693930.0
"Feb 03, 2015 00:00:00",2.66,2.77,2.61,2.61,28820160.0
"Feb 04, 2015 00:00:00",2.65,2.73,2.63,2.66,8131720.0
"Feb 05, 2015 00:00:00",2.67,2.67,2.58,2.65,4213170.0
"Feb 06, 2015 00:00:00",2.65,2.8,2.65,2.7,15300450.0
"Feb 09, 2015 00:00:00",2.73,2.73,2.62,2.63,4856200.0
"Feb 10, 2015 00:00:00",2.69,2.74,2.63,2.7,4788590.0
"Feb 11, 2015 00:00:00",2.68,2.72,2.64,2.67,2610030.0
"Feb 12, 2015 00:00:00",2.67,2.78,2.66,2.7,4867640.0
"Feb 13, 2015 00:00:00",2.7,2.75,2.67,2.7,6249210.0
"Feb 16, 2015 00:00:00",2.72,2.85,2.69,2.69,17257790.0
"Feb 17, 2015 00:00:00",2.69,2.76,2.63,2.66,8750120.0
"Feb 18, 2015 00:00:00",2.67,2.7,2.66,2.69,3564560.0
"Feb 20, 2015 00:00:00",2.69,2.73,2.65,2.66,2244260.0
"Feb 23, 2015 00:00:00",2.66,2.67,2.62,2.64,4645790.0
"Feb 24, 2015 00:00:00",2.67,2.67,2.55,2.6,7448320.0
"Feb 25, 2015 00:00:00",2.58,2.65,2.58,2.63,4225880.0
"Feb 26, 2015 00:00:00",2.63,2.81,2.61,2.75,17287330.0
"Feb 27, 2015 00:00:00",2.75,2.78,2.66,2.68,5982760.0
"Mar 02, 2015 00:00:00",2.68,2.68,2.6,2.66,7242260.0
"Mar 03, 2015 00:00:00",2.66,2.74,2.65,2.67,1473240.0
"Mar 04, 2015 00:00:00",2.97,3.0,2.87,2.9,87662430.0
"Mar 05, 2015 00:00:00",2.89,2.91,2.84,2.9,11452550.0
"Mar 06, 2015 00:00:00",2.9,2.93,2.87,2.91,6973580.0
"Mar 09, 2015 00:00:00",2.91,2.92,2.86,2.88,4853720.0
"Mar 10, 2015 00:00:00",2.9,2.91,2.89,2.89,2680660.0
"Mar 11, 2015 00:00:00",2.89,2.92,2.87,2.9,2759330.0
"Mar 12, 2015 00:00:00",2.9,2.95,2.89,2.9,9299760.0
"Mar 13, 2015 00:00:00",2.91,2.93,2.91,2.91,3229150.0
"Mar 16, 2015 00:00:00",2.91,2.91,2.86,2.87,5582680.0
"Mar 17, 2015 00:00:00",2.87,2.89,2.81,2.82,6469920.0
"Mar 18, 2015 00:00:00",2.82,2.87,2.8,2.83,2917470.0
"Mar 19, 2015 00:00:00",2.83,2.9,2.83,2.86,1333360.0
"Mar 20, 2015 00:00:00",2.86,2.9,2.86,2.88,1880320.0
"Mar 23, 2015 00:00:00",2.88,2.89,2.87,2.88,1327030.0
"Mar 24, 2015 00:00:00",2.88,2.88,2.86,2.88,2493630.0
"Mar 25, 2015 00:00:00",2.89,2.92,2.88,2.92,4789540.0
"Mar 26, 2015 00:00:00",2.92,2.96,2.87,2.96,7179060.0
"Mar 27, 2015 00:00:00",2.97,2.97,2.91,2.93,11366970.0
