chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.51,0.51,0.5,0.5,201600.0
"Aug 04, 2009 00:00:00",0.49,0.5,0.49,0.5,84300.0
"Aug 06, 2009 00:00:00",0.47,0.47,0.47,0.47,4700.0
"Aug 07, 2009 00:00:00",0.47,0.48,0.47,0.48,133600.0
"Aug 10, 2009 00:00:00",0.47,0.47,0.47,0.47,28200.0
"Aug 11, 2009 00:00:00",0.47,0.47,0.47,0.47,211500.0
"Aug 12, 2009 00:00:00",0.46,0.46,0.46,0.46,23000.0
"Aug 13, 2009 00:00:00",0.48,0.48,0.48,0.48,52800.0
"Aug 14, 2009 00:00:00",0.47,0.47,0.47,0.47,42300.0
"Aug 19, 2009 00:00:00",0.46,0.46,0.44,0.44,745900.0
"Aug 20, 2009 00:00:00",0.45,0.45,0.45,0.45,112500.0
"Aug 25, 2009 00:00:00",0.45,0.45,0.45,0.45,216000.0
"Sep 03, 2009 00:00:00",0.51,0.51,0.5,0.51,191800.0
"Sep 04, 2009 00:00:00",0.51,0.53,0.48,0.51,1037100.0
"Sep 16, 2009 00:00:00",0.46,0.46,0.45,0.45,36400.0
"Sep 18, 2009 00:00:00",0.45,0.45,0.44,0.44,58000.0
"Sep 22, 2009 00:00:00",0.44,0.44,0.44,0.44,13200.0
"Sep 23, 2009 00:00:00",0.44,0.45,0.44,0.45,177300.0
"Oct 01, 2009 00:00:00",0.42,0.42,0.42,0.42,67200.0
"Oct 02, 2009 00:00:00",0.4,0.4,0.4,0.4,80000.0
"Oct 05, 2009 00:00:00",0.4,0.4,0.4,0.4,4000.0
"Oct 07, 2009 00:00:00",0.42,0.42,0.42,0.42,42000.0
"Oct 08, 2009 00:00:00",0.42,0.45,0.42,0.45,335400.0
"Oct 09, 2009 00:00:00",0.45,0.45,0.44,0.44,58400.0
"Oct 14, 2009 00:00:00",0.44,0.44,0.44,0.44,488400.0
"Oct 16, 2009 00:00:00",0.44,0.49,0.44,0.48,703100.0
"Oct 23, 2009 00:00:00",0.49,0.56,0.49,0.53,2980900.0
"Oct 26, 2009 00:00:00",0.55,0.77,0.55,0.65,57510600.0
"Oct 27, 2009 00:00:00",0.65,0.65,0.58,0.58,14971900.0
"Oct 28, 2009 00:00:00",0.55,0.57,0.54,0.55,2740300.0
"Oct 29, 2009 00:00:00",0.53,0.54,0.52,0.53,876200.0
"Oct 30, 2009 00:00:00",0.53,0.57,0.53,0.53,884600.0
"Nov 03, 2009 00:00:00",0.53,0.54,0.5,0.5,1774800.0
"Nov 04, 2009 00:00:00",0.55,0.55,0.51,0.51,591500.0
"Nov 05, 2009 00:00:00",0.51,0.51,0.51,0.51,209100.0
"Nov 06, 2009 00:00:00",0.52,0.53,0.52,0.53,312100.0
"Nov 09, 2009 00:00:00",0.5,0.53,0.5,0.53,394200.0
"Nov 10, 2009 00:00:00",0.54,0.57,0.53,0.53,1157000.0
"Nov 11, 2009 00:00:00",0.53,0.56,0.51,0.56,1553500.0
"Dec 15, 2009 00:00:00",0.51,0.51,0.51,0.51,392700.0
"Dec 16, 2009 00:00:00",0.51,0.51,0.5,0.51,479500.0
"Dec 17, 2009 00:00:00",0.5,0.5,0.5,0.5,1195000.0
"Dec 18, 2009 00:00:00",0.5,0.5,0.5,0.5,255000.0
"Dec 21, 2009 00:00:00",0.49,0.49,0.49,0.49,127400.0
"Dec 22, 2009 00:00:00",0.49,0.49,0.49,0.49,514500.0
"Jan 04, 2010 00:00:00",0.49,0.49,0.49,0.49,78400.0
"Jan 05, 2010 00:00:00",0.49,0.49,0.49,0.49,4900.0
"Jan 06, 2010 00:00:00",0.5,0.5,0.5,0.5,225000.0
"Jan 07, 2010 00:00:00",0.49,0.51,0.49,0.51,314800.0
"Jan 08, 2010 00:00:00",0.52,0.55,0.52,0.54,1562300.0
"Jan 11, 2010 00:00:00",0.54,0.54,0.53,0.53,10700.0
"Jan 12, 2010 00:00:00",0.55,0.56,0.54,0.54,662500.0
"Jan 13, 2010 00:00:00",0.54,0.54,0.53,0.53,117600.0
"Jan 14, 2010 00:00:00",0.53,0.53,0.53,0.53,47700.0
"Jan 15, 2010 00:00:00",0.53,0.53,0.52,0.52,289300.0
"Jan 18, 2010 00:00:00",0.52,0.52,0.51,0.51,523200.0
"Jan 19, 2010 00:00:00",0.51,0.51,0.5,0.5,205600.0
"Jan 21, 2010 00:00:00",0.49,0.52,0.49,0.5,827300.0
"Jan 22, 2010 00:00:00",0.5,0.5,0.5,0.5,10000.0
"Jan 25, 2010 00:00:00",0.5,0.5,0.49,0.49,147100.0
"Jan 26, 2010 00:00:00",0.5,0.5,0.49,0.49,107900.0
"Jan 27, 2010 00:00:00",0.47,0.47,0.47,0.47,47000.0
"Jan 28, 2010 00:00:00",0.47,0.47,0.47,0.47,112800.0
"Jan 29, 2010 00:00:00",0.47,0.47,0.47,0.47,47000.0
"Feb 01, 2010 00:00:00",0.47,0.47,0.47,0.47,178600.0
"Feb 02, 2010 00:00:00",0.46,0.46,0.45,0.45,766500.0
"Feb 03, 2010 00:00:00",0.45,0.47,0.45,0.47,165600.0
"Feb 05, 2010 00:00:00",0.44,0.44,0.44,0.44,13200.0
"Feb 09, 2010 00:00:00",0.44,0.44,0.43,0.43,47400.0
"Feb 10, 2010 00:00:00",0.43,0.43,0.43,0.43,236500.0
"Mar 08, 2010 00:00:00",0.48,0.48,0.48,0.48,4800.0
"Mar 12, 2010 00:00:00",0.48,0.48,0.47,0.47,33300.0
"Mar 15, 2010 00:00:00",0.49,0.56,0.49,0.54,5629600.0
"Mar 16, 2010 00:00:00",0.52,0.57,0.52,0.52,2660000.0
"Mar 17, 2010 00:00:00",0.51,0.56,0.51,0.53,4088500.0
"Mar 31, 2010 00:00:00",0.5,0.5,0.5,0.5,250000.0
"Apr 20, 2010 00:00:00",0.5,0.5,0.5,0.5,100000.0
"Apr 21, 2010 00:00:00",0.5,0.5,0.5,0.5,10000.0
"Apr 22, 2010 00:00:00",0.5,0.5,0.5,0.5,105000.0
"Apr 29, 2010 00:00:00",0.51,0.51,0.5,0.5,253000.0
"Apr 30, 2010 00:00:00",0.51,0.51,0.51,0.51,102000.0
"May 04, 2010 00:00:00",0.48,0.49,0.48,0.49,97000.0
"May 05, 2010 00:00:00",0.49,0.5,0.46,0.47,371400.0
"May 13, 2010 00:00:00",0.49,0.49,0.49,0.49,24500.0
"May 14, 2010 00:00:00",0.48,0.5,0.48,0.49,419400.0
"May 18, 2010 00:00:00",0.48,0.48,0.47,0.47,224900.0
"May 20, 2010 00:00:00",0.47,0.48,0.47,0.48,19100.0
"May 25, 2010 00:00:00",0.46,0.46,0.46,0.46,345000.0
"May 27, 2010 00:00:00",0.46,0.46,0.46,0.46,4600.0
"May 28, 2010 00:00:00",0.48,0.48,0.45,0.47,120400.0
"May 31, 2010 00:00:00",0.47,0.47,0.47,0.47,18800.0
"Jun 02, 2010 00:00:00",0.46,0.46,0.46,0.46,9200.0
"Jun 03, 2010 00:00:00",0.46,0.46,0.46,0.46,73600.0
"Jun 07, 2010 00:00:00",0.46,0.46,0.46,0.46,46000.0
"Jun 08, 2010 00:00:00",0.46,0.46,0.46,0.46,50600.0
"Jun 11, 2010 00:00:00",0.46,0.46,0.46,0.46,101200.0
"Jun 15, 2010 00:00:00",0.48,0.54,0.48,0.54,793700.0
"Jun 16, 2010 00:00:00",0.51,0.51,0.47,0.47,924600.0
"Jun 21, 2010 00:00:00",0.49,0.49,0.49,0.49,98000.0
"Jun 22, 2010 00:00:00",0.47,0.47,0.47,0.47,47000.0
"Jun 23, 2010 00:00:00",0.49,0.49,0.49,0.49,4900.0
"Jun 24, 2010 00:00:00",0.47,0.48,0.47,0.48,256200.0
"Jun 25, 2010 00:00:00",0.5,0.5,0.5,0.5,10000.0
"Jun 28, 2010 00:00:00",0.46,0.46,0.46,0.46,50600.0
"Jun 29, 2010 00:00:00",0.46,0.48,0.46,0.48,166000.0
"Jul 01, 2010 00:00:00",0.47,0.47,0.47,0.47,94000.0
"Jul 02, 2010 00:00:00",0.46,0.46,0.46,0.46,253000.0
"Jul 06, 2010 00:00:00",0.44,0.46,0.44,0.45,140300.0
"Jul 08, 2010 00:00:00",0.46,0.46,0.46,0.46,41400.0
"Jul 09, 2010 00:00:00",0.46,0.46,0.46,0.46,92000.0
"Jul 13, 2010 00:00:00",0.46,0.46,0.46,0.46,110400.0
"Jul 15, 2010 00:00:00",0.45,0.47,0.45,0.47,275600.0
"Jul 16, 2010 00:00:00",0.47,0.47,0.46,0.46,158400.0
