chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",3.3,3.3,3.25,3.25,582850.0
"Aug 04, 2009 00:00:00",3.3,3.3,3.25,3.25,713900.0
"Aug 06, 2009 00:00:00",3.25,3.3,3.25,3.3,78200.0
"Aug 07, 2009 00:00:00",3.25,3.25,3.25,3.25,357500.0
"Aug 10, 2009 00:00:00",3.25,3.25,3.2,3.2,721250.0
"Aug 11, 2009 00:00:00",3.2,3.25,3.2,3.25,225750.0
"Aug 12, 2009 00:00:00",3.25,3.3,3.25,3.3,388900.0
"Aug 13, 2009 00:00:00",3.35,3.35,3.3,3.3,212300.0
"Aug 14, 2009 00:00:00",3.2,3.3,3.2,3.3,230000.0
"Aug 17, 2009 00:00:00",3.2,3.2,3.2,3.2,656000.0
"Aug 18, 2009 00:00:00",3.1,3.2,3.1,3.2,472150.0
"Aug 19, 2009 00:00:00",3.15,3.2,3.15,3.2,627900.0
"Aug 20, 2009 00:00:00",3.2,3.35,3.2,3.25,728400.0
"Aug 24, 2009 00:00:00",3.3,3.35,3.3,3.3,1592850.0
"Aug 25, 2009 00:00:00",3.3,3.3,3.3,3.3,2442000.0
"Aug 26, 2009 00:00:00",3.3,3.3,3.25,3.3,1174750.0
"Sep 03, 2009 00:00:00",3.25,3.25,3.2,3.2,353500.0
"Sep 04, 2009 00:00:00",3.2,3.25,3.15,3.2,1179750.0
"Sep 16, 2009 00:00:00",3.65,3.8,3.65,3.65,10004200.0
"Sep 17, 2009 00:00:00",3.75,3.75,3.6,3.7,2652350.0
"Sep 18, 2009 00:00:00",3.75,3.75,3.65,3.7,7185250.0
"Sep 22, 2009 00:00:00",3.8,3.8,3.7,3.75,2807800.0
"Sep 23, 2009 00:00:00",3.7,3.75,3.7,3.7,3041900.0
"Sep 30, 2009 00:00:00",3.5,3.6,3.5,3.5,1936550.0
"Oct 01, 2009 00:00:00",3.5,3.5,3.35,3.4,1057750.0
"Oct 02, 2009 00:00:00",3.35,3.35,3.25,3.35,1020250.0
"Oct 05, 2009 00:00:00",3.3,3.35,3.3,3.3,612000.0
"Oct 06, 2009 00:00:00",3.3,3.3,3.25,3.3,985400.0
"Oct 07, 2009 00:00:00",3.25,3.35,3.25,3.35,818700.0
"Oct 08, 2009 00:00:00",3.3,3.4,3.3,3.35,928900.0
"Oct 09, 2009 00:00:00",3.35,3.35,3.3,3.35,473300.0
"Oct 12, 2009 00:00:00",3.4,3.4,3.35,3.4,712150.0
"Oct 13, 2009 00:00:00",3.4,3.45,3.35,3.4,924650.0
"Oct 14, 2009 00:00:00",3.4,3.4,3.4,3.4,119000.0
"Oct 15, 2009 00:00:00",3.35,3.4,3.35,3.4,370050.0
"Oct 16, 2009 00:00:00",3.35,3.6,3.35,3.6,2211900.0
"Oct 19, 2009 00:00:00",3.65,3.65,3.4,3.6,1285600.0
"Oct 20, 2009 00:00:00",3.5,3.55,3.5,3.55,441500.0
"Oct 21, 2009 00:00:00",3.5,3.5,3.45,3.5,277500.0
"Oct 22, 2009 00:00:00",3.35,3.5,3.35,3.5,135500.0
"Oct 23, 2009 00:00:00",3.4,3.5,3.4,3.5,889700.0
"Oct 26, 2009 00:00:00",3.4,3.55,3.4,3.55,99950.0
"Oct 27, 2009 00:00:00",3.5,3.6,3.5,3.6,1066600.0
"Oct 28, 2009 00:00:00",3.65,3.85,3.5,3.65,2000550.0
"Oct 29, 2009 00:00:00",3.4,3.5,3.4,3.45,1724000.0
"Nov 03, 2009 00:00:00",3.35,3.45,3.35,3.4,593500.0
"Nov 04, 2009 00:00:00",3.35,3.4,3.3,3.35,1035750.0
"Nov 05, 2009 00:00:00",3.35,3.35,3.3,3.35,684250.0
"Nov 06, 2009 00:00:00",3.4,3.4,3.3,3.3,300000.0
"Nov 09, 2009 00:00:00",3.25,3.3,3.2,3.3,1683200.0
"Nov 10, 2009 00:00:00",3.3,3.4,3.3,3.4,167100.0
"Nov 11, 2009 00:00:00",3.2,3.3,3.2,3.3,227500.0
"Dec 16, 2009 00:00:00",3.0,3.0,3.0,3.0,672000.0
"Dec 17, 2009 00:00:00",3.05,3.05,3.05,3.05,189100.0
"Dec 18, 2009 00:00:00",3.05,3.05,3.0,3.0,45250.0
"Dec 22, 2009 00:00:00",3.05,3.15,3.0,3.0,334000.0
"Dec 23, 2009 00:00:00",3.2,3.4,2.9,2.9,747050.0
"Dec 29, 2009 00:00:00",3.2,3.2,3.2,3.2,92800.0
"Jan 04, 2010 00:00:00",3.2,3.45,3.2,3.4,2983200.0
"Jan 05, 2010 00:00:00",3.4,3.4,3.4,3.4,176800.0
"Jan 06, 2010 00:00:00",3.4,3.5,3.4,3.5,2729600.0
"Jan 07, 2010 00:00:00",3.7,3.75,3.5,3.5,3761550.0
"Jan 08, 2010 00:00:00",3.5,3.6,3.5,3.6,2050700.0
"Jan 11, 2010 00:00:00",3.75,3.9,3.7,3.8,13646550.0
"Jan 12, 2010 00:00:00",3.8,4.1,3.8,4.0,17379100.0
"Jan 13, 2010 00:00:00",4.2,4.35,4.1,4.15,46699450.0
"Jan 14, 2010 00:00:00",4.15,4.25,3.8,3.8,17957000.0
"Jan 15, 2010 00:00:00",3.8,3.8,3.6,3.7,7136650.0
"Jan 18, 2010 00:00:00",3.7,3.7,3.55,3.6,1535000.0
"Jan 19, 2010 00:00:00",3.6,3.65,3.55,3.6,1461750.0
"Jan 20, 2010 00:00:00",3.6,3.6,3.45,3.5,2508450.0
"Jan 21, 2010 00:00:00",3.35,3.5,3.35,3.5,588450.0
"Jan 22, 2010 00:00:00",3.35,3.5,3.35,3.5,719550.0
"Jan 25, 2010 00:00:00",3.35,3.45,3.35,3.45,445750.0
"Jan 26, 2010 00:00:00",3.4,3.4,3.3,3.3,486800.0
"Jan 27, 2010 00:00:00",3.3,3.3,3.3,3.3,590700.0
"Jan 28, 2010 00:00:00",3.3,3.3,3.25,3.3,461250.0
"Jan 29, 2010 00:00:00",3.3,3.3,3.3,3.3,313500.0
"Feb 01, 2010 00:00:00",3.3,3.35,3.3,3.3,1311750.0
"Feb 02, 2010 00:00:00",3.3,3.3,3.25,3.25,767200.0
"Feb 03, 2010 00:00:00",3.25,3.3,3.2,3.2,1441350.0
"Feb 04, 2010 00:00:00",3.25,3.3,3.25,3.25,792100.0
"Feb 05, 2010 00:00:00",3.25,3.25,3.15,3.2,1542100.0
"Feb 08, 2010 00:00:00",3.25,3.25,3.2,3.2,201850.0
"Feb 09, 2010 00:00:00",3.15,3.2,3.1,3.1,743450.0
"Feb 10, 2010 00:00:00",3.2,3.2,3.2,3.2,211200.0
"Feb 11, 2010 00:00:00",3.2,3.3,3.15,3.3,260100.0
"Mar 08, 2010 00:00:00",3.45,3.55,3.45,3.55,4073300.0
"Mar 12, 2010 00:00:00",3.55,3.55,3.55,3.55,177500.0
"Mar 15, 2010 00:00:00",3.5,3.5,3.4,3.4,688000.0
"Mar 16, 2010 00:00:00",3.45,3.5,3.45,3.45,69250.0
"Mar 17, 2010 00:00:00",3.5,3.5,3.5,3.5,231000.0
"Mar 31, 2010 00:00:00",3.5,3.5,3.5,3.5,105000.0
