chart_date,open,high,low,close,value
"Dec 20, 2017 00:00:00",1.0,1.0,1.0,1.0,100000.0
"Dec 28, 2017 00:00:00",1.0,1.0,1.0,1.0,43000.0
"Jan 19, 2018 00:00:00",1.0,1.0,1.0,1.0,50000.0
"Jan 23, 2018 00:00:00",1.0,1.0,1.0,1.0,2000.0
"Jan 25, 2018 00:00:00",1.0,1.0,1.0,1.0,4000.0
"Jan 26, 2018 00:00:00",1.0,1.0,1.0,1.0,2000.0
"Feb 01, 2018 00:00:00",1.05,1.06,1.05,1.06,24874.0
"Feb 05, 2018 00:00:00",1.03,1.03,1.01,1.01,3039.6
"Feb 07, 2018 00:00:00",1.01,1.01,1.01,1.01,9090.0
"Feb 13, 2018 00:00:00",1.02,1.02,1.02,1.02,98940.0
"Feb 15, 2018 00:00:00",1.01,1.01,1.01,1.01,464.6
"Feb 27, 2018 00:00:00",1.02,1.02,1.02,1.02,23562.0
"Mar 01, 2018 00:00:00",1.02,1.02,1.02,1.02,119401.2
"Mar 07, 2018 00:00:00",1.02,1.02,1.02,1.02,3814.8
"Mar 08, 2018 00:00:00",1.02,1.02,1.02,1.02,33190.8
"Mar 09, 2018 00:00:00",1.03,1.03,1.02,1.02,356202.2
"Mar 15, 2018 00:00:00",1.05,1.05,1.05,1.05,525.0
"Mar 16, 2018 00:00:00",1.05,1.05,1.02,1.02,25710.0
"Mar 21, 2018 00:00:00",1.03,1.03,1.02,1.02,132596.6
"Mar 26, 2018 00:00:00",1.02,1.02,1.02,1.02,71400.0
"Apr 02, 2018 00:00:00",1.03,1.03,1.03,1.03,18334.0
"Apr 04, 2018 00:00:00",1.02,1.02,1.02,1.02,180519.6
"Apr 05, 2018 00:00:00",1.02,1.02,1.02,1.02,102530.4
"Apr 10, 2018 00:00:00",1.02,1.02,1.02,1.02,71400.0
"Apr 11, 2018 00:00:00",1.02,1.02,1.02,1.02,612.0
"Apr 12, 2018 00:00:00",1.02,1.02,1.02,1.02,25500.0
"Apr 13, 2018 00:00:00",1.02,1.02,1.02,1.02,79743.6
"Apr 18, 2018 00:00:00",1.02,1.02,1.02,1.02,143820.0
"Apr 25, 2018 00:00:00",1.02,1.02,1.02,1.02,341516.4
"Apr 26, 2018 00:00:00",1.02,1.02,1.02,1.02,102000.0
"Apr 30, 2018 00:00:00",1.02,1.03,1.02,1.03,123400.0
"May 02, 2018 00:00:00",1.02,1.02,1.02,1.02,4080.0
"May 08, 2018 00:00:00",1.03,1.03,1.03,1.03,49852.0
"May 16, 2018 00:00:00",1.03,1.03,1.03,1.03,52962.6
"May 18, 2018 00:00:00",1.03,1.03,1.03,1.03,17530.6
"May 22, 2018 00:00:00",1.02,1.02,1.02,1.02,15300.0
"May 25, 2018 00:00:00",1.02,1.02,1.02,1.02,2040.0
"May 30, 2018 00:00:00",1.02,1.02,1.02,1.02,25500.0
"Jun 08, 2018 00:00:00",1.02,1.02,1.02,1.02,102000.0
"Jul 09, 2018 00:00:00",1.02,1.02,1.02,1.02,2040.0
"Jul 10, 2018 00:00:00",1.02,1.02,1.02,1.02,51000.0
"Jul 18, 2018 00:00:00",1.02,1.02,1.02,1.02,11220.0
"Jul 20, 2018 00:00:00",1.01,1.01,1.01,1.01,12928.0
"Jul 24, 2018 00:00:00",1.01,1.01,1.01,1.01,4040.0
"Jul 26, 2018 00:00:00",1.01,1.01,1.01,1.01,33532.0
"Jul 30, 2018 00:00:00",1.01,1.01,1.01,1.01,6868.0
"Jul 31, 2018 00:00:00",1.01,1.02,1.01,1.02,19928.8
"Aug 06, 2018 00:00:00",1.02,1.02,1.0,1.0,25090.0
"Aug 07, 2018 00:00:00",1.0,1.0,1.0,1.0,189960.0
"Aug 15, 2018 00:00:00",1.01,1.01,1.01,1.01,1212.0
"Aug 16, 2018 00:00:00",1.01,1.01,1.01,1.01,25916.6
"Aug 23, 2018 00:00:00",1.0,1.0,1.0,1.0,1380.0
"Aug 24, 2018 00:00:00",1.04,1.04,1.04,1.04,145.6
"Aug 30, 2018 00:00:00",1.0,1.04,1.0,1.04,149836.8
"Sep 04, 2018 00:00:00",1.0,1.0,1.0,1.0,10000.0
"Sep 07, 2018 00:00:00",1.01,1.01,1.01,1.01,98980.0
"Sep 12, 2018 00:00:00",1.01,1.01,1.01,1.01,19897.0
"Sep 14, 2018 00:00:00",1.01,1.01,1.01,1.01,30300.0
"Sep 17, 2018 00:00:00",1.0,1.0,1.0,1.0,18380.0
"Sep 18, 2018 00:00:00",1.0,1.0,1.0,1.0,100.0
"Sep 20, 2018 00:00:00",0.8,0.8,0.8,0.8,8000.0
"Sep 24, 2018 00:00:00",0.99,1.0,0.99,1.0,95790.0
"Sep 24, 2018 00:00:00",0.99,1.0,0.99,1.0,95790.0
"Oct 03, 2018 00:00:00",1.0,1.0,1.0,1.0,4200.0
"Oct 19, 2018 00:00:00",1.01,1.01,1.01,1.01,1373.6
"Oct 31, 2018 00:00:00",1.01,1.01,1.01,1.01,4969.2
"Nov 05, 2018 00:00:00",1.0,1.0,1.0,1.0,10600.0
"Nov 06, 2018 00:00:00",1.0,1.0,1.0,1.0,20.0
"Nov 12, 2018 00:00:00",1.0,1.0,1.0,1.0,3960.0
"Nov 13, 2018 00:00:00",1.0,1.01,1.0,1.01,28282.2
"Nov 14, 2018 00:00:00",1.03,1.03,1.03,1.03,29911.2
"Nov 15, 2018 00:00:00",1.01,1.01,0.98,1.01,50078.2
"Nov 16, 2018 00:00:00",1.03,1.03,1.03,1.03,29870.0
"Nov 20, 2018 00:00:00",1.01,1.03,1.01,1.03,20105.0
"Nov 22, 2018 00:00:00",1.03,1.03,1.03,1.03,679.8
"Nov 26, 2018 00:00:00",1.03,1.03,1.03,1.03,49996.2
"Nov 28, 2018 00:00:00",1.01,1.01,1.01,1.01,25250.0
"Dec 05, 2018 00:00:00",1.01,1.02,1.01,1.02,48830.0
"Dec 12, 2018 00:00:00",1.01,1.01,1.01,1.01,80.8
"Dec 13, 2018 00:00:00",1.01,1.01,1.01,1.01,34340.0
"Jan 03, 2019 00:00:00",1.02,1.02,1.02,1.02,19930.8
"Jan 04, 2019 00:00:00",1.02,1.02,1.02,1.02,10200.0
"Jan 17, 2019 00:00:00",1.01,1.01,1.01,1.01,3030.0
"Jan 23, 2019 00:00:00",1.01,1.01,1.01,1.01,484.8
"Jan 24, 2019 00:00:00",1.01,1.01,1.01,1.01,90718.2
"Jan 31, 2019 00:00:00",1.01,1.01,1.0,1.0,23598.8
"Feb 01, 2019 00:00:00",1.0,1.0,1.0,1.0,5000.0
"Feb 04, 2019 00:00:00",1.0,1.0,1.0,1.0,2000.0
"Feb 06, 2019 00:00:00",1.0,1.0,1.0,1.0,11360.0
"Feb 07, 2019 00:00:00",1.0,1.0,1.0,1.0,1000.0
"Feb 08, 2019 00:00:00",0.95,0.95,0.91,0.91,9304.0
"Feb 14, 2019 00:00:00",1.0,1.0,1.0,1.0,20000.0
"Feb 15, 2019 00:00:00",1.0,1.0,1.0,1.0,2300.0
"Feb 20, 2019 00:00:00",1.0,1.0,1.0,1.0,6000.0
"Feb 26, 2019 00:00:00",1.0,1.0,1.0,1.0,50000.0
"Feb 27, 2019 00:00:00",1.0,1.0,1.0,1.0,400.0
"Feb 28, 2019 00:00:00",1.0,1.0,1.0,1.0,11640.0
"Mar 01, 2019 00:00:00",1.0,1.0,1.0,1.0,5000.0
"Mar 04, 2019 00:00:00",1.0,1.0,1.0,1.0,3000.0
"Mar 05, 2019 00:00:00",0.9,0.9,0.9,0.9,900.0
"Mar 06, 2019 00:00:00",1.0,1.0,1.0,1.0,1500.0
"Mar 07, 2019 00:00:00",1.0,1.0,1.0,1.0,1580.0
"Mar 11, 2019 00:00:00",0.99,0.99,0.99,0.99,772.2
"Mar 12, 2019 00:00:00",0.99,0.99,0.99,0.99,297.0
"Mar 13, 2019 00:00:00",0.99,0.99,0.99,0.99,693.0
"Mar 15, 2019 00:00:00",0.99,0.99,0.99,0.99,9801.0
"Mar 18, 2019 00:00:00",1.0,1.0,1.0,1.0,1900.0
