chart_date,open,high,low,close,value
"Jan 13, 2014 00:00:00",81.0,104.9,81.0,98.95,85558574.5
"Jan 14, 2014 00:00:00",97.0,97.0,81.2,82.1,57945977.0
"Jan 15, 2014 00:00:00",82.0,82.0,66.0,70.0,47413562.0
"Jan 16, 2014 00:00:00",70.1,77.9,68.0,73.0,63672970.5
"Jan 17, 2014 00:00:00",72.6,76.2,71.15,74.9,24806594.0
"Jan 20, 2014 00:00:00",74.9,80.0,72.55,77.5,28354236.0
"Jan 21, 2014 00:00:00",77.5,78.0,76.3,77.45,11045051.0
"Jan 22, 2014 00:00:00",77.45,78.0,75.55,77.3,10312208.0
"Jan 23, 2014 00:00:00",75.55,77.0,75.0,75.0,12656704.0
"Jan 24, 2014 00:00:00",74.25,75.0,72.1,75.0,6837957.5
"Jan 27, 2014 00:00:00",72.55,74.95,72.5,74.0,6044272.0
"Jan 28, 2014 00:00:00",73.15,74.0,72.5,73.95,7040756.5
"Jan 29, 2014 00:00:00",72.35,74.5,72.0,74.5,9818303.5
"Jan 30, 2014 00:00:00",72.0,72.3,71.95,72.0,19471421.5
"Feb 03, 2014 00:00:00",71.9,71.9,70.5,71.0,7989232.5
"Feb 04, 2014 00:00:00",70.2,70.2,68.7,69.0,6651932.0
"Feb 05, 2014 00:00:00",68.6,68.7,68.0,68.0,5860413.0
"Feb 06, 2014 00:00:00",67.1,70.0,67.1,70.0,7539451.5
"Feb 07, 2014 00:00:00",68.0,69.9,67.55,67.7,4343528.0
"Feb 10, 2014 00:00:00",67.55,67.55,66.5,67.0,8822963.0
"Feb 11, 2014 00:00:00",66.0,67.1,65.0,65.0,12717674.5
"Feb 12, 2014 00:00:00",66.0,66.5,63.8,63.8,10912377.5
"Feb 13, 2014 00:00:00",63.55,65.0,63.5,64.0,4980794.5
"Feb 14, 2014 00:00:00",63.5,66.0,63.0,65.0,5173830.0
"Feb 17, 2014 00:00:00",64.0,65.0,63.2,65.0,3148716.5
"Feb 18, 2014 00:00:00",65.0,65.0,63.5,64.0,2008642.0
"Feb 19, 2014 00:00:00",63.65,64.5,63.55,64.5,5214870.5
"Feb 20, 2014 00:00:00",64.0,64.5,63.55,64.5,2833106.0
"Feb 21, 2014 00:00:00",64.5,64.5,63.55,64.5,2881181.0
"Feb 24, 2014 00:00:00",64.5,65.0,63.55,65.0,4049437.0
"Feb 25, 2014 00:00:00",63.7,64.9,63.6,64.8,2925808.0
"Feb 26, 2014 00:00:00",64.9,64.9,63.6,63.6,4864733.0
"Feb 27, 2014 00:00:00",63.7,64.0,62.0,62.0,9104690.5
"Feb 28, 2014 00:00:00",62.0,62.6,60.0,60.0,11466247.5
"Mar 03, 2014 00:00:00",60.0,60.0,58.8,60.0,5711333.5
"Mar 04, 2014 00:00:00",59.5,59.8,58.55,59.5,3726306.0
"Mar 05, 2014 00:00:00",59.3,59.3,58.15,58.2,6431100.0
"Mar 06, 2014 00:00:00",58.2,58.3,58.05,58.1,6976313.5
"Mar 07, 2014 00:00:00",58.1,59.0,58.05,58.5,5655224.5
"Mar 10, 2014 00:00:00",58.1,59.2,58.1,58.6,9111316.0
"Mar 11, 2014 00:00:00",58.6,62.25,58.5,62.0,81931789.5
"Mar 12, 2014 00:00:00",62.95,65.0,60.1,65.0,37189669.0
"Mar 13, 2014 00:00:00",65.2,72.5,65.2,72.0,34716262.5
"Mar 14, 2014 00:00:00",72.65,72.65,69.5,72.0,15226831.0
"Mar 17, 2014 00:00:00",72.15,74.0,71.0,72.0,7870141.0
"Mar 18, 2014 00:00:00",71.0,82.0,71.0,81.0,44593063.0
"Mar 19, 2014 00:00:00",81.0,85.5,77.15,82.9,28452254.0
"Mar 20, 2014 00:00:00",83.0,83.0,79.5,83.0,15566903.5
"Mar 21, 2014 00:00:00",81.1,83.5,81.0,82.95,19114236.5
"Mar 24, 2014 00:00:00",82.95,85.05,82.4,85.0,18344876.0
"Mar 25, 2014 00:00:00",85.0,85.0,83.5,85.0,5277588.5
"Mar 26, 2014 00:00:00",85.0,86.0,84.1,86.0,10522501.5
"Mar 27, 2014 00:00:00",86.0,86.5,84.05,86.5,9466710.0
"Mar 28, 2014 00:00:00",86.0,88.0,85.6,88.0,25069473.5
"Mar 31, 2014 00:00:00",88.0,89.0,86.6,88.95,15494947.5
"Apr 01, 2014 00:00:00",89.0,90.0,88.2,89.0,7150327.5
"Apr 02, 2014 00:00:00",89.9,91.0,89.5,90.0,20080744.0
"Apr 03, 2014 00:00:00",91.0,91.0,87.55,90.0,11184010.5
"Apr 04, 2014 00:00:00",89.95,92.0,88.05,92.0,14035272.0
"Apr 07, 2014 00:00:00",91.85,94.0,89.15,94.0,10097709.0
"Apr 08, 2014 00:00:00",92.25,94.0,91.95,94.0,4765350.5
"Apr 10, 2014 00:00:00",94.0,94.2,93.0,94.1,10671641.0
"Apr 11, 2014 00:00:00",93.1,96.1,93.1,96.0,13377225.5
"Apr 14, 2014 00:00:00",95.95,96.2,93.15,95.5,6023404.0
"Apr 15, 2014 00:00:00",95.1,96.0,95.0,95.0,3723445.0
"Apr 16, 2014 00:00:00",94.5,95.6,94.5,95.1,4341376.5
"Apr 21, 2014 00:00:00",95.2,95.7,95.1,95.45,4289589.0
"Apr 22, 2014 00:00:00",95.5,95.6,94.55,94.55,7631215.5
"Apr 23, 2014 00:00:00",94.55,95.0,93.5,93.5,5043591.0
"Apr 24, 2014 00:00:00",93.25,95.5,89.5,95.5,18592515.0
"Apr 25, 2014 00:00:00",95.0,95.0,94.0,94.25,3747149.0
"Apr 28, 2014 00:00:00",94.0,95.5,93.9,95.0,3246688.0
"Apr 29, 2014 00:00:00",95.0,95.0,93.05,93.1,1891871.5
"Apr 30, 2014 00:00:00",93.0,93.5,91.0,93.5,11657378.5
"May 02, 2014 00:00:00",93.9,93.95,93.0,93.8,2488537.5
"May 05, 2014 00:00:00",93.9,94.0,92.5,94.0,2476938.0
"May 06, 2014 00:00:00",94.0,94.0,92.5,93.0,630530.0
"May 07, 2014 00:00:00",92.5,93.5,92.0,92.5,1575552.0
"May 08, 2014 00:00:00",92.9,92.9,89.9,91.45,4704583.0
"May 09, 2014 00:00:00",91.5,91.5,90.1,90.2,9181801.0
"May 12, 2014 00:00:00",90.0,91.4,90.0,90.5,2972861.0
"May 13, 2014 00:00:00",90.1,91.0,89.8,89.9,2898264.0
"May 14, 2014 00:00:00",89.9,90.5,89.8,89.8,1269537.0
"May 15, 2014 00:00:00",89.8,89.85,89.3,89.6,3195307.5
"May 16, 2014 00:00:00",89.3,89.3,88.6,89.0,4697016.0
"May 19, 2014 00:00:00",88.7,88.9,87.9,88.9,5552839.5
"May 20, 2014 00:00:00",88.9,89.1,88.1,88.7,4713117.5
"May 21, 2014 00:00:00",89.45,89.45,88.2,88.85,518773.5
"May 22, 2014 00:00:00",88.2,89.0,88.0,89.0,4057119.0
"May 23, 2014 00:00:00",89.0,89.0,87.7,87.75,6253772.0
"May 26, 2014 00:00:00",89.0,89.0,87.0,87.1,1202545.0
"May 27, 2014 00:00:00",88.45,88.45,87.0,87.0,4421359.0
"May 28, 2014 00:00:00",88.4,88.4,86.0,86.1,1304772.0
"May 29, 2014 00:00:00",88.0,88.0,86.0,86.5,4631339.5
"May 30, 2014 00:00:00",86.5,88.5,85.2,88.5,6066902.0
"Jun 02, 2014 00:00:00",88.0,89.9,86.55,89.8,5893165.0
"Jun 03, 2014 00:00:00",89.8,90.0,87.1,90.0,2180511.5
"Jun 04, 2014 00:00:00",90.4,90.5,87.05,90.5,2931774.0
"Jun 05, 2014 00:00:00",90.5,93.0,88.9,93.0,4400241.0
"Jun 06, 2014 00:00:00",93.0,95.0,90.5,95.0,7549645.5
"Jun 09, 2014 00:00:00",92.15,94.95,92.15,94.95,7228953.5
"Jun 10, 2014 00:00:00",93.95,95.0,92.3,94.0,14093877.0
"Jun 11, 2014 00:00:00",93.0,94.95,93.0,94.0,7024069.0
"Jun 13, 2014 00:00:00",94.4,94.45,93.9,94.0,15358103.0
"Jun 16, 2014 00:00:00",93.9,95.0,92.9,95.0,10650179.0
"Jun 17, 2014 00:00:00",94.95,95.0,92.75,95.0,16360952.0
"Jun 18, 2014 00:00:00",95.0,95.5,93.1,95.5,21787085.5
"Jun 19, 2014 00:00:00",93.8,96.0,93.8,95.9,12645493.0
"Jun 20, 2014 00:00:00",95.9,104.0,94.1,100.0,21355471.0
"Jun 23, 2014 00:00:00",100.1,103.0,100.1,103.0,9028625.0
"Jun 24, 2014 00:00:00",104.0,109.0,104.0,105.1,8064502.0
"Jun 25, 2014 00:00:00",105.0,108.5,104.4,108.5,6447273.0
"Jun 26, 2014 00:00:00",108.0,109.9,107.5,109.9,10433986.0
"Jun 27, 2014 00:00:00",109.8,126.5,109.0,120.0,12257851.0
"Jun 30, 2014 00:00:00",120.0,126.5,116.3,120.0,22375674.0
"Jul 01, 2014 00:00:00",120.0,124.4,119.8,124.4,14784994.0
"Jul 02, 2014 00:00:00",124.0,126.5,122.0,126.5,16316247.0
"Jul 03, 2014 00:00:00",125.0,131.0,124.0,131.0,18860106.0
"Jul 04, 2014 00:00:00",131.0,138.0,131.0,135.0,20727637.0
"Jul 07, 2014 00:00:00",136.0,140.0,136.0,140.0,16866536.0
"Jul 08, 2014 00:00:00",140.0,141.5,137.0,140.7,24158041.0
"Jul 09, 2014 00:00:00",140.7,141.5,136.0,136.0,35598732.0
"Jul 10, 2014 00:00:00",139.6,140.2,136.1,136.1,26316550.0
"Jul 11, 2014 00:00:00",137.5,138.5,131.6,137.5,13738084.0
"Jul 14, 2014 00:00:00",136.0,138.0,134.1,137.8,3879471.0
"Jul 15, 2014 00:00:00",137.8,139.9,136.8,139.0,22898347.0
"Jul 17, 2014 00:00:00",139.0,140.0,138.0,140.0,15111849.0
"Jul 18, 2014 00:00:00",139.9,147.5,138.6,147.5,32600145.0
"Jul 21, 2014 00:00:00",147.5,155.0,147.5,153.5,9437408.0
"Jul 22, 2014 00:00:00",153.5,156.0,150.1,150.1,5679263.0
"Jul 23, 2014 00:00:00",150.1,150.1,142.0,142.0,7870282.0
"Jul 24, 2014 00:00:00",143.0,145.0,141.5,144.0,2458099.0
"Jul 25, 2014 00:00:00",142.0,150.0,141.0,150.0,9758979.0
"Jul 28, 2014 00:00:00",150.0,153.9,146.0,153.8,8588617.0
"Jul 30, 2014 00:00:00",153.6,155.0,150.8,153.0,16937067.0
"Jul 31, 2014 00:00:00",153.0,153.0,149.0,152.7,7338210.0
"Aug 01, 2014 00:00:00",150.0,152.7,146.0,151.0,8024267.0
"Aug 04, 2014 00:00:00",151.0,151.0,146.1,148.0,3960460.0
"Aug 05, 2014 00:00:00",148.0,149.9,145.9,149.5,5195724.0
"Aug 06, 2014 00:00:00",149.9,149.9,143.9,143.9,9282268.0
"Aug 07, 2014 00:00:00",144.0,145.5,142.5,144.7,5120812.0
"Aug 08, 2014 00:00:00",148.6,148.6,142.5,145.0,3816784.0
"Aug 11, 2014 00:00:00",145.0,145.0,142.3,142.4,959228.0
"Aug 12, 2014 00:00:00",142.4,144.4,141.0,141.0,8678659.0
"Aug 13, 2014 00:00:00",141.0,142.5,138.2,138.2,7710842.0
"Aug 14, 2014 00:00:00",138.2,140.0,137.0,138.1,4292225.0
