chart_date,open,high,low,close,value
"Aug 04, 2009 00:00:00",0.16,0.16,0.15,0.15,61650.0
"Aug 06, 2009 00:00:00",0.15,0.15,0.15,0.15,30000.0
"Aug 07, 2009 00:00:00",0.15,0.15,0.15,0.15,1500.0
"Aug 11, 2009 00:00:00",0.15,0.15,0.15,0.15,31500.0
"Aug 14, 2009 00:00:00",0.17,0.17,0.15,0.15,73400.0
"Aug 25, 2009 00:00:00",0.15,0.15,0.15,0.15,13500.0
"Sep 03, 2009 00:00:00",0.14,0.17,0.14,0.14,107800.0
"Sep 16, 2009 00:00:00",0.14,0.14,0.135,0.14,172200.0
"Sep 17, 2009 00:00:00",0.135,0.135,0.135,0.135,58050.0
"Oct 13, 2009 00:00:00",0.16,0.16,0.145,0.145,150500.0
"Oct 14, 2009 00:00:00",0.15,0.15,0.15,0.15,274500.0
"Oct 15, 2009 00:00:00",0.155,0.155,0.155,0.155,31000.0
"Oct 16, 2009 00:00:00",0.15,0.185,0.15,0.18,224300.0
"Oct 19, 2009 00:00:00",0.18,0.18,0.175,0.175,94700.0
"Oct 21, 2009 00:00:00",0.16,0.16,0.16,0.16,1600.0
"Oct 23, 2009 00:00:00",0.19,0.19,0.16,0.16,9200.0
"Oct 27, 2009 00:00:00",0.16,0.17,0.16,0.16,77000.0
"Oct 28, 2009 00:00:00",0.19,0.21,0.16,0.195,314700.0
"Oct 29, 2009 00:00:00",0.21,0.21,0.195,0.205,289250.0
"Oct 30, 2009 00:00:00",0.22,0.3,0.22,0.3,1730800.0
"Nov 03, 2009 00:00:00",0.4,0.44,0.3,0.3,1820200.0
"Nov 04, 2009 00:00:00",0.3,0.3,0.28,0.29,451000.0
"Nov 05, 2009 00:00:00",0.26,0.31,0.26,0.29,201100.0
"Nov 06, 2009 00:00:00",0.31,0.31,0.31,0.31,6200.0
"Nov 09, 2009 00:00:00",0.3,0.3,0.26,0.3,20400.0
"Nov 11, 2009 00:00:00",0.28,0.3,0.27,0.28,617400.0
"Dec 15, 2009 00:00:00",0.31,0.35,0.31,0.35,50000.0
"Dec 16, 2009 00:00:00",0.32,0.34,0.3,0.34,427800.0
"Dec 17, 2009 00:00:00",0.31,0.31,0.31,0.31,12400.0
"Dec 18, 2009 00:00:00",0.31,0.34,0.31,0.31,154600.0
"Dec 21, 2009 00:00:00",0.31,0.33,0.31,0.33,28100.0
"Dec 22, 2009 00:00:00",0.31,0.33,0.31,0.33,67300.0
"Dec 23, 2009 00:00:00",0.35,0.35,0.35,0.35,3500.0
"Jan 04, 2010 00:00:00",0.31,0.4,0.31,0.4,29000.0
"Jan 05, 2010 00:00:00",0.41,0.44,0.38,0.4,1691600.0
"Jan 06, 2010 00:00:00",0.38,0.4,0.38,0.39,184700.0
"Jan 07, 2010 00:00:00",0.38,0.41,0.38,0.41,85400.0
"Jan 14, 2010 00:00:00",0.4,0.45,0.4,0.4,846800.0
"Jan 15, 2010 00:00:00",0.42,0.42,0.37,0.37,167300.0
"Jan 18, 2010 00:00:00",0.38,0.38,0.38,0.38,38000.0
"Jan 19, 2010 00:00:00",0.41,0.41,0.38,0.4,846900.0
"Jan 20, 2010 00:00:00",0.38,0.38,0.38,0.38,79800.0
"Jan 21, 2010 00:00:00",0.38,0.38,0.38,0.38,72200.0
"Jan 22, 2010 00:00:00",0.37,0.37,0.37,0.37,185000.0
"Jan 25, 2010 00:00:00",0.36,0.36,0.35,0.35,199700.0
"Feb 02, 2010 00:00:00",0.32,0.32,0.32,0.32,64000.0
"Feb 03, 2010 00:00:00",0.32,0.32,0.32,0.32,44800.0
"Feb 04, 2010 00:00:00",0.33,0.33,0.33,0.33,42900.0
"Feb 05, 2010 00:00:00",0.32,0.37,0.3,0.33,335700.0
"Feb 09, 2010 00:00:00",0.33,0.33,0.33,0.33,59400.0
"Feb 10, 2010 00:00:00",0.33,0.35,0.33,0.34,60400.0
"Mar 08, 2010 00:00:00",0.32,0.32,0.32,0.32,9600.0
"Mar 12, 2010 00:00:00",0.32,0.32,0.32,0.32,3200.0
"Mar 16, 2010 00:00:00",0.32,0.32,0.32,0.32,3200.0
"Mar 31, 2010 00:00:00",0.35,0.35,0.35,0.35,3500.0
"Apr 30, 2010 00:00:00",0.3,0.3,0.3,0.3,33000.0
"May 04, 2010 00:00:00",0.31,0.31,0.3,0.3,265300.0
"May 05, 2010 00:00:00",0.29,0.29,0.29,0.29,63800.0
"May 13, 2010 00:00:00",0.27,0.27,0.27,0.27,27000.0
"May 17, 2010 00:00:00",0.27,0.27,0.27,0.27,13500.0
"May 28, 2010 00:00:00",0.28,0.32,0.28,0.32,94500.0
"May 31, 2010 00:00:00",0.32,0.33,0.32,0.33,22900.0
"Jun 02, 2010 00:00:00",0.31,0.31,0.31,0.31,18600.0
"Jun 03, 2010 00:00:00",0.31,0.31,0.31,0.31,15500.0
"Jun 08, 2010 00:00:00",0.27,0.32,0.24,0.32,110900.0
"Jun 09, 2010 00:00:00",0.32,0.32,0.32,0.32,3200.0
"Jun 15, 2010 00:00:00",0.3,0.3,0.3,0.3,3000.0
"Jun 21, 2010 00:00:00",0.31,0.38,0.31,0.35,222500.0
"Jun 22, 2010 00:00:00",0.32,0.32,0.32,0.32,3200.0
"Jun 24, 2010 00:00:00",0.34,0.34,0.28,0.28,78200.0
"Jul 02, 2010 00:00:00",0.28,0.28,0.28,0.28,5600.0
"Jul 14, 2010 00:00:00",0.34,0.34,0.34,0.34,3400.0
"Jul 21, 2010 00:00:00",0.29,0.31,0.29,0.31,93300.0
"Sep 20, 2010 00:00:00",0.3,0.3,0.3,0.3,42000.0
"Sep 21, 2010 00:00:00",0.31,0.31,0.31,0.31,155000.0
"Sep 22, 2010 00:00:00",0.28,0.28,0.28,0.28,11200.0
"Sep 23, 2010 00:00:00",0.3,0.3,0.3,0.3,3000.0
"Sep 24, 2010 00:00:00",0.305,0.32,0.305,0.31,211450.0
"Sep 29, 2010 00:00:00",0.32,0.32,0.3,0.3,70600.0
"Oct 04, 2010 00:00:00",0.33,0.33,0.33,0.33,3300.0
"Oct 15, 2010 00:00:00",0.28,0.32,0.28,0.32,17200.0
"Oct 19, 2010 00:00:00",0.295,0.33,0.29,0.33,84600.0
"Oct 22, 2010 00:00:00",0.28,0.3,0.28,0.3,88000.0
"Nov 09, 2010 00:00:00",0.26,0.26,0.26,0.26,5200.0
"Dec 01, 2010 00:00:00",0.26,0.26,0.26,0.26,39000.0
"Dec 02, 2010 00:00:00",0.3,0.3,0.3,0.3,3000.0
