chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",2.5,2.7,2.5,2.6,35238400.0
"Aug 04, 2009 00:00:00",2.7,2.7,2.55,2.6,21759750.0
"Aug 06, 2009 00:00:00",2.6,2.65,2.55,2.6,34374800.0
"Aug 07, 2009 00:00:00",2.65,2.65,2.55,2.6,54957800.0
"Aug 10, 2009 00:00:00",2.6,2.65,2.55,2.6,12063900.0
"Aug 11, 2009 00:00:00",2.5,2.6,2.5,2.6,5104800.0
"Aug 12, 2009 00:00:00",2.65,2.65,2.55,2.6,6154350.0
"Aug 13, 2009 00:00:00",2.7,2.9,2.65,2.65,32473550.0
"Aug 14, 2009 00:00:00",2.65,2.7,2.6,2.6,4049350.0
"Aug 17, 2009 00:00:00",2.6,2.6,2.48,2.48,35553370.0
"Aug 18, 2009 00:00:00",2.42,2.55,2.4,2.5,22324460.0
"Aug 19, 2009 00:00:00",2.6,2.6,2.55,2.6,11328500.0
"Aug 20, 2009 00:00:00",2.6,2.6,2.5,2.55,16272900.0
"Aug 24, 2009 00:00:00",2.55,2.65,2.55,2.6,18757000.0
"Aug 25, 2009 00:00:00",2.6,2.65,2.55,2.6,28787200.0
"Aug 26, 2009 00:00:00",2.65,2.85,2.65,2.8,83169800.0
"Sep 03, 2009 00:00:00",2.6,2.6,2.46,2.5,36132610.0
"Sep 04, 2009 00:00:00",2.6,2.65,2.55,2.55,27628550.0
"Sep 16, 2009 00:00:00",2.48,2.55,2.46,2.5,80218780.0
"Sep 17, 2009 00:00:00",2.5,2.55,2.36,2.36,50127190.0
"Sep 18, 2009 00:00:00",2.36,2.48,2.36,2.48,19680080.0
"Sep 22, 2009 00:00:00",2.5,2.5,2.46,2.48,2939640.0
"Sep 23, 2009 00:00:00",2.48,2.48,2.44,2.44,8399480.0
"Sep 30, 2009 00:00:00",2.32,2.32,2.3,2.32,12420340.0
"Oct 01, 2009 00:00:00",2.32,2.34,2.28,2.3,14781000.0
"Oct 02, 2009 00:00:00",2.24,2.24,2.18,2.2,13031100.0
"Oct 05, 2009 00:00:00",2.2,2.22,2.14,2.16,8159780.0
"Oct 06, 2009 00:00:00",2.22,2.22,2.1,2.12,15847860.0
"Oct 07, 2009 00:00:00",2.14,2.18,2.08,2.12,38033140.0
"Oct 08, 2009 00:00:00",2.12,2.32,2.12,2.28,67047560.0
"Oct 09, 2009 00:00:00",2.34,2.34,2.24,2.26,47794280.0
"Oct 12, 2009 00:00:00",2.24,2.26,2.2,2.22,20709680.0
"Oct 13, 2009 00:00:00",2.24,2.24,2.18,2.18,28049660.0
"Oct 14, 2009 00:00:00",2.18,2.22,2.16,2.18,17919460.0
"Oct 15, 2009 00:00:00",2.2,2.22,2.18,2.18,15176940.0
"Oct 16, 2009 00:00:00",2.18,2.18,2.14,2.18,11058740.0
"Oct 19, 2009 00:00:00",2.14,2.16,2.1,2.12,10574560.0
"Oct 20, 2009 00:00:00",2.14,2.14,2.0,2.02,39820140.0
"Oct 21, 2009 00:00:00",2.02,2.14,1.98,2.1,43975620.0
"Oct 22, 2009 00:00:00",2.1,2.16,2.04,2.04,36546220.0
"Oct 23, 2009 00:00:00",2.04,2.1,2.04,2.08,17142140.0
"Oct 26, 2009 00:00:00",2.08,2.08,2.02,2.04,5201360.0
"Oct 27, 2009 00:00:00",2.04,2.06,2.02,2.06,18718600.0
"Oct 28, 2009 00:00:00",2.04,2.04,1.98,2.0,47289820.0
"Oct 29, 2009 00:00:00",1.96,1.96,1.88,1.9,52045820.0
"Oct 30, 2009 00:00:00",1.96,2.06,1.9,1.98,76638080.0
"Nov 03, 2009 00:00:00",1.98,2.0,1.94,1.94,12678400.0
"Nov 04, 2009 00:00:00",1.94,2.0,1.94,1.98,25612140.0
"Nov 05, 2009 00:00:00",2.0,2.16,2.0,2.08,48944340.0
"Nov 06, 2009 00:00:00",2.1,2.12,2.04,2.04,6117660.0
"Nov 09, 2009 00:00:00",2.04,2.08,1.98,1.98,5820500.0
"Nov 10, 2009 00:00:00",2.0,2.06,2.0,2.04,19758200.0
"Nov 11, 2009 00:00:00",2.04,2.04,1.98,2.02,6511180.0
"Dec 15, 2009 00:00:00",1.92,1.92,1.9,1.9,5383000.0
"Dec 16, 2009 00:00:00",1.9,1.96,1.9,1.92,303678920.0
"Dec 17, 2009 00:00:00",1.94,1.94,1.92,1.92,4857500.0
"Dec 18, 2009 00:00:00",1.92,1.92,1.9,1.92,1866220.0
"Dec 21, 2009 00:00:00",1.9,1.9,1.88,1.88,1216100.0
"Dec 22, 2009 00:00:00",1.84,1.88,1.82,1.88,6333360.0
"Dec 23, 2009 00:00:00",1.86,1.86,1.86,1.86,2877420.0
"Dec 29, 2009 00:00:00",1.9,1.9,1.88,1.88,9166300.0
"Jan 04, 2010 00:00:00",1.92,1.92,1.9,1.9,2948900.0
"Jan 05, 2010 00:00:00",1.9,1.9,1.88,1.88,4251320.0
"Jan 06, 2010 00:00:00",1.88,1.9,1.86,1.9,13203400.0
"Jan 07, 2010 00:00:00",1.92,1.92,1.9,1.92,1007920.0
