chart_date,open,high,low,close,value
"May 21, 2012 00:00:00",2.51,5.5,2.5,2.99,8083300.0
"May 22, 2012 00:00:00",2.9,3.01,1.5,2.3,7485090.0
"May 23, 2012 00:00:00",2.3,2.3,1.72,1.76,684350.0
"May 24, 2012 00:00:00",1.74,2.3,1.7,1.97,13427680.0
"May 25, 2012 00:00:00",2.0,2.04,1.86,1.9,1310120.0
"May 28, 2012 00:00:00",1.76,1.9,1.7,1.75,630340.0
"May 29, 2012 00:00:00",1.85,2.0,1.7,1.7,16396720.0
"May 30, 2012 00:00:00",1.7,1.72,1.35,1.4,7206060.0
"May 31, 2012 00:00:00",1.44,1.65,1.05,1.2,8592210.0
"Jun 01, 2012 00:00:00",1.16,1.47,1.1,1.26,10426140.0
"Jun 04, 2012 00:00:00",1.3,1.69,1.29,1.5,13682780.0
"Jun 05, 2012 00:00:00",1.58,1.75,1.51,1.73,20911070.0
"Jun 06, 2012 00:00:00",1.8,2.25,1.77,2.25,80136300.0
"Jun 07, 2012 00:00:00",2.32,2.33,1.78,1.8,105213330.0
"Jun 08, 2012 00:00:00",1.83,1.83,1.58,1.63,30977290.0
"Jun 11, 2012 00:00:00",1.64,1.8,1.57,1.7,38009230.0
"Jun 13, 2012 00:00:00",1.74,1.74,1.44,1.5,40168820.0
"Jun 14, 2012 00:00:00",1.52,1.55,1.38,1.46,13130760.0
"Jun 15, 2012 00:00:00",1.46,1.61,1.46,1.49,19724580.0
"Jun 18, 2012 00:00:00",1.55,1.58,1.48,1.52,3678360.0
"Jun 19, 2012 00:00:00",1.51,1.54,1.48,1.52,3379170.0
"Jun 20, 2012 00:00:00",1.54,1.54,1.48,1.48,2403710.0
"Jun 21, 2012 00:00:00",1.48,1.56,1.47,1.48,6815890.0
"Jun 22, 2012 00:00:00",1.47,1.55,1.46,1.49,18356810.0
"Jun 25, 2012 00:00:00",1.51,1.51,1.48,1.49,3635630.0
"Jun 26, 2012 00:00:00",1.5,1.51,1.48,1.49,5098970.0
"Jun 27, 2012 00:00:00",1.49,1.51,1.48,1.48,4473660.0
"Jun 28, 2012 00:00:00",1.48,1.48,1.41,1.45,2078340.0
"Jun 29, 2012 00:00:00",1.42,1.44,1.39,1.41,11210870.0
"Jul 02, 2012 00:00:00",1.41,1.43,1.4,1.41,1175800.0
"Jul 03, 2012 00:00:00",1.4,1.42,1.4,1.4,1855610.0
"Jul 04, 2012 00:00:00",1.4,1.4,1.36,1.37,4034890.0
"Jul 05, 2012 00:00:00",1.36,1.41,1.35,1.36,4872510.0
"Jul 06, 2012 00:00:00",1.37,1.39,1.36,1.36,2107260.0
"Jul 09, 2012 00:00:00",1.42,1.42,1.36,1.36,843020.0
"Jul 10, 2012 00:00:00",1.36,1.4,1.31,1.32,1844870.0
"Jul 11, 2012 00:00:00",1.38,1.38,1.28,1.34,2761440.0
"Jul 12, 2012 00:00:00",1.28,1.33,1.25,1.28,3503680.0
"Jul 13, 2012 00:00:00",1.26,1.31,1.24,1.28,5423300.0
"Jul 16, 2012 00:00:00",1.26,1.32,1.25,1.25,3430030.0
"Jul 17, 2012 00:00:00",1.28,1.28,1.2,1.2,3612530.0
"Jul 18, 2012 00:00:00",1.25,1.25,1.18,1.19,2861800.0
"Jul 19, 2012 00:00:00",1.19,1.21,1.17,1.18,3259030.0
"Jul 20, 2012 00:00:00",1.18,1.2,1.16,1.17,999640.0
"Jul 23, 2012 00:00:00",1.16,1.19,1.15,1.16,1118190.0
"Jul 24, 2012 00:00:00",1.16,1.23,1.15,1.18,1384310.0
"Jul 25, 2012 00:00:00",1.16,1.2,1.16,1.16,465040.0
"Jul 26, 2012 00:00:00",1.2,1.24,1.16,1.17,1315470.0
"Jul 27, 2012 00:00:00",1.18,1.26,1.18,1.2,6345430.0
"Jul 30, 2012 00:00:00",1.21,1.22,1.18,1.18,1015940.0
"Jul 31, 2012 00:00:00",1.2,1.28,1.2,1.24,9599310.0
"Aug 01, 2012 00:00:00",1.24,1.5,1.24,1.38,63607800.0
"Aug 02, 2012 00:00:00",1.43,1.48,1.36,1.38,42619670.0
"Aug 03, 2012 00:00:00",1.38,1.41,1.26,1.29,13714750.0
"Aug 06, 2012 00:00:00",1.27,1.5,1.27,1.5,30224560.0
"Aug 08, 2012 00:00:00",1.5,1.6,1.47,1.57,42446270.0
"Aug 09, 2012 00:00:00",1.56,1.56,1.4,1.45,15544100.0
"Aug 10, 2012 00:00:00",1.5,1.5,1.4,1.4,4678410.0
"Aug 13, 2012 00:00:00",1.4,1.45,1.38,1.4,4235110.0
"Aug 14, 2012 00:00:00",1.4,1.5,1.4,1.43,5220310.0
"Aug 15, 2012 00:00:00",1.43,1.48,1.4,1.4,6214560.0
"Aug 16, 2012 00:00:00",1.4,1.4,1.33,1.33,3413980.0
"Aug 17, 2012 00:00:00",1.36,1.37,1.33,1.35,2806040.0
"Aug 22, 2012 00:00:00",1.35,1.37,1.33,1.33,2219230.0
"Aug 23, 2012 00:00:00",1.35,1.45,1.35,1.37,4356070.0
"Aug 24, 2012 00:00:00",1.37,1.41,1.35,1.35,5687490.0
"Aug 28, 2012 00:00:00",1.36,1.39,1.35,1.37,1676020.0
"Aug 29, 2012 00:00:00",1.39,1.42,1.38,1.4,2134880.0
"Aug 30, 2012 00:00:00",1.41,1.43,1.37,1.38,981210.0
"Aug 31, 2012 00:00:00",1.36,1.38,1.35,1.38,512520.0
"Sep 03, 2012 00:00:00",1.36,1.4,1.36,1.37,665600.0
"Sep 04, 2012 00:00:00",1.38,1.38,1.34,1.36,3427860.0
"Sep 05, 2012 00:00:00",1.34,1.37,1.28,1.28,5991970.0
"Sep 06, 2012 00:00:00",1.29,1.32,1.28,1.29,2822260.0
"Sep 07, 2012 00:00:00",1.3,1.3,1.28,1.29,1627300.0
"Sep 10, 2012 00:00:00",1.27,1.29,1.27,1.28,1080040.0
"Sep 11, 2012 00:00:00",1.27,1.28,1.27,1.27,866250.0
"Sep 12, 2012 00:00:00",1.3,1.33,1.28,1.3,1873450.0
"Sep 13, 2012 00:00:00",1.3,1.33,1.3,1.3,1691540.0
"Sep 14, 2012 00:00:00",1.3,1.32,1.28,1.29,3332730.0
"Sep 17, 2012 00:00:00",1.31,1.35,1.29,1.29,3031990.0
