chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.0525,0.055,0.0525,0.055,4179250.0
"Aug 04, 2009 00:00:00",0.055,0.06,0.0525,0.06,99251500.0
"Aug 06, 2009 00:00:00",0.0575,0.06,0.0575,0.06,16769500.0
"Aug 07, 2009 00:00:00",0.06,0.06,0.0575,0.06,7700500.0
"Aug 10, 2009 00:00:00",0.06,0.0625,0.06,0.0625,45112500.0
"Aug 11, 2009 00:00:00",0.0625,0.07,0.0625,0.07,169421500.0
"Aug 12, 2009 00:00:00",0.0675,0.07,0.065,0.0675,44013000.0
"Aug 13, 2009 00:00:00",0.0675,0.07,0.0675,0.07,34369500.0
"Aug 14, 2009 00:00:00",0.07,0.0725,0.07,0.0725,63665750.0
"Aug 17, 2009 00:00:00",0.0725,0.075,0.07,0.075,52791000.0
"Aug 18, 2009 00:00:00",0.0725,0.075,0.07,0.075,36543500.0
"Aug 19, 2009 00:00:00",0.075,0.0775,0.075,0.0775,52237750.0
"Aug 20, 2009 00:00:00",0.0775,0.08,0.0775,0.08,70853750.0
"Aug 24, 2009 00:00:00",0.0825,0.0825,0.08,0.0825,39965750.0
"Aug 25, 2009 00:00:00",0.08,0.0825,0.08,0.0825,16320500.0
"Aug 26, 2009 00:00:00",0.0825,0.0825,0.08,0.0825,22187750.0
"Sep 03, 2009 00:00:00",0.105,0.105,0.1,0.105,5841900.0
"Sep 04, 2009 00:00:00",0.105,0.11,0.1,0.11,54501350.0
"Sep 16, 2009 00:00:00",0.135,0.14,0.135,0.14,175186500.0
"Sep 17, 2009 00:00:00",0.14,0.145,0.135,0.14,72479450.0
"Sep 18, 2009 00:00:00",0.135,0.135,0.125,0.125,171511200.0
"Sep 22, 2009 00:00:00",12.5,12.5,12.0,12.5,25184550.0
"Sep 23, 2009 00:00:00",12.5,13.0,12.25,13.0,119068300.0
"Sep 30, 2009 00:00:00",14.25,14.75,14.0,14.75,297609225.0
"Oct 01, 2009 00:00:00",14.75,15.25,14.5,15.25,319510500.0
"Oct 02, 2009 00:00:00",15.0,15.0,14.75,15.0,44441150.0
"Oct 05, 2009 00:00:00",15.0,15.25,14.75,15.0,94728550.0
"Oct 06, 2009 00:00:00",15.0,15.0,12.0,12.5,219680200.0
"Oct 07, 2009 00:00:00",12.5,15.0,12.0,15.0,515630000.0
"Oct 08, 2009 00:00:00",15.0,15.5,14.75,15.5,179813475.0
"Oct 09, 2009 00:00:00",15.5,16.0,15.25,16.0,199091300.0
"Oct 12, 2009 00:00:00",16.0,16.0,14.5,15.75,79556300.0
"Oct 13, 2009 00:00:00",15.75,15.75,15.0,15.5,117085350.0
"Oct 14, 2009 00:00:00",15.0,15.5,15.0,15.25,18884175.0
"Oct 15, 2009 00:00:00",15.25,15.5,15.0,15.5,66725625.0
"Oct 16, 2009 00:00:00",15.5,15.5,15.25,15.5,50694125.0
"Oct 19, 2009 00:00:00",15.25,15.5,14.5,15.5,98638325.0
"Oct 20, 2009 00:00:00",15.5,15.5,15.25,15.5,58979425.0
"Oct 21, 2009 00:00:00",15.5,15.5,15.25,15.5,24183425.0
"Oct 22, 2009 00:00:00",15.5,15.5,15.25,15.5,28246400.0
"Oct 23, 2009 00:00:00",15.25,15.5,15.25,15.5,41687775.0
"Oct 26, 2009 00:00:00",15.5,15.5,15.25,15.5,42889225.0
"Oct 27, 2009 00:00:00",15.5,15.5,15.25,15.5,33059375.0
"Oct 28, 2009 00:00:00",15.5,16.5,15.25,16.5,306872675.0
"Oct 29, 2009 00:00:00",16.5,16.5,16.25,16.5,65170050.0
"Oct 30, 2009 00:00:00",16.5,16.5,16.25,16.5,84932550.0
"Nov 03, 2009 00:00:00",16.5,17.25,16.25,17.25,205361125.0
"Nov 04, 2009 00:00:00",17.25,17.5,17.0,17.5,104457050.0
"Nov 05, 2009 00:00:00",17.25,18.0,17.25,18.0,134538300.0
"Nov 06, 2009 00:00:00",18.0,18.25,17.75,18.25,69465925.0
"Nov 09, 2009 00:00:00",18.25,18.5,18.25,18.5,78324700.0
"Nov 10, 2009 00:00:00",18.5,18.5,18.25,18.5,101195300.0
"Nov 11, 2009 00:00:00",18.5,18.75,18.0,18.75,184474650.0
