chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.125,0.13,0.125,0.13,61750.0
"Aug 04, 2009 00:00:00",0.13,0.13,0.12,0.12,617550.0
"Aug 06, 2009 00:00:00",0.13,0.13,0.12,0.12,273700.0
"Aug 07, 2009 00:00:00",0.125,0.125,0.125,0.125,125000.0
"Aug 10, 2009 00:00:00",0.125,0.125,0.12,0.12,63650.0
"Aug 11, 2009 00:00:00",0.12,0.13,0.12,0.13,487500.0
"Aug 12, 2009 00:00:00",0.13,0.13,0.12,0.12,305400.0
"Aug 13, 2009 00:00:00",0.125,0.13,0.125,0.13,150050.0
"Aug 14, 2009 00:00:00",0.12,0.13,0.11,0.115,336300.0
"Aug 17, 2009 00:00:00",0.115,0.115,0.115,0.115,33350.0
"Aug 19, 2009 00:00:00",0.12,0.12,0.12,0.12,42000.0
"Aug 24, 2009 00:00:00",0.12,0.12,0.115,0.12,89850.0
"Aug 25, 2009 00:00:00",0.12,0.125,0.12,0.125,7250.0
"Aug 26, 2009 00:00:00",0.12,0.12,0.12,0.12,68400.0
"Sep 03, 2009 00:00:00",0.11,0.12,0.11,0.12,2300.0
"Sep 04, 2009 00:00:00",0.12,0.12,0.11,0.11,281200.0
"Sep 17, 2009 00:00:00",0.115,0.115,0.115,0.115,28750.0
"Sep 22, 2009 00:00:00",0.115,0.115,0.115,0.115,17250.0
"Sep 23, 2009 00:00:00",0.11,0.11,0.11,0.11,1100.0
"Sep 30, 2009 00:00:00",0.1,0.1,0.1,0.1,252000.0
"Oct 01, 2009 00:00:00",0.1,0.1,0.1,0.1,90000.0
"Oct 02, 2009 00:00:00",0.1,0.1,0.1,0.1,10000.0
"Oct 05, 2009 00:00:00",0.1,0.1,0.1,0.1,10000.0
"Oct 06, 2009 00:00:00",0.105,0.11,0.105,0.11,32500.0
"Oct 07, 2009 00:00:00",0.105,0.105,0.105,0.105,100800.0
"Oct 09, 2009 00:00:00",0.1,0.1,0.1,0.1,24000.0
"Oct 16, 2009 00:00:00",0.11,0.11,0.11,0.11,121000.0
"Oct 19, 2009 00:00:00",0.11,0.11,0.11,0.11,29700.0
"Oct 20, 2009 00:00:00",0.12,0.12,0.115,0.115,96550.0
"Oct 26, 2009 00:00:00",0.115,0.115,0.115,0.115,59800.0
"Oct 27, 2009 00:00:00",0.11,0.115,0.11,0.115,225000.0
"Oct 28, 2009 00:00:00",0.11,0.11,0.11,0.11,156200.0
"Oct 29, 2009 00:00:00",0.11,0.11,0.11,0.11,9900.0
"Oct 30, 2009 00:00:00",0.115,0.115,0.115,0.115,335800.0
"Nov 05, 2009 00:00:00",0.11,0.115,0.11,0.115,83600.0
"Nov 10, 2009 00:00:00",0.115,0.115,0.115,0.115,80500.0
"Nov 11, 2009 00:00:00",0.115,0.115,0.11,0.11,94300.0
"Dec 15, 2009 00:00:00",0.1,0.115,0.1,0.115,266500.0
"Dec 16, 2009 00:00:00",0.11,0.11,0.11,0.11,33000.0
"Dec 17, 2009 00:00:00",0.105,0.105,0.105,0.105,3150.0
"Dec 21, 2009 00:00:00",0.1,0.1,0.1,0.1,6000.0
"Dec 23, 2009 00:00:00",0.1,0.1,0.1,0.1,20000.0
"Jan 04, 2010 00:00:00",0.12,0.12,0.12,0.12,36000.0
"Jan 05, 2010 00:00:00",0.12,0.12,0.12,0.12,61200.0
"Jan 06, 2010 00:00:00",0.1,0.12,0.1,0.12,71200.0
"Jan 07, 2010 00:00:00",0.11,0.115,0.11,0.115,187850.0
"Jan 08, 2010 00:00:00",0.11,0.115,0.11,0.115,39500.0
"Jan 11, 2010 00:00:00",0.11,0.115,0.11,0.115,7800.0
"Jan 12, 2010 00:00:00",0.11,0.115,0.11,0.115,108200.0
"Jan 13, 2010 00:00:00",0.11,0.11,0.11,0.11,253000.0
"Jan 14, 2010 00:00:00",0.11,0.11,0.11,0.11,27500.0
"Jan 15, 2010 00:00:00",0.11,0.11,0.11,0.11,13200.0
"Jan 20, 2010 00:00:00",0.11,0.11,0.105,0.105,65500.0
"Jan 21, 2010 00:00:00",0.105,0.105,0.105,0.105,4200.0
"Jan 22, 2010 00:00:00",0.11,0.11,0.1,0.1,60750.0
"Jan 25, 2010 00:00:00",0.11,0.11,0.11,0.11,11000.0
"Jan 26, 2010 00:00:00",0.1,0.1,0.1,0.1,80000.0
"Jan 27, 2010 00:00:00",0.1,0.105,0.1,0.105,41000.0
"Jan 28, 2010 00:00:00",0.105,0.11,0.105,0.11,34700.0
"Jan 29, 2010 00:00:00",0.1,0.11,0.1,0.11,11100.0
"Feb 05, 2010 00:00:00",0.105,0.105,0.105,0.105,5250.0
"Feb 08, 2010 00:00:00",0.1,0.105,0.1,0.105,11050.0
"Feb 09, 2010 00:00:00",0.105,0.105,0.105,0.105,31500.0
"Mar 08, 2010 00:00:00",0.0975,0.0975,0.0975,0.0975,19500.0
"Mar 16, 2010 00:00:00",0.13,0.13,0.1,0.1,33000.0
"Mar 31, 2010 00:00:00",0.0925,0.0925,0.0925,0.0925,46250.0
"May 04, 2010 00:00:00",0.095,0.0975,0.095,0.0975,29000.0
"May 05, 2010 00:00:00",0.095,0.095,0.0925,0.0925,37500.0
"May 17, 2010 00:00:00",0.09,0.09,0.09,0.09,9000.0
"May 18, 2010 00:00:00",0.09,0.09,0.09,0.09,9000.0
"Jun 03, 2010 00:00:00",0.08,0.09,0.08,0.09,25000.0
"Jun 08, 2010 00:00:00",0.0875,0.0875,0.0875,0.0875,8750.0
"Jun 09, 2010 00:00:00",0.0875,0.0875,0.0875,0.0875,8750.0
"Jun 10, 2010 00:00:00",0.09,0.0925,0.09,0.0925,135250.0
"Jun 11, 2010 00:00:00",0.095,0.095,0.095,0.095,28500.0
"Jun 21, 2010 00:00:00",0.1,0.1,0.1,0.1,10000.0
"Jun 23, 2010 00:00:00",0.095,0.095,0.095,0.095,19000.0
"Jun 24, 2010 00:00:00",0.095,0.095,0.095,0.095,38000.0
"Jul 01, 2010 00:00:00",0.09,0.0975,0.0875,0.0975,258000.0
"Jul 09, 2010 00:00:00",0.095,0.095,0.0925,0.0925,306500.0
"Jul 22, 2010 00:00:00",0.09,0.09,0.09,0.09,9000.0
"Sep 20, 2010 00:00:00",0.077,0.077,0.077,0.077,20790.0
"Sep 21, 2010 00:00:00",0.077,0.077,0.077,0.077,37730.0
"Sep 22, 2010 00:00:00",0.078,0.078,0.078,0.078,1560.0
"Sep 24, 2010 00:00:00",0.078,0.078,0.078,0.078,8580.0
"Sep 27, 2010 00:00:00",0.081,0.084,0.081,0.084,79230.0
"Sep 29, 2010 00:00:00",0.08,0.08,0.08,0.08,16000.0
"Oct 01, 2010 00:00:00",0.08,0.08,0.08,0.08,20000.0
"Oct 04, 2010 00:00:00",0.08,0.08,0.08,0.08,10400.0
"Oct 05, 2010 00:00:00",0.075,0.08,0.075,0.08,117500.0
"Oct 06, 2010 00:00:00",0.08,0.085,0.08,0.08,121300.0
"Oct 07, 2010 00:00:00",0.08,0.08,0.08,0.08,146400.0
"Oct 12, 2010 00:00:00",0.08,0.082,0.08,0.082,26040.0
"Oct 15, 2010 00:00:00",0.081,0.081,0.081,0.081,810.0
"Oct 20, 2010 00:00:00",0.08,0.08,0.08,0.08,16000.0
"Oct 22, 2010 00:00:00",0.08,0.08,0.08,0.08,21600.0
"Oct 26, 2010 00:00:00",0.08,0.08,0.08,0.08,20000.0
"Oct 27, 2010 00:00:00",0.08,0.081,0.08,0.081,1610.0
"Oct 28, 2010 00:00:00",0.08,0.08,0.08,0.08,12000.0
"Nov 02, 2010 00:00:00",0.08,0.08,0.08,0.08,35200.0
"Nov 03, 2010 00:00:00",0.08,0.08,0.08,0.08,40000.0
"Nov 08, 2010 00:00:00",0.08,0.08,0.08,0.08,140000.0
"Nov 11, 2010 00:00:00",0.077,0.077,0.077,0.077,22330.0
"Nov 12, 2010 00:00:00",0.077,0.077,0.077,0.077,7700.0
"Nov 17, 2010 00:00:00",0.077,0.077,0.077,0.077,26180.0
"Nov 23, 2010 00:00:00",0.077,0.077,0.077,0.077,770.0
"Dec 01, 2010 00:00:00",0.077,0.077,0.075,0.075,150700.0
"Dec 06, 2010 00:00:00",0.075,0.075,0.075,0.075,1500.0
"Dec 16, 2010 00:00:00",0.071,0.071,0.071,0.071,7100.0
"Jan 14, 2011 00:00:00",0.071,0.071,0.07,0.07,49680.0
"Jan 17, 2011 00:00:00",0.084,0.085,0.084,0.085,31250.0
"Jan 18, 2011 00:00:00",0.09,0.09,0.09,0.09,135900.0
"Jan 19, 2011 00:00:00",0.09,0.09,0.09,0.09,62100.0
"Jan 19, 2011 00:00:00",0.09,0.09,0.09,0.09,62100.0
"Jan 20, 2011 00:00:00",0.09,0.09,0.09,0.09,13500.0
"Jan 20, 2011 00:00:00",0.09,0.09,0.09,0.09,13500.0
"Jan 24, 2011 00:00:00",0.077,0.087,0.077,0.087,30250.0
"Jan 27, 2011 00:00:00",0.083,0.088,0.083,0.088,57370.0
"Jan 31, 2011 00:00:00",0.088,0.088,0.088,0.088,52800.0
"Jan 31, 2011 00:00:00",0.088,0.088,0.088,0.088,52800.0
"Feb 02, 2011 00:00:00",0.09,0.09,0.09,0.09,27000.0
"Feb 16, 2011 00:00:00",0.077,0.077,0.077,0.077,770.0
"Feb 16, 2011 00:00:00",0.077,0.077,0.077,0.077,770.0
"Feb 21, 2011 00:00:00",0.09,0.09,0.09,0.09,6300.0
"Feb 21, 2011 00:00:00",0.09,0.09,0.09,0.09,6300.0
"Feb 24, 2011 00:00:00",0.077,0.077,0.077,0.077,770.0
"Feb 24, 2011 00:00:00",0.077,0.077,0.077,0.077,770.0
"Feb 28, 2011 00:00:00",0.08,0.08,0.08,0.08,8000.0
"Mar 04, 2011 00:00:00",0.08,0.08,0.08,0.08,800.0
"Mar 04, 2011 00:00:00",0.08,0.08,0.08,0.08,800.0
"Mar 08, 2011 00:00:00",0.072,0.072,0.072,0.072,1440.0
"Mar 08, 2011 00:00:00",0.072,0.072,0.072,0.072,1440.0
"Mar 11, 2011 00:00:00",0.078,0.078,0.078,0.078,5460.0
"Mar 11, 2011 00:00:00",0.078,0.078,0.078,0.078,5460.0
"Apr 11, 2011 00:00:00",0.078,0.078,0.078,0.078,3900.0
"Apr 15, 2011 00:00:00",0.077,0.077,0.077,0.077,10780.0
"Apr 26, 2011 00:00:00",0.074,0.074,0.074,0.074,3700.0
"Apr 27, 2011 00:00:00",0.075,0.075,0.075,0.075,2250.0
"Apr 28, 2011 00:00:00",0.07,0.07,0.07,0.07,159600.0
"May 02, 2011 00:00:00",0.07,0.07,0.07,0.07,1400.0
"May 03, 2011 00:00:00",0.07,0.07,0.07,0.07,5600.0
"May 04, 2011 00:00:00",0.066,0.066,0.066,0.066,660.0
"May 05, 2011 00:00:00",0.066,0.066,0.06,0.063,92010.0
"May 06, 2011 00:00:00",0.062,0.063,0.061,0.061,34500.0
"May 09, 2011 00:00:00",0.06,0.061,0.06,0.061,12800.0
"May 10, 2011 00:00:00",0.065,0.065,0.065,0.065,2600.0
"May 13, 2011 00:00:00",0.064,0.064,0.06,0.06,30400.0
"May 16, 2011 00:00:00",0.06,0.06,0.06,0.06,60000.0
"May 20, 2011 00:00:00",0.06,0.065,0.056,0.061,203720.0
"May 23, 2011 00:00:00",0.057,0.058,0.057,0.058,13800.0
"May 24, 2011 00:00:00",0.058,0.058,0.058,0.058,11600.0
"May 31, 2011 00:00:00",0.058,0.058,0.058,0.058,127020.0
"Jun 03, 2011 00:00:00",0.059,0.059,0.059,0.059,2950.0
"Jun 06, 2011 00:00:00",0.059,0.059,0.059,0.059,59000.0
"Jun 07, 2011 00:00:00",0.059,0.059,0.059,0.059,73160.0
"Jun 08, 2011 00:00:00",0.058,0.058,0.058,0.058,54520.0
"Jun 13, 2011 00:00:00",0.06,0.06,0.059,0.059,160000.0
"Jun 14, 2011 00:00:00",0.06,0.06,0.06,0.06,6000.0
"Jun 22, 2011 00:00:00",0.06,0.06,0.06,0.06,600.0
"Jun 23, 2011 00:00:00",0.066,0.066,0.066,0.066,1320.0
"Jun 27, 2011 00:00:00",0.062,0.062,0.062,0.062,3100.0
"Jun 30, 2011 00:00:00",0.06,0.06,0.06,0.06,71400.0
"Jul 05, 2011 00:00:00",0.062,0.062,0.062,0.062,18600.0
"Jul 14, 2011 00:00:00",0.062,0.07,0.062,0.07,152660.0
"Jul 15, 2011 00:00:00",0.07,0.088,0.07,0.086,375060.0
"Jul 18, 2011 00:00:00",0.086,0.09,0.086,0.09,71140.0
"Jul 19, 2011 00:00:00",0.093,0.094,0.08,0.08,120700.0
