chart_date,open,high,low,close,value
"Mar 31, 2017 00:00:00",5.3,5.37,5.17,5.33,1064501830.0
"Apr 03, 2017 00:00:00",5.33,5.46,5.32,5.35,304163814.0
"Apr 04, 2017 00:00:00",5.36,5.37,5.21,5.32,102468565.0
"Apr 05, 2017 00:00:00",5.3,5.32,5.1,5.17,169072547.0
"Apr 06, 2017 00:00:00",5.15,5.24,5.08,5.2,103222187.0
"Apr 07, 2017 00:00:00",5.21,5.27,5.12,5.16,94155381.0
"Apr 10, 2017 00:00:00",5.16,5.24,5.16,5.23,36461037.0
"Apr 11, 2017 00:00:00",5.24,5.24,5.2,5.23,45715951.0
"Apr 12, 2017 00:00:00",5.24,5.33,5.24,5.28,39600741.0
"Apr 17, 2017 00:00:00",5.28,5.28,5.2,5.21,17682836.0
"Apr 18, 2017 00:00:00",5.22,5.22,5.16,5.19,25596354.0
"Apr 19, 2017 00:00:00",5.19,5.32,5.17,5.25,70392413.0
"Apr 20, 2017 00:00:00",5.25,5.3,5.2,5.23,21035803.0
"Apr 21, 2017 00:00:00",5.24,5.26,5.22,5.23,40899850.0
"Apr 24, 2017 00:00:00",5.23,5.24,5.19,5.21,31567448.0
"Apr 25, 2017 00:00:00",5.22,5.25,5.22,5.25,60631318.0
"Apr 26, 2017 00:00:00",5.26,5.46,5.23,5.42,205548511.0
"Apr 27, 2017 00:00:00",5.45,5.56,5.39,5.42,159604929.0
"May 02, 2017 00:00:00",5.44,5.45,5.34,5.36,33514048.0
"May 03, 2017 00:00:00",5.37,5.37,5.25,5.28,42949311.0
"May 04, 2017 00:00:00",5.29,5.38,5.27,5.36,76182415.0
"May 05, 2017 00:00:00",5.36,5.36,5.32,5.34,71700954.0
"May 08, 2017 00:00:00",5.34,5.43,5.32,5.37,74479283.0
"May 09, 2017 00:00:00",5.39,5.39,5.33,5.38,24091927.0
"May 10, 2017 00:00:00",5.38,5.45,5.35,5.39,58311670.0
"May 11, 2017 00:00:00",5.38,5.42,5.34,5.4,50663960.0
"May 12, 2017 00:00:00",5.41,5.41,5.35,5.39,28016053.0
"May 15, 2017 00:00:00",5.39,5.49,5.39,5.43,90937805.0
"May 16, 2017 00:00:00",5.45,5.49,5.39,5.4,71993755.0
"May 17, 2017 00:00:00",5.4,5.43,5.38,5.43,31373008.0
"May 18, 2017 00:00:00",5.42,5.42,5.32,5.35,85327905.0
"May 19, 2017 00:00:00",5.35,5.46,5.35,5.39,88006034.0
"May 22, 2017 00:00:00",5.41,5.43,5.39,5.39,24849643.0
"May 23, 2017 00:00:00",5.41,5.41,5.39,5.41,30554125.0
"May 24, 2017 00:00:00",5.38,5.38,5.3,5.38,12358954.0
"May 25, 2017 00:00:00",5.38,5.4,5.34,5.38,62473168.0
"May 26, 2017 00:00:00",5.39,5.44,5.35,5.42,111091506.0
"May 29, 2017 00:00:00",5.4,5.41,5.39,5.41,212232113.0
"May 30, 2017 00:00:00",5.41,5.76,5.4,5.7,315592938.0
"May 31, 2017 00:00:00",5.7,5.79,5.66,5.75,82279464.0
"Jun 01, 2017 00:00:00",5.75,6.27,5.75,6.2,343903512.0
"Jun 02, 2017 00:00:00",6.16,6.35,6.02,6.07,219189118.0
"Jun 02, 2017 00:00:00",6.16,6.35,6.02,6.07,219189118.0
"Jun 05, 2017 00:00:00",6.07,6.35,6.01,6.27,112056850.0
"Jun 06, 2017 00:00:00",6.27,6.45,6.23,6.25,97511066.0
"Jun 07, 2017 00:00:00",6.25,6.49,6.19,6.49,130767543.0
"Jun 08, 2017 00:00:00",6.5,6.63,6.48,6.5,123878896.0
"Jun 09, 2017 00:00:00",6.5,6.61,6.48,6.59,45153006.0
"Jun 13, 2017 00:00:00",6.59,6.6,6.5,6.58,86460641.0
"Jun 14, 2017 00:00:00",6.58,6.6,6.32,6.47,58538406.0
"Jun 15, 2017 00:00:00",6.5,6.8,6.5,6.69,120205563.0
"Jun 16, 2017 00:00:00",6.7,6.99,6.7,6.82,160696499.0
"Jun 19, 2017 00:00:00",6.85,7.05,6.85,7.0,210098371.0
"Jun 20, 2017 00:00:00",7.05,7.58,7.04,7.58,338748789.0
"Jun 21, 2017 00:00:00",7.6,7.98,7.58,7.79,286578692.0
"Jun 22, 2017 00:00:00",7.68,7.85,7.45,7.55,260117383.0
"Jun 23, 2017 00:00:00",7.54,7.9,7.43,7.9,196011367.0
"Jun 27, 2017 00:00:00",7.9,8.17,7.88,8.02,235928894.0
"Jun 28, 2017 00:00:00",8.06,8.14,7.94,7.95,106317295.0
"Jun 29, 2017 00:00:00",7.98,8.04,7.89,7.95,51005623.0
"Jun 30, 2017 00:00:00",7.95,8.05,7.71,7.94,130077356.0
"Jul 03, 2017 00:00:00",7.94,7.95,7.73,7.73,50142314.0
"Jul 04, 2017 00:00:00",7.73,8.0,7.73,7.99,101499719.0
"Jul 05, 2017 00:00:00",8.01,8.5,7.95,8.48,233984044.0
"Jul 06, 2017 00:00:00",8.5,8.88,8.43,8.65,236833126.0
"Jul 07, 2017 00:00:00",8.65,8.88,8.6,8.61,50903928.0
"Jul 10, 2017 00:00:00",8.63,8.8,8.6,8.63,38720934.0
"Jul 11, 2017 00:00:00",8.63,8.65,8.15,8.59,183422195.0
"Jul 12, 2017 00:00:00",8.59,8.7,8.2,8.66,158243320.0
"Jul 13, 2017 00:00:00",8.7,8.76,8.36,8.44,106789949.0
"Jul 14, 2017 00:00:00",8.44,8.55,8.22,8.25,102080205.0
"Jul 17, 2017 00:00:00",8.24,8.4,8.06,8.1,65887544.0
"Jul 18, 2017 00:00:00",8.09,8.37,7.9,8.29,121507517.0
"Jul 19, 2017 00:00:00",8.31,8.76,8.31,8.71,138944668.0
"Jul 20, 2017 00:00:00",8.75,9.08,8.75,8.89,187085665.0
"Jul 21, 2017 00:00:00",8.92,9.01,8.59,8.85,51355833.0
"Jul 24, 2017 00:00:00",8.85,8.85,8.7,8.81,30921778.0
"Jul 25, 2017 00:00:00",8.8,8.95,8.62,8.75,43513427.0
"Jul 26, 2017 00:00:00",8.75,9.0,8.7,8.94,67625512.0
"Jul 27, 2017 00:00:00",8.98,9.15,8.75,9.0,74870694.0
"Jul 28, 2017 00:00:00",8.99,9.13,8.95,9.0,55910583.0
"Jul 31, 2017 00:00:00",9.0,9.0,8.88,8.91,35499287.0
"Aug 01, 2017 00:00:00",8.81,8.86,8.62,8.74,37153194.0
"Aug 02, 2017 00:00:00",8.74,9.0,8.69,8.88,24234786.0
"Aug 03, 2017 00:00:00",8.88,8.9,8.73,8.74,10072816.0
"Aug 04, 2017 00:00:00",8.74,8.85,8.67,8.72,19757026.0
"Aug 07, 2017 00:00:00",8.69,8.82,8.54,8.8,27830446.0
"Aug 08, 2017 00:00:00",8.79,8.79,8.6,8.62,5722350.0
"Aug 09, 2017 00:00:00",8.63,8.63,8.1,8.28,55153214.0
"Aug 10, 2017 00:00:00",8.23,8.46,8.2,8.34,48276902.0
"Aug 11, 2017 00:00:00",8.34,8.34,7.87,8.08,49618323.0
"Aug 14, 2017 00:00:00",7.95,8.35,7.95,8.33,105213953.0
"Aug 15, 2017 00:00:00",8.33,8.82,8.33,8.82,101595199.0
"Aug 16, 2017 00:00:00",8.8,8.87,8.64,8.72,64618942.0
"Aug 17, 2017 00:00:00",8.72,8.89,8.5,8.85,70289000.0
"Aug 18, 2017 00:00:00",8.84,8.95,8.79,8.9,64419046.0
"Aug 22, 2017 00:00:00",8.89,8.9,8.63,8.84,12101224.0
"Aug 23, 2017 00:00:00",8.84,8.85,8.69,8.85,6530947.0
"Aug 24, 2017 00:00:00",8.8,8.93,8.55,8.55,26571160.0
"Aug 25, 2017 00:00:00",8.54,8.77,8.52,8.76,7216683.0
"Aug 29, 2017 00:00:00",8.78,8.79,8.69,8.7,20699109.0
"Aug 30, 2017 00:00:00",8.7,8.8,8.56,8.72,16739686.0
"Aug 31, 2017 00:00:00",8.74,8.88,8.66,8.87,45606206.0
"Sep 04, 2017 00:00:00",8.83,9.25,8.7,9.25,175011431.0
"Sep 05, 2017 00:00:00",9.25,9.52,9.2,9.2,78831682.0
"Sep 06, 2017 00:00:00",9.15,9.44,9.05,9.4,54094055.0
"Sep 07, 2017 00:00:00",9.42,9.7,9.28,9.3,60616208.0
"Sep 08, 2017 00:00:00",9.3,9.5,9.3,9.4,37249790.0
"Sep 11, 2017 00:00:00",9.49,9.5,9.35,9.4,19505104.0
"Sep 13, 2017 00:00:00",9.4,9.47,9.26,9.47,29394494.0
"Sep 14, 2017 00:00:00",9.48,9.5,9.3,9.5,15952667.0
"Sep 15, 2017 00:00:00",9.5,9.5,9.3,9.4,15350104.0
"Sep 18, 2017 00:00:00",9.4,9.4,9.05,9.05,76471050.0
"Sep 19, 2017 00:00:00",9.13,9.18,8.76,8.87,83685338.0
"Sep 20, 2017 00:00:00",8.98,9.19,8.92,8.95,43158622.0
"Sep 21, 2017 00:00:00",8.97,9.18,8.95,9.08,16597976.0
"Sep 22, 2017 00:00:00",9.08,9.25,8.9,8.9,16283111.0
"Sep 25, 2017 00:00:00",8.92,8.98,8.9,8.93,16628932.0
"Sep 26, 2017 00:00:00",8.94,8.94,8.57,8.63,67317870.0
"Sep 27, 2017 00:00:00",8.6,8.86,8.6,8.86,13027481.0
"Sep 28, 2017 00:00:00",8.88,9.0,8.8,8.84,83538688.0
"Sep 29, 2017 00:00:00",8.95,8.95,8.88,8.9,8580533.0
"Oct 02, 2017 00:00:00",8.96,8.96,8.85,8.9,21715225.0
"Oct 03, 2017 00:00:00",8.9,8.9,8.68,8.7,39802523.0
"Oct 04, 2017 00:00:00",8.7,8.84,8.7,8.8,18120568.0
"Oct 05, 2017 00:00:00",8.8,8.9,8.5,8.53,26495224.0
"Oct 06, 2017 00:00:00",8.53,8.7,8.53,8.6,13130874.0
"Oct 09, 2017 00:00:00",8.6,8.6,8.52,8.55,12206640.0
"Oct 10, 2017 00:00:00",8.55,8.57,8.35,8.37,70964267.0
"Oct 11, 2017 00:00:00",8.36,8.36,8.19,8.19,30454516.0
"Oct 12, 2017 00:00:00",8.19,8.51,8.16,8.19,62375045.0
"Oct 13, 2017 00:00:00",8.2,8.22,8.09,8.11,46382832.0
"Oct 17, 2017 00:00:00",8.09,8.1,7.97,7.98,43319344.0
"Oct 18, 2017 00:00:00",7.98,8.24,7.95,8.24,39956786.0
"Oct 19, 2017 00:00:00",8.25,8.59,8.25,8.59,37024429.0
"Oct 20, 2017 00:00:00",8.6,8.62,8.45,8.62,18456238.0
"Oct 23, 2017 00:00:00",8.64,8.64,8.45,8.55,4223249.0
"Oct 24, 2017 00:00:00",8.45,8.52,8.43,8.5,5847634.0
"Oct 25, 2017 00:00:00",8.5,8.54,8.43,8.49,12553504.0
"Oct 26, 2017 00:00:00",8.55,8.55,8.42,8.42,26318390.0
"Oct 27, 2017 00:00:00",8.45,8.49,8.38,8.49,19918631.0
"Oct 30, 2017 00:00:00",8.49,8.53,8.46,8.48,15085941.0
"Nov 02, 2017 00:00:00",8.45,8.5,8.42,8.47,7867723.0
"Nov 03, 2017 00:00:00",8.47,8.47,8.2,8.33,40699434.0
"Nov 06, 2017 00:00:00",8.2,8.3,8.09,8.3,37481156.0
"Nov 07, 2017 00:00:00",8.26,8.31,8.0,8.2,34365871.0
"Nov 08, 2017 00:00:00",8.2,8.21,8.1,8.15,14001291.0
"Nov 09, 2017 00:00:00",8.11,8.35,8.04,8.3,30434166.0
"Nov 10, 2017 00:00:00",8.35,8.66,8.35,8.48,75707183.0
"Nov 13, 2017 00:00:00",8.48,8.48,8.22,8.23,8788540.0
"Nov 14, 2017 00:00:00",8.2,8.45,8.2,8.25,13689658.0
"Nov 15, 2017 00:00:00",8.25,8.3,8.11,8.11,10569994.0
"Nov 16, 2017 00:00:00",8.2,8.23,8.02,8.1,25008690.0
"Nov 17, 2017 00:00:00",8.25,8.25,8.12,8.18,42486382.0
"Nov 20, 2017 00:00:00",8.2,8.21,8.1,8.14,22660491.0
"Nov 21, 2017 00:00:00",8.15,8.15,8.1,8.12,29113331.0
"Nov 22, 2017 00:00:00",8.16,8.19,8.0,8.02,28516394.0
"Nov 23, 2017 00:00:00",8.1,8.11,8.05,8.1,40056361.0
"Nov 24, 2017 00:00:00",8.12,8.14,8.1,8.14,13409128.0
"Nov 27, 2017 00:00:00",8.15,8.32,8.15,8.2,39094104.0
"Nov 28, 2017 00:00:00",8.25,8.34,8.19,8.3,24363696.0
"Nov 29, 2017 00:00:00",8.3,8.32,8.18,8.25,25555269.0
"Dec 01, 2017 00:00:00",8.31,8.44,8.31,8.33,89776373.0
"Dec 04, 2017 00:00:00",8.38,8.42,8.33,8.35,38070292.0
"Dec 05, 2017 00:00:00",8.39,8.4,8.12,8.26,15718849.0
"Dec 06, 2017 00:00:00",8.15,8.25,8.1,8.21,4490600.0
