chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.29,0.29,0.28,0.28,3042300.0
"Aug 04, 2009 00:00:00",0.28,0.28,0.27,0.27,1202300.0
"Aug 06, 2009 00:00:00",0.27,0.27,0.26,0.26,250200.0
"Aug 07, 2009 00:00:00",0.27,0.28,0.26,0.27,1431100.0
"Aug 10, 2009 00:00:00",0.26,0.27,0.26,0.26,275800.0
"Aug 11, 2009 00:00:00",0.26,0.27,0.26,0.27,756900.0
"Aug 12, 2009 00:00:00",0.27,0.27,0.26,0.27,1009600.0
"Aug 13, 2009 00:00:00",0.26,0.26,0.26,0.26,1141400.0
"Aug 14, 2009 00:00:00",0.26,0.27,0.25,0.25,842500.0
"Aug 17, 2009 00:00:00",0.25,0.25,0.24,0.245,465800.0
"Aug 18, 2009 00:00:00",0.25,0.26,0.25,0.25,317600.0
"Aug 19, 2009 00:00:00",0.26,0.28,0.25,0.26,2979400.0
"Aug 20, 2009 00:00:00",0.26,0.26,0.25,0.25,591100.0
"Aug 24, 2009 00:00:00",0.25,0.25,0.25,0.25,270000.0
"Aug 25, 2009 00:00:00",0.25,0.25,0.25,0.25,652500.0
"Aug 26, 2009 00:00:00",0.25,0.26,0.245,0.25,422700.0
"Sep 03, 2009 00:00:00",0.25,0.27,0.245,0.27,3147700.0
"Sep 04, 2009 00:00:00",0.26,0.26,0.26,0.26,738400.0
"Sep 16, 2009 00:00:00",0.24,0.24,0.24,0.24,9600.0
"Sep 17, 2009 00:00:00",0.24,0.25,0.24,0.24,267400.0
"Sep 18, 2009 00:00:00",0.24,0.24,0.235,0.235,458300.0
"Sep 22, 2009 00:00:00",0.235,0.235,0.235,0.235,314900.0
"Sep 23, 2009 00:00:00",0.245,0.245,0.23,0.235,96350.0
"Sep 30, 2009 00:00:00",0.225,0.225,0.21,0.215,46900.0
"Oct 01, 2009 00:00:00",0.21,0.215,0.21,0.215,98800.0
"Oct 02, 2009 00:00:00",0.205,0.21,0.205,0.21,178400.0
"Oct 05, 2009 00:00:00",0.21,0.215,0.21,0.21,191150.0
"Oct 06, 2009 00:00:00",0.215,0.215,0.21,0.21,52550.0
"Oct 07, 2009 00:00:00",0.21,0.21,0.21,0.21,50400.0
"Oct 08, 2009 00:00:00",0.21,0.235,0.21,0.225,405800.0
"Oct 09, 2009 00:00:00",0.23,0.235,0.225,0.23,93500.0
"Oct 12, 2009 00:00:00",0.24,0.24,0.225,0.225,293150.0
"Oct 13, 2009 00:00:00",0.235,0.235,0.22,0.22,261250.0
"Oct 14, 2009 00:00:00",0.22,0.225,0.22,0.22,101700.0
"Oct 15, 2009 00:00:00",0.225,0.225,0.22,0.22,597800.0
"Oct 16, 2009 00:00:00",0.22,0.245,0.22,0.23,2807550.0
"Oct 19, 2009 00:00:00",0.235,0.24,0.225,0.225,339550.0
"Oct 20, 2009 00:00:00",0.225,0.225,0.22,0.225,290000.0
"Oct 21, 2009 00:00:00",0.225,0.225,0.225,0.225,130500.0
"Oct 22, 2009 00:00:00",0.225,0.24,0.225,0.24,2379850.0
"Oct 23, 2009 00:00:00",0.24,0.24,0.23,0.23,394300.0
"Oct 26, 2009 00:00:00",0.225,0.23,0.22,0.23,717550.0
"Oct 27, 2009 00:00:00",0.23,0.23,0.225,0.225,472800.0
"Oct 28, 2009 00:00:00",0.23,0.23,0.225,0.225,1045600.0
"Oct 29, 2009 00:00:00",0.22,0.225,0.215,0.22,962700.0
"Oct 30, 2009 00:00:00",0.22,0.22,0.22,0.22,242000.0
"Nov 03, 2009 00:00:00",0.21,0.215,0.21,0.21,633950.0
"Nov 04, 2009 00:00:00",0.22,0.23,0.215,0.215,277600.0
"Nov 05, 2009 00:00:00",0.225,0.225,0.215,0.215,133400.0
"Nov 06, 2009 00:00:00",0.22,0.22,0.215,0.215,94700.0
"Nov 09, 2009 00:00:00",0.21,0.225,0.21,0.225,66000.0
"Nov 10, 2009 00:00:00",0.225,0.225,0.22,0.22,108650.0
"Nov 11, 2009 00:00:00",0.22,0.22,0.215,0.215,108500.0
"Dec 15, 2009 00:00:00",0.205,0.21,0.205,0.21,43100.0
"Dec 16, 2009 00:00:00",0.205,0.215,0.205,0.205,279350.0
"Dec 17, 2009 00:00:00",0.21,0.21,0.205,0.205,60200.0
"Dec 18, 2009 00:00:00",0.205,0.205,0.205,0.205,61500.0
"Dec 22, 2009 00:00:00",0.205,0.21,0.2,0.2,254350.0
"Dec 23, 2009 00:00:00",0.2,0.2,0.2,0.2,42000.0
"Dec 29, 2009 00:00:00",0.205,0.21,0.2,0.205,98550.0
"Jan 04, 2010 00:00:00",0.2,0.2,0.2,0.2,48000.0
"Jan 05, 2010 00:00:00",0.21,0.225,0.2,0.21,1290000.0
"Jan 06, 2010 00:00:00",0.21,0.215,0.205,0.215,16750.0
"Jan 07, 2010 00:00:00",0.21,0.21,0.2,0.2,103700.0
"Jan 08, 2010 00:00:00",0.205,0.23,0.205,0.22,1615450.0
"Jan 11, 2010 00:00:00",0.225,0.23,0.225,0.225,978100.0
"Jan 12, 2010 00:00:00",0.22,0.22,0.215,0.22,125200.0
"Jan 13, 2010 00:00:00",0.23,0.23,0.215,0.215,237100.0
"Jan 14, 2010 00:00:00",0.22,0.22,0.22,0.22,2200.0
"Jan 18, 2010 00:00:00",0.205,0.22,0.205,0.21,362050.0
"Jan 19, 2010 00:00:00",0.22,0.22,0.215,0.22,122850.0
"Jan 20, 2010 00:00:00",0.21,0.21,0.21,0.21,2100.0
"Jan 21, 2010 00:00:00",0.21,0.21,0.21,0.21,84000.0
"Jan 22, 2010 00:00:00",0.21,0.215,0.205,0.215,64150.0
"Jan 25, 2010 00:00:00",0.205,0.215,0.205,0.205,242750.0
"Jan 26, 2010 00:00:00",0.215,0.215,0.205,0.205,74150.0
"Jan 27, 2010 00:00:00",0.2,0.2,0.2,0.2,456000.0
"Jan 28, 2010 00:00:00",0.205,0.205,0.195,0.195,35950.0
"Jan 29, 2010 00:00:00",0.2,0.205,0.2,0.2,100050.0
"Feb 01, 2010 00:00:00",0.2,0.2,0.2,0.2,88000.0
"Feb 02, 2010 00:00:00",0.21,0.21,0.21,0.21,2100.0
"Feb 04, 2010 00:00:00",0.2,0.2,0.2,0.2,20000.0
"Feb 05, 2010 00:00:00",0.195,0.195,0.195,0.195,19500.0
"Feb 08, 2010 00:00:00",0.205,0.21,0.2,0.21,12150.0
"Mar 08, 2010 00:00:00",0.205,0.215,0.205,0.215,95900.0
"Mar 15, 2010 00:00:00",0.2,0.205,0.195,0.2,339300.0
"Mar 16, 2010 00:00:00",0.195,0.2,0.195,0.2,31700.0
"Mar 17, 2010 00:00:00",0.2,0.2,0.2,0.2,132000.0
"Mar 31, 2010 00:00:00",0.185,0.195,0.185,0.195,15500.0
